,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
38,Chris Gardocki,CLE,,,,,,,,,,,,,,,,,,,,,,,99,4249,42.9
39,Sean Landeta,PHI,,,,,,,,,,,,,,,,,,,,,,,97,4221,43.5
40,Todd Sauerbrun,CAR,,,,,,,,,,,,,,,,,,39,2443,4,10.3%,62.6,93,4419,47.5
41,Rodney Williams,NYG,,,,,,,,,,,,,,,,,,,,,,,91,3905,42.9
42,Bryan Barker,WAS,,,,,,,,,,,,,,,,,,,,,,,90,3747,41.6
43,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,87,3709,42.6
44,Jeff Feagles,SEA,,,,,,,,,,,,,,,,,,,,,,,85,3730,43.9
45,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,,,,,,85,3567,42.0
46,Kyle Richardson,BAL,,,,,,,,,,,,,,,,,,,,,,,85,3309,38.9
47,Nick Harris,CIN,,,,,,,,,,,,,,,,,,1,24,,,24.0,84,3372,40.1
48,Mark Royals,TAM,,,,,,,,,,,,,,,,,,,,,,,83,3382,40.7
49,Josh Bidwell,GNB,,,,,,,,,,,,,,,,,,1,55,,,55.0,82,3485,42.5
50,Chris Hanson,JAX,,,,,,,,,,,,,,,,,,,,,,,82,3577,43.6
51,Tom Rouen,DEN,,,,,,,,,,,,,,,,,,,,,,,81,3668,45.3
52,Matt Turk,MIA,,,,,,,,,,,,,,,,,,,,,,,81,3321,41.0
53,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,40,2153,2,5.0%,53.8,80,3262,40.8
54,Darren Bennett,SDG,,,,,,,,,,,,,,,,,,,,,,,78,3308,42.4
55,Micah Knorr,DAL,,,,,,,,,,,,,,,,,,64,3757,4,6.3%,58.7,78,3135,40.2
56,Toby Gowin,NOR,,,,,,,,,,,,,,,,,,75,4437,5,6.7%,59.2,76,3180,41.8
57,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,,,,,,73,3375,46.2
58,Dan Stryzinski,KAN,,,,,,,,,,,,,,,,,,,,,,,73,2976,40.8
59,Jason Baker,SFO,,,,,,,,,,,,,,,,,,5,267,,,53.4,69,2813,40.8
60,Chris Mohr,ATL,,,,,,,,,,,,,,,,,,,,,,,69,2680,38.8
61,Hunter Smith,IND,,,,,,,,,,,,,,,,,,36,2187,,,60.8,68,3023,44.5
62,Scott Player,ARI,,,,,,,,,,,,,,,,,,,,,,,67,2779,41.5
63,Tom Tupa,NYJ,,,,,,,,,,,,,,,,,,1,57,,,57.0,67,2575,38.4
64,Josh Miller,PIT,,,,,,,,,,,,,,,,,,1,55,,,55.0,59,2505,42.5
65,John Jett,DET,,,,,,,,,,,,,,,,,,,,,,,58,2512,43.3
66,Lee Johnson,2TM,,,,,,,,,,,,,,,,,,7,422,1,14.3%,60.3,49,2028,41.4
67,Ken Walter,NWE,,,,,,,,,,,,,,,,,,,,,,,49,1964,40.1
68,Mitch Berger,MIN,,,,,,,,,,,,,,,,,,48,3053,3,6.3%,63.6,47,2046,43.5
69,John Baker,STL,,,,,,,,,,,,,,,,,,,,,,,43,1809,42.1
70,Chad Stanley,ARI,,,,,,,,,,,,,,,,,,,,,,,19,751,39.5
71,Leo Araguz,DET,,,,,,,,,,,,,,,,,,,,,,,17,713,41.9
72,Tommy Parks,NYJ,,,,,,,,,,,,,,,,,,,,,,,5,238,47.6
73,Daniel Pope,NYJ,,,,,,,,,,,,,,,,,,,,,,,4,153,38.3
74,Jaret Holmes,JAX,,,,,,,,,,,,,,,1,1,100.0%,2,109,,,54.5,,,
