,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Kris Brown,PIT,,,,7,7,20,15,15,6,2,2,44,30,68.2%,37,34,91.9%,84,5046,9,10.7%,60.1,3,106,35.3
1,Jay Feely,ATL,,1,1,8,8,15,14,9,4,4,2,37,29,78.4%,28,28,100.0%,75,4647,7,9.3%,62.0,,,
2,Jason Elam,DEN,,,,11,11,8,8,13,10,4,2,36,31,86.1%,31,31,100.0%,82,5155,10,12.2%,62.9,,,
3,Todd Peterson,KAN,,,,11,9,10,9,12,8,2,1,35,27,77.1%,28,27,96.4%,74,4435,7,9.5%,59.9,2,61,30.5
4,Matt Stover,BAL,,,,16,16,10,9,9,5,,,35,30,85.7%,25,25,100.0%,26,1529,1,3.8%,58.8,,,
5,Mike Vanderjagt,IND,,,,8,7,6,6,16,12,4,3,34,28,82.4%,42,41,97.6%,50,3083,,,61.7,,,
6,Brett Conway,WAS,,,,8,8,11,8,12,8,2,2,33,26,78.8%,22,22,100.0%,64,3861,7,10.9%,60.3,1,28,28.0
7,Rian Lindell,SEA,,,,8,7,5,4,14,6,5,3,32,20,62.5%,33,33,100.0%,68,4217,4,5.9%,62.0,,,
8,Wade Richey,SDG,,,,15,13,7,4,7,3,3,1,32,21,65.6%,26,26,100.0%,82,5399,18,22.0%,65.8,,,
9,Paul Edinger,CHI,,,,7,6,8,7,16,13,,,31,26,83.9%,34,34,100.0%,73,4404,4,5.5%,60.3,1,34,34.0
10,David Akers,PHI,,1,1,9,9,8,7,10,7,3,2,31,26,83.9%,38,37,97.4%,79,4903,7,8.9%,62.1,,,
11,John Carney,NOR,,,,7,7,11,11,12,8,1,1,31,27,87.1%,32,32,100.0%,3,172,,,57.3,,,
12,John Hall,NYJ,,1,1,8,8,7,5,9,7,6,3,31,24,77.4%,32,32,100.0%,74,4676,9,12.2%,63.2,,,
13,Ryan Longwell,GNB,,,,4,3,10,9,14,7,3,1,31,20,64.5%,45,44,97.8%,81,4823,4,4.9%,59.5,,,
14,Adam Vinatieri,NWE,,1,1,8,8,8,7,12,7,1,1,30,24,80.0%,42,41,97.6%,82,4986,6,7.3%,60.8,1,33,33.0
15,Jason Hanson,DET,,1,1,2,2,8,8,12,6,7,4,30,21,70.0%,23,23,100.0%,67,4260,11,16.4%,63.6,,,
16,Martin Gramatica,TAM,,,,10,9,9,9,7,5,3,,29,23,79.3%,28,28,100.0%,65,4102,10,15.4%,63.1,,,
17,Jeff Wilkins,STL,,,,11,11,5,5,12,6,1,1,29,23,79.3%,58,58,100.0%,98,6304,10,10.2%,64.3,,,
18,Neil Rackers,CIN,,,,6,4,11,8,9,4,2,1,28,17,60.7%,24,23,95.8%,56,3361,8,14.3%,60.0,1,32,32.0
19,Morten Andersen,NYG,,,,8,8,8,7,7,6,5,2,28,23,82.1%,30,29,96.7%,27,1585,,,58.7,,,
20,Mike Hollis,JAX,,,,5,4,11,8,11,6,1,,28,18,64.3%,31,29,93.5%,13,674,,,51.8,,,
21,Sebastian Janikowski,OAK,,,,7,7,10,9,9,6,2,1,28,23,82.1%,42,42,100.0%,82,5228,12,14.6%,63.8,,,
22,John Kasay,CAR,,,,10,10,4,4,9,7,5,2,28,23,82.1%,23,22,95.7%,27,1708,,,63.3,,,
23,Joe Nedney,TEN,,,,6,6,5,5,15,8,2,1,28,20,71.4%,35,34,97.1%,72,4491,12,16.7%,62.4,,,
24,Jose Cortez,SFO,,2,1,7,6,7,6,8,4,1,1,25,18,72.0%,47,47,100.0%,74,4418,7,9.5%,59.7,,,
25,Phil Dawson,CLE,,,,10,10,9,8,6,4,,,25,22,88.0%,30,29,96.7%,71,4068,2,2.8%,57.3,,,
26,Jake Arians,BUF,,,,6,6,4,2,11,4,,,21,12,57.1%,17,16,94.1%,2,26,,,13.0,,,
27,Olindo Mare,MIA,,1,1,8,8,8,8,4,2,,,21,19,90.5%,40,39,97.5%,73,4547,12,16.4%,62.3,,,
28,Bill Gramatica,ARI,,1,1,7,7,4,3,7,4,1,1,20,16,80.0%,25,25,100.0%,51,3059,8,15.7%,60.0,1,41,41.0
29,Gary Anderson,MIN,,,,7,7,4,2,7,6,,,18,15,83.3%,30,29,96.7%,10,555,,,55.5,,,
30,Tim Seder,DAL,,,,5,5,5,3,6,3,1,,17,11,64.7%,12,12,100.0%,,,,,,,,
31,Jon Hilbert,DAL,,,,3,3,6,6,7,2,,,16,11,68.8%,12,12,100.0%,,,,,,,,
32,Steve Christie,SDG,,,,4,4,5,3,2,2,,,11,9,81.8%,6,6,100.0%,,,,,,,,
33,Shayne Graham,BUF,,,,4,4,,,4,2,,,8,6,75.0%,7,7,100.0%,21,1165,,,55.5,,,
34,Doug Brien,2TM,,,,2,2,1,1,3,2,,,6,5,83.3%,2,2,100.0%,10,580,,,58.0,,,
35,Cedric Oglesby,ARI,,1,1,2,2,2,1,1,1,,,6,5,83.3%,7,7,100.0%,14,730,,,52.1,,,
36,Brad Daluiso,OAK,,,,2,1,1,1,1,1,,,4,3,75.0%,2,1,50.0%,6,312,,,52.0,,,
37,Owen Pochman,NYG,,,,,,,,,,2,,2,,0.0%,,,,8,460,1,12.5%,57.5,5,146,29.2
