,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Ray Rice,BAL,RB,104,76,704,9.3,3,30,4.8,44.0,73.1%,6.8,291,1364,12,54,4.7,85.3,18.2,367,5.6,2068,15,2
1,Maurice Jones-Drew,JAX,RB,64,43,374,8.7,3,18,2.7,23.4,67.2%,5.8,343,1606,8,76,4.7,100.4,21.4,386,5.1,1980,11,6
2,Arian Foster,HOU,RB,72,53,617,11.6,2,19,4.1,47.5,73.6%,8.6,278,1224,10,58,4.4,94.2,21.4,331,5.6,1841,12,6
3,Calvin Johnson,DET,WR,158,96,1681,17.5,16,76,6.0,105.1,60.8%,10.6,1,11,0,0,11.0,0.7,0.1,97,17.4,1692,16,1
4,LeSean McCoy,PHI,RB,69,48,315,6.6,3,18,3.2,21.0,69.6%,4.6,273,1309,17,85,4.8,87.3,18.2,321,5.1,1624,20,1
5,Wes Welker,NWE,WR,173,122,1569,12.9,9,77,7.6,98.1,70.5%,9.1,4,30,0,2,7.5,1.9,0.3,126,12.7,1599,9,1
6,Ryan Mathews,SDG,RB,59,50,455,9.1,0,18,3.6,32.5,84.7%,7.7,222,1091,6,51,4.9,77.9,15.9,272,5.7,1546,6,5
7,Victor Cruz,NYG,wr,131,82,1536,18.7,9,59,5.1,96.0,62.6%,11.7,1,3,0,0,3.0,0.2,0.1,83,18.5,1539,9,1
8,Michael Turner,ATL,RB,26,17,168,9.9,0,8,1.1,10.5,65.4%,6.5,301,1340,11,63,4.5,83.8,18.8,318,4.7,1508,11,3
9,Matt Forte,CHI,RB,76,52,490,9.4,1,20,4.3,40.8,68.4%,6.4,203,997,3,41,4.9,83.1,16.9,255,5.8,1487,4,2
10,Steven Jackson,STL,RB,58,42,333,7.9,1,17,2.8,22.2,72.4%,5.7,260,1145,5,51,4.4,76.3,17.3,302,4.9,1478,6,2
11,Chris Johnson,TEN,RB,79,57,418,7.3,0,14,3.6,26.1,72.2%,5.3,262,1047,4,47,4.0,65.4,16.4,319,4.6,1465,4,3
12,Steve Smith,CAR,WR,129,79,1394,17.6,7,53,4.9,87.1,61.2%,10.8,6,56,0,3,9.3,3.5,0.4,85,17.1,1450,7,3
13,Marshawn Lynch,SEA,RB,41,28,212,7.6,1,8,1.9,14.1,68.3%,5.2,285,1204,12,65,4.2,80.3,19.0,313,4.5,1416,13,3
14,Larry Fitzgerald,ARI,WR,154,80,1411,17.6,8,60,5.0,88.2,51.9%,9.2,,,,0,,,,80,17.6,1411,8,0
15,Michael Bush,OAK,RB,47,37,418,11.3,1,14,2.3,26.1,78.7%,8.9,256,977,7,56,3.8,61.1,16.0,293,4.8,1395,8,1
16,Reggie Bush,MIA,RB,52,43,296,6.9,1,12,2.9,19.7,82.7%,5.7,216,1086,6,41,5.0,72.4,14.4,259,5.3,1382,7,4
17,Fred Jackson,BUF,RB,50,39,442,11.3,0,15,3.9,44.2,78.0%,8.8,170,934,6,38,5.5,93.4,17.0,209,6.6,1376,6,2
18,Rob Gronkowski,NWE,TE,124,90,1327,14.7,17,69,5.6,82.9,72.6%,10.7,1,2,1,1,2.0,0.1,0.1,91,14.6,1329,18,0
19,Frank Gore,SFO,RB,31,17,114,6.7,0,4,1.1,7.1,54.8%,3.7,282,1211,8,55,4.3,75.7,17.6,299,4.4,1325,8,2
20,Darren Sproles,NOR,rb,111,86,710,8.3,7,35,5.4,44.4,77.5%,6.4,87,603,2,27,6.9,37.7,5.4,173,7.6,1313,9,1
21,Percy Harvin,MIN,WR,121,87,967,11.1,6,47,5.4,60.4,71.9%,8.0,52,345,2,15,6.6,21.6,3.3,139,9.4,1312,8,2
22,Jimmy Graham,NOR,TE,149,99,1310,13.2,11,74,6.2,81.9,66.4%,8.8,,,,0,,,,99,13.2,1310,11,1
23,Roddy White,ATL,WR,180,100,1296,13.0,8,77,6.3,81.0,55.6%,7.2,,,,0,,,,100,13.0,1296,8,0
24,Shonn Greene,NYJ,RB,41,30,211,7.0,0,7,1.9,13.2,73.2%,5.1,253,1054,6,46,4.2,65.9,15.8,283,4.5,1265,6,1
25,Jordy Nelson,GNB,WR,96,68,1263,18.6,15,47,4.3,78.9,70.8%,13.2,,,,0,,,,68,18.6,1263,15,0
26,Willis McGahee,DEN,RB,20,12,51,4.3,1,3,0.8,3.4,60.0%,2.6,249,1199,4,53,4.8,79.9,16.6,261,4.8,1250,5,4
27,Mike Wallace,PIT,WR,114,72,1193,16.6,8,53,4.5,74.6,63.2%,10.5,5,57,0,4,11.4,3.6,0.3,77,16.2,1250,8,1
28,Brandon Marshall,MIA,WR,141,81,1214,15.0,6,53,5.1,75.9,57.4%,8.6,1,13,0,1,13.0,0.8,0.1,82,15.0,1227,6,1
