,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Jay Feely,NYG,,,,13,11,14,13,10,8,5,3,42,35,83.3%,43,43,100.0%,98,6170,12,12.2%,63.0,,,
1,Neil Rackers,ARI,,,,11,11,10,10,14,13,7,6,42,40,95.2%,20,20,100.0%,61,4069,22,36.1%,66.7,,,
2,Rian Lindell,BUF,,,,9,8,13,11,10,7,3,3,35,29,82.9%,26,26,100.0%,69,4156,2,2.9%,60.2,,,
3,Paul Edinger,MIN,,,,11,11,8,3,10,8,5,3,34,25,73.5%,31,31,100.0%,72,4246,,,59.0,2,75,37.5
4,John Kasay,CAR,,1,1,8,8,8,8,9,6,8,3,34,26,76.5%,44,43,97.7%,81,5113,3,3.7%,63.1,1,36,36.0
5,Kris Brown,HOU,,,,9,9,17,12,6,4,2,1,34,26,76.5%,24,24,100.0%,68,4385,11,16.2%,64.5,,,
6,Matt Stover,BAL,,1,1,8,8,11,10,14,11,,,34,30,88.2%,23,23,100.0%,33,1891,1,3.0%,57.3,,,
7,Lawrence Tynes,KAN,,1,1,8,8,13,12,8,4,3,2,33,27,81.8%,45,44,97.8%,88,5364,2,2.3%,61.0,,,
8,John Carney,NOR,,1,1,13,12,6,4,12,8,,,32,25,78.1%,22,22,100.0%,14,886,1,7.1%,63.3,,,
9,Jason Elam,DEN,,,,10,9,5,5,13,9,4,1,32,24,75.0%,44,43,97.7%,1,54,,,54.0,,,
10,Shayne Graham,CIN,,,,11,11,11,10,9,7,1,,32,28,87.5%,47,47,100.0%,91,5470,2,2.2%,60.1,,,
11,Jeff Wilkins,STL,,,,7,6,8,8,11,9,5,4,31,27,87.1%,36,36,100.0%,80,5045,6,7.5%,63.1,1,35,35.0
12,Olindo Mare,MIA,,,,10,9,12,9,6,6,2,1,30,25,83.3%,33,33,100.0%,73,4837,16,21.9%,66.3,1,8,8.0
13,Sebastian Janikowski,OAK,,1,1,8,7,6,5,12,7,3,,30,20,66.7%,30,30,100.0%,67,4107,11,16.4%,61.3,,,
14,Josh Scobee,JAX,,,,9,9,8,7,10,5,3,2,30,23,76.7%,39,38,97.4%,79,5094,20,25.3%,64.5,,,
15,Phil Dawson,CLE,,2,2,11,11,11,9,5,5,,,29,27,93.1%,21,19,90.5%,61,3651,3,4.9%,59.9,2,53,26.5
16,Rob Bironas,TEN,,,,10,10,7,6,7,5,5,2,29,23,79.3%,32,30,93.8%,71,4483,11,15.5%,63.1,,,
17,Jeff Reed,PIT,,,,9,9,9,9,9,6,2,,29,24,82.8%,45,45,100.0%,84,5105,5,6.0%,60.8,,,
18,Mike Nugent,NYJ,,,,9,8,7,7,10,7,2,,28,22,78.6%,24,24,100.0%,63,3683,1,1.6%,58.5,1,18,18.0
19,Joe Nedney,SFO,,,,4,4,11,10,10,10,3,2,28,26,92.9%,19,19,100.0%,58,3447,6,10.3%,59.4,,,
20,Robbie Gould,CHI,,,,9,9,10,9,8,3,,,27,21,77.8%,20,19,95.0%,54,3316,1,1.9%,61.4,1,28,28.0
21,Ryan Longwell,GNB,,,,7,7,10,6,5,3,5,4,27,20,74.1%,31,30,96.8%,69,4202,3,4.3%,60.9,,,
22,Josh Brown,SEA,,,,5,5,5,4,7,4,8,5,25,18,72.0%,57,56,98.2%,89,5598,4,4.5%,62.9,1,20,20.0
23,Matt Bryant,TAM,,,,4,2,8,8,11,10,2,1,25,21,84.0%,31,31,100.0%,,,,,,,,
24,Todd Peterson,ATL,,,,10,9,11,11,4,3,,,25,23,92.0%,35,35,100.0%,,,,,,,,
25,Mike Vanderjagt,IND,,1,1,9,9,7,6,8,7,,,25,23,92.0%,52,52,100.0%,1,36,,,36.0,,,
26,Adam Vinatieri,NWE,,,,7,7,10,9,6,4,2,,25,20,80.0%,41,40,97.6%,80,4892,10,12.5%,61.2,,,
27,Jason Hanson,DET,,1,1,9,9,3,3,7,4,4,2,24,19,79.2%,27,27,100.0%,57,3452,5,8.8%,60.6,,,
28,Nate Kaeding,SDG,,1,1,3,3,9,9,11,8,,,24,21,87.5%,49,49,100.0%,81,4981,3,3.7%,61.5,,,
29,David Akers,PHI,,,,3,3,8,7,9,5,2,1,22,16,72.7%,23,23,100.0%,34,2130,3,8.8%,62.6,,,
30,Jose Cortez,4TM,,,,6,5,5,4,6,3,,,17,12,70.6%,19,18,94.7%,42,2692,8,19.0%,64.1,,,
31,John Hall,WAS,,1,1,3,3,3,3,6,5,1,,14,12,85.7%,27,27,100.0%,51,3059,1,2.0%,60.0,,,
32,Nick Novak,2TM,,1,1,1,1,7,5,1,1,,,10,8,80.0%,15,15,100.0%,30,1695,,,56.5,,,
33,Todd France,2TM,,,,4,4,1,1,4,2,,,9,7,77.8%,6,6,100.0%,19,1158,,,60.9,,,
34,Billy Cundiff,DAL,,1,1,1,1,5,2,,,1,1,8,5,62.5%,14,14,100.0%,26,1643,1,3.8%,63.2,1,35,35.0
35,Doug Brien,CHI,,,,,,2,,2,1,,,4,1,25.0%,7,7,100.0%,11,695,1,9.1%,63.2,,,
36,Shaun Suisham,DAL,,,,3,3,,,1,,,,4,3,75.0%,8,8,100.0%,14,825,,,58.9,,,
37,Michael Koenen,ATL,,,,,,,,,,2,1,2,1,50.0%,,,,77,4841,14,18.2%,62.9,78,3300,42.3
38,Aaron Elling,BAL,,,,,,,,,,1,,1,,0.0%,,,,5,265,,,53.0,1,32,32.0
39,Dave Rayner,IND,,,,,,,,,,1,,1,,0.0%,,,,4,246,,,61.5,,,
40,Andy Lee,SFO,,,,,,,,,,,,,,,,,,,,,,,107,4447,41.6
41,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,96,3937,41.0
42,Josh Bidwell,TAM,,,,,,,,,,,,,,,,,,,,,,,90,4101,45.6
43,Donnie Jones,MIA,,,,,,,,,,,,,,,,,,1,55,,,55.0,88,3827,43.5
44,Nick Harris,DET,,,,,,,,,,,,,,,,,,3,158,,,52.7,84,3656,43.5
45,Dave Zastudil,BAL,,,,,,,,,,,,,,,,,,1,16,,,16.0,84,3653,43.5
46,Chris Hanson,JAX,,,,,,,,,,,,,,,,,,,,,,,82,3517,42.9
47,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,3,205,,,68.3,82,3744,45.7
