,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Steven Jackson,STL,RB,110,90,806,9.0,3,32,5.6,50.4,81.8%,7.3,346,1528,13,73,4.4,95.5,21.6,436,5.4,2334,16,4
1,LaDainian Tomlinson,SDG,RB,80,56,508,9.1,3,23,3.5,31.8,70.0%,6.4,348,1815,28,83,5.2,113.4,21.8,404,5.8,2323,31,2
2,Larry Johnson,KAN,RB,66,41,410,10.0,2,21,2.6,25.6,62.1%,6.2,416,1789,17,91,4.3,111.8,26.0,457,4.8,2199,19,2
3,Frank Gore,SFO,RB,86,61,485,8.0,1,23,3.8,30.3,70.9%,5.6,312,1695,8,67,5.4,105.9,19.5,373,5.8,2180,9,6
4,Tiki Barber,NYG,RB,75,58,465,8.0,0,24,3.6,29.1,77.3%,6.2,327,1662,5,79,5.1,103.9,20.4,385,5.5,2127,5,3
5,Brian Westbrook,PHI,RB,105,77,699,9.1,4,30,5.1,46.6,73.3%,6.7,240,1217,7,60,5.1,81.1,16.0,317,6.0,1916,11,2
6,Willie Parker,PIT,RB,42,31,222,7.2,3,12,1.9,13.9,73.8%,5.3,337,1494,13,72,4.4,93.4,21.1,368,4.7,1716,16,7
7,Ladell Betts,WAS,RB,64,53,445,8.4,1,22,3.3,27.8,82.8%,7.0,245,1154,4,60,4.7,72.1,15.3,298,5.4,1599,5,6
8,Chester Taylor,MIN,RB,51,42,288,6.9,0,17,2.8,19.2,82.4%,5.6,303,1216,6,54,4.0,81.1,20.2,345,4.4,1504,6,5
9,Rudi Johnson,CIN,RB,31,23,124,5.4,0,5,1.4,7.8,74.2%,4.0,341,1309,12,70,3.8,81.8,21.3,364,3.9,1433,12,6
