,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Jeff Wilkins,STL,,,,16,16,13,11,9,8,4,4,42,39,92.9%,46,46,100.0%,96,6182,12,12.5%,64.4,,,
1,John Kasay,CAR,,,,13,13,8,6,13,11,4,2,38,32,84.2%,30,29,96.7%,74,4622,4,5.4%,62.5,1,33,33.0
2,Matt Stover,BAL,,,,16,16,6,6,14,11,2,,38,33,86.8%,35,35,100.0%,7,420,1,14.3%,60.0,1,34,34.0
3,Mike Vanderjagt,IND,,,,17,17,7,7,12,12,1,1,37,37,100.0%,46,46,100.0%,99,5955,4,4.0%,60.2,1,29,29.0
4,Paul Edinger,CHI,,1,1,4,4,13,9,14,9,4,3,36,26,72.2%,27,27,100.0%,69,3956,1,1.4%,57.3,,,
5,Adam Vinatieri,NWE,,,,17,16,8,4,8,5,1,,34,25,73.5%,38,37,97.4%,78,4889,2,2.6%,62.7,,,
6,John Hall,WAS,,,,8,8,9,7,9,6,7,4,33,25,75.8%,27,26,96.3%,72,4418,11,15.3%,61.4,,,
7,Seth Marler,JAX,,,,11,10,8,4,12,5,2,1,33,20,60.6%,30,30,100.0%,64,3663,3,4.7%,57.2,,,
8,Doug Brien,NYJ,,,,5,5,15,15,8,7,4,,32,27,84.4%,24,24,100.0%,72,4312,1,1.4%,59.9,,,
9,Jeff Reed,PIT,,,,12,9,7,6,12,7,1,1,32,23,71.9%,32,31,96.9%,70,4373,5,7.1%,62.5,,,
10,Gary Anderson,TEN,,,,5,5,12,12,14,10,,,31,27,87.1%,42,42,100.0%,,,,,,,,
11,Jason Elam,DEN,,,,11,10,6,6,11,9,3,2,31,27,87.1%,39,39,100.0%,,,,,,,,
12,Josh Brown,SEA,,,,5,5,11,10,11,6,3,1,30,22,73.3%,48,48,100.0%,84,5031,3,3.6%,59.9,,,
13,John Carney,NOR,,,,6,6,12,10,9,5,3,1,30,22,73.3%,37,36,97.3%,20,1108,1,5.0%,55.4,,,
14,Billy Cundiff,DAL,,,,11,11,6,5,7,4,5,3,29,23,79.3%,31,30,96.8%,3,191,,,63.7,1,32,32.0
15,David Akers,PHI,,,,9,9,7,7,10,6,3,2,29,24,82.8%,42,42,100.0%,83,5237,8,9.6%,63.1,,,
16,Olindo Mare,MIA,,,,9,9,6,3,8,6,6,4,29,22,75.9%,34,33,97.1%,72,4652,24,33.3%,64.6,,,
17,Jay Feely,ATL,,,,6,6,11,9,7,4,3,,27,19,70.4%,33,32,97.0%,69,4305,7,10.1%,62.4,,,
18,Ryan Longwell,GNB,,,,5,5,11,11,9,6,1,1,26,23,88.5%,51,51,100.0%,92,5398,4,4.3%,58.7,2,58,29.0
19,Martin Gramatica,TAM,,,,9,9,6,3,8,3,3,1,26,16,61.5%,34,33,97.1%,67,4098,5,7.5%,61.2,,,
20,Aaron Elling,MIN,,,,7,7,8,6,7,4,3,1,25,18,72.0%,48,48,100.0%,74,4425,1,1.4%,59.8,,,
21,Shayne Graham,CIN,,,,5,5,10,10,8,7,2,,25,22,88.0%,40,40,100.0%,77,4730,4,5.2%,61.4,,,
22,Sebastian Janikowski,OAK,,,,6,6,6,6,10,9,3,1,25,22,88.0%,29,28,96.6%,66,4112,7,10.6%,62.3,,,
23,Rian Lindell,BUF,,,,12,11,3,3,7,3,2,,24,17,70.8%,24,24,100.0%,60,3597,3,5.0%,60.0,,,
24,Jason Hanson,DET,,,,7,7,6,6,6,5,4,4,23,22,95.7%,27,26,96.3%,66,4186,10,15.2%,63.4,7,264,37.7
25,Kris Brown,HOU,,1,1,3,3,8,8,6,5,4,1,22,18,81.8%,27,27,100.0%,61,3876,8,13.1%,63.5,,,
26,Phil Dawson,CLE,,2,2,7,7,5,4,5,3,2,2,21,18,85.7%,21,20,95.2%,54,3225,1,1.9%,59.7,1,29,29.0
27,Steve Christie,SDG,,1,1,6,6,3,3,7,3,3,2,20,15,75.0%,36,36,100.0%,43,2413,,,56.1,1,20,20.0
28,Morten Andersen,KAN,,,,3,3,8,8,8,5,1,,20,16,80.0%,59,58,98.3%,,,,,,,,
29,Brett Conway,2TM,,1,1,3,3,9,6,6,4,,,19,14,73.7%,9,9,100.0%,32,1992,2,6.3%,62.3,,,
30,Todd Peterson,SFO,,,,7,5,3,3,4,4,1,,15,12,80.0%,23,22,95.7%,44,2546,1,2.3%,57.9,,,
31,Owen Pochman,SFO,,,,1,1,8,3,5,4,1,,15,8,53.3%,10,9,90.0%,25,1489,1,4.0%,59.6,,,
32,Matt Bryant,NYG,,,,4,3,5,4,5,4,,,14,11,78.6%,17,17,100.0%,39,2279,2,5.1%,58.4,,,
33,Neil Rackers,ARI,,,,5,5,4,1,3,3,,,12,9,75.0%,8,8,100.0%,27,1575,5,18.5%,58.3,,,
34,Tim Duncan,ARI,,,,2,2,4,2,2,1,2,1,10,6,60.0%,6,5,83.3%,18,1023,3,16.7%,56.8,,,
35,Jeff Chandler,SFO,,,,5,5,1,1,1,,,,7,6,85.7%,8,7,87.5%,16,960,1,6.3%,60.0,,,
36,Craig Hentrich,TEN,,,,,,2,2,2,2,1,,5,4,80.0%,1,1,100.0%,91,5143,5,5.5%,56.5,71,3117,43.9
37,Bill Gramatica,ARI,,,,1,1,2,2,,,1,,4,3,75.0%,6,6,100.0%,14,877,,,62.6,,,
38,Wade Richey,BAL,,,,,,,,,,2,1,2,1,50.0%,,,,11,729,1,9.1%,66.3,,,
39,Jeff Feagles,NYG,,,,1,,,,,,,,1,,0.0%,,,,1,50,,,50.0,90,3641,40.5
40,Micah Knorr,DEN,,,,1,1,,,,,,,1,1,100.0%,2,2,100.0%,86,5593,13,15.1%,65.0,68,2937,43.2
41,Joe Nedney,TEN,,,,,,,,,,1,1,1,1,100.0%,1,,0.0%,3,204,1,33.3%,68.0,,,
42,Chad Stanley,HOU,,,,,,,,,,,,,,,,,,1,55,,,55.0,97,4028,41.5
43,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,,,,,,96,4503,46.9
44,Toby Gowin,DAL,,,,,,,,,,,,,,,,,,65,4076,2,3.1%,62.7,94,3665,39.0
45,Nick Harris,2TM,,,,,,,,,,,,,,,,,,,,,,,91,3615,39.7
46,Dave Zastudil,BAL,,,,,,,,,,,,,,,,,,,,,,,89,3649,41.0
47,Chris Mohr,ATL,,,,,,,,,,,,,,,,,,5,216,,,43.2,87,3473,39.9
48,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,,,,,,85,3788,44.6
49,Bryan Barker,WAS,,,,,,,,,,,,,,,,,,,,,,,84,3377,40.2
50,Josh Miller,PIT,,,,,,,,,,,,,,,,,,2,112,,,56.0,84,3521,41.9
51,Tom Tupa,TAM,,,,,,,,,,,,,,,,,,,,,,,83,3590,43.3
52,Darren Bennett,SDG,,,,,,,,,,,,,,,,,,1,58,,,58.0,82,3436,41.9
53,Scott Player,ARI,,,,,,,,,,,,,,,,,,2,118,,,59.0,82,3511,42.8
54,Jason Baker,KAN,,,,,,,,,,,,,,,,,,93,5834,6,6.5%,62.7,80,3156,39.5
55,Dirk Johnson,PHI,,,,,,,,,,,,,,,,,,,,,,,79,3207,40.6
56,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,79,3258,41.2
57,Todd Sauerbrun,CAR,,,,,,,,,,,,,,,,,,4,97,,,24.3,77,3433,44.6
58,Ken Walter,NWE,,,,,,,,,,,,,,,,,,1,64,,,64.0,76,2865,37.7
59,Chris Gardocki,CLE,,,,,,,,,,,,,,,,,,,,,,,72,3019,41.9
60,Mitch Berger,NOR,,,,,,,,,,,,,,,,,,53,3388,2,3.8%,63.9,71,3144,44.3
61,Dan Stryzinski,NYJ,,,,,,,,,,,,,,,,,,,,,,,71,2655,37.4
62,Josh Bidwell,GNB,,,,,,,,,,,,,,,,,,,,,,,69,2875,41.7
63,Bill LaFleur,SFO,,,,,,,,,,,,,,,,,,,,,,,68,2629,38.7
64,Matt Turk,MIA,,,,,,,,,,,,,,,,,,2,88,,,44.0,68,2631,38.7
65,Tom Rouen,SEA,,,,,,,,,,,,,,,,,,,,,,,67,2762,41.2
66,Hunter Smith,IND,,,,,,,,,,,,,,,,,,,,,,,62,2617,42.2
67,Mark Royals,2TM,,,,,,,,,,,,,,,,,,,,,,,61,2495,40.9
68,Sean Landeta,STL,,,,,,,,,,,,,,,,,,1,62,,,62.0,59,2525,42.8
69,Eddie Johnson,MIN,,,,,,,,,,,,,,,,,,,,,,,56,2191,39.1
70,Kyle Richardson,CIN,,,,,,,,,,,,,,,,,,,,,,,49,1961,40.0
71,John Jett,DET,,,,,,,,,,,,,,,,,,,,,,,25,995,39.8
72,Chris Hanson,JAX,,,,,,,,,,,,,,,,,,2,74,,,37.0,23,1001,43.5
73,Brooks Barnard,NWE,,,,,,,,,,,,,,,,,,,,,,,10,365,36.5
74,Leo Araguz,MIN,,,,,,,,,,,,,,,,,,,,,,,7,271,38.7
75,Kyle Boller,BAL,QB,,,,,,,,,,,,,,,,,,,,,,1,29,29.0
76,Tom Brady,NWE,QB,,,,,,,,,,,,,,,,,,,,,,1,36,36.0
