,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,LaDainian Tomlinson,SDG,RB,137,100,725,7.3,4,26,6.3,45.3,73.0%,5.3,313,1645,13,83,5.3,102.8,19.6,413,5.7,2370,17,2
1,Jamal Lewis,BAL,RB,38,26,205,7.9,0,10,1.6,12.8,68.4%,5.4,387,2066,14,85,5.3,129.1,24.2,413,5.5,2271,14,8
2,Ahman Green,GNB,RB,60,50,367,7.3,5,21,3.1,22.9,83.3%,6.1,355,1883,15,100,5.3,117.7,22.2,405,5.6,2250,20,7
3,Deuce McAllister,NOR,RB,87,69,516,7.5,0,23,4.3,32.3,79.3%,5.9,351,1641,8,69,4.7,102.6,21.9,420,5.1,2157,8,6
4,Priest Holmes,KAN,RB,90,74,690,9.3,0,35,4.6,43.1,82.2%,7.7,320,1420,27,90,4.4,88.8,20.0,394,5.4,2110,27,1
5,Fred Taylor,JAX,RB,74,48,370,7.7,1,16,3.0,23.1,64.9%,5.0,345,1572,6,79,4.6,98.3,21.6,393,4.9,1942,7,6
6,Clinton Portis,DEN,RB,51,38,314,8.3,0,10,2.9,24.2,74.5%,6.2,290,1591,14,79,5.5,122.4,22.3,328,5.8,1905,14,3
7,Shaun Alexander,SEA,RB,59,42,295,7.0,2,17,2.6,18.4,71.2%,5.0,326,1435,14,81,4.4,89.7,20.4,368,4.7,1730,16,4
8,Ricky Williams,MIA,RB,62,50,351,7.0,1,12,3.1,21.9,80.6%,5.7,392,1372,9,68,3.5,85.8,24.5,442,3.9,1723,10,7
9,Torry Holt,STL,WR,183,117,1696,14.5,12,84,7.3,106.0,63.9%,9.3,1,5,0,0,5.0,0.3,0.1,118,14.4,1701,12,1
10,Tiki Barber,NYG,RB,98,69,461,6.7,1,26,4.3,28.8,70.4%,4.7,278,1216,2,68,4.4,76.0,17.4,347,4.8,1677,3,9
11,Randy Moss,MIN,WR,172,111,1632,14.7,17,77,6.9,102.0,64.5%,9.5,6,18,0,1,3.0,1.1,0.4,117,14.1,1650,17,1
12,Stephen Davis,CAR,RB,17,14,159,11.4,0,8,1.0,11.4,82.4%,9.4,318,1444,8,69,4.5,103.1,22.7,332,4.8,1603,8,3
13,Curtis Martin,NYJ,RB,53,42,262,6.2,0,9,2.6,16.4,79.2%,4.9,323,1308,2,57,4.0,81.8,20.2,365,4.3,1570,2,2
14,Edgerrin James,IND,RB,71,51,292,5.7,0,9,3.9,22.5,71.8%,4.1,310,1259,11,84,4.1,96.8,23.8,361,4.3,1551,11,5
15,Travis Henry,BUF,RB,40,28,158,5.6,1,9,1.9,10.5,70.0%,4.0,331,1356,10,77,4.1,90.4,22.1,359,4.2,1514,11,7
16,Anquan Boldin,ARI,WR,165,101,1377,13.6,8,62,6.3,86.1,61.2%,8.3,5,40,0,2,8.0,2.5,0.3,106,13.4,1417,8,3
17,Moe Williams,MIN,RB,87,65,644,9.9,3,34,4.1,40.3,74.7%,7.4,174,745,5,43,4.3,46.6,10.9,239,5.8,1389,8,2
18,Domanick Williams,HOU,RB,68,47,351,7.5,0,15,3.4,25.1,69.1%,5.2,238,1031,8,48,4.3,73.6,17.0,285,4.8,1382,8,4
19,Chad Johnson,CIN,WR,154,90,1355,15.1,10,67,5.6,84.7,58.4%,8.8,,,,0,,,,90,15.1,1355,10,0
20,Michael Pittman,TAM,RB,121,75,597,8.0,2,23,4.7,37.3,62.0%,4.9,187,751,0,39,4.0,46.9,11.7,262,5.1,1348,2,4
21,Kevan Barlow,SFO,rb,44,35,307,8.8,1,14,2.2,19.2,79.5%,7.0,201,1024,6,44,5.1,64.0,12.6,236,5.6,1331,7,5
22,Derrick Mason,TEN,WR,133,95,1303,13.7,8,69,5.9,81.4,71.4%,9.8,3,11,0,0,3.7,0.7,0.2,98,13.4,1314,8,0
23,Marvin Harrison,IND,WR,142,94,1272,13.5,10,60,6.3,84.8,66.2%,9.0,1,3,0,0,3.0,0.2,0.1,95,13.4,1275,10,2
24,Laveranues Coles,WAS,WR,159,82,1204,14.7,6,53,5.1,75.3,51.6%,7.6,10,39,0,3,3.9,2.4,0.6,92,13.5,1243,6,0
25,Hines Ward,PIT,WR,156,95,1163,12.2,10,60,5.9,72.7,60.9%,7.5,11,61,0,3,5.5,3.8,0.7,106,11.5,1224,10,0
26,Eddie George,TEN,RB,31,22,163,7.4,0,7,1.4,10.2,71.0%,5.3,312,1031,5,52,3.3,64.4,19.5,334,3.6,1194,5,1
27,Keenan McCardell,TAM,WR,139,84,1174,14.0,8,53,5.3,73.4,60.4%,8.4,,,,0,,,,84,14.0,1174,8,1
28,Santana Moss,NYJ,WR,117,74,1105,14.9,10,49,4.6,69.1,63.2%,9.4,10,67,0,2,6.7,4.2,0.6,84,14.0,1172,10,4
29,Steve Smith,CAR,WR,142,88,1110,12.6,7,47,5.5,69.4,62.0%,7.8,11,42,0,4,3.8,2.6,0.7,99,11.6,1152,7,5
