,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Jeff Wilkins,STL,,1,1,11,11,6,6,16,11,3,3,37,32,86.5%,35,35,100.0%,83,5194,11,13.3%,62.6,3,91,30.3
1,Neil Rackers,ARI,,,,11,11,9,9,10,7,7,1,37,28,75.7%,32,32,100.0%,75,5020,17,22.7%,66.9,,,
2,Robbie Gould,CHI,,,,6,6,16,14,14,12,,,36,32,88.9%,47,47,100.0%,95,6175,11,11.6%,65.0,,,
3,Olindo Mare,MIA,,,,10,10,8,6,12,9,6,1,36,26,72.2%,22,22,100.0%,67,4339,24,35.8%,64.8,,,
4,Joe Nedney,SFO,,2,2,12,11,10,8,9,7,2,1,35,29,82.9%,29,29,100.0%,74,4463,5,6.8%,60.3,,,
5,Dave Rayner,GNB,,,,12,11,9,6,11,8,3,1,35,26,74.3%,32,31,96.9%,72,4672,11,15.3%,64.9,,,
6,Jason Hanson,DET,,1,1,12,12,6,6,8,7,6,3,33,29,87.9%,30,30,100.0%,76,5055,13,17.1%,66.5,,,
7,Josh Scobee,JAX,,,,6,5,7,7,18,14,1,,32,26,81.3%,41,41,100.0%,84,5429,21,25.0%,64.6,,,
8,Josh Brown,SEA,,,,10,10,7,5,9,7,5,3,31,25,80.6%,36,36,100.0%,75,4859,12,16.0%,64.8,2,49,24.5
9,Lawrence Tynes,KAN,,1,1,10,10,6,4,10,7,4,2,31,24,77.4%,36,35,97.2%,78,4861,5,6.4%,62.3,1,33,33.0
10,Shayne Graham,CIN,,,,9,9,9,8,8,6,4,2,30,25,83.3%,42,40,95.2%,84,5330,13,15.5%,63.5,,,
11,Matt Stover,BAL,,,,13,12,9,9,7,6,1,1,30,28,93.3%,37,37,100.0%,72,4542,6,8.3%,63.1,,,
12,Phil Dawson,CLE,,,,6,5,10,9,12,6,1,1,29,21,72.4%,25,25,100.0%,61,3874,11,18.0%,63.5,2,58,29.0
13,Jason Elam,DEN,,,,10,10,10,10,8,6,1,1,29,27,93.1%,34,34,100.0%,,,,,,,,
14,Nate Kaeding,SDG,,,,7,7,12,11,9,7,1,1,29,26,89.7%,58,58,100.0%,100,6457,11,11.0%,64.6,,,
15,Rob Bironas,TEN,,,,11,10,7,7,8,4,2,1,28,22,78.6%,32,32,100.0%,70,4303,10,14.3%,61.5,,,
16,Adam Vinatieri,IND,,1,1,3,3,13,12,10,9,1,,28,25,89.3%,38,38,100.0%,73,4785,10,13.7%,65.5,,,
17,John Kasay,CAR,,2,2,6,6,4,4,8,8,7,4,27,24,88.9%,28,28,100.0%,57,3555,5,8.8%,62.4,1,25,25.0
18,Jay Feely,NYG,,,,7,7,11,10,8,6,1,,27,23,85.2%,38,38,100.0%,78,5011,12,15.4%,64.2,,,
19,Mike Nugent,NYJ,,1,1,7,7,12,10,4,4,3,2,27,24,88.9%,35,34,97.1%,72,4383,2,2.8%,60.9,,,
20,Jeff Reed,PIT,,1,1,7,6,11,8,7,4,1,1,27,20,74.1%,41,41,100.0%,76,4684,4,5.3%,61.6,,,
21,Stephen Gostkowski,NWE,,,,11,10,10,7,4,2,1,1,26,20,76.9%,44,43,97.7%,81,5253,12,14.8%,64.9,,,
22,Ryan Longwell,MIN,,2,2,7,7,8,8,6,4,2,,25,21,84.0%,28,27,96.4%,66,3904,3,4.5%,59.2,1,27,27.0
23,Kris Brown,HOU,,1,1,4,4,5,3,13,11,2,,25,19,76.0%,27,26,96.3%,64,4118,10,15.6%,64.3,,,
24,John Carney,NOR,,1,1,9,9,8,7,6,5,1,1,25,23,92.0%,47,46,97.9%,53,3215,5,9.4%,60.7,,,
25,Sebastian Janikowski,OAK,,1,1,3,2,11,9,3,3,7,3,25,18,72.0%,16,16,100.0%,50,3176,7,14.0%,63.5,,,
26,Rian Lindell,BUF,,,,8,8,5,5,10,8,2,2,25,23,92.0%,33,33,100.0%,69,4124,5,7.2%,59.8,,,
27,David Akers,PHI,,,,10,9,5,3,8,6,,,23,18,78.3%,48,48,100.0%,83,5456,11,13.3%,65.7,,,
28,Morten Andersen,ATL,,,,8,7,6,6,8,7,1,,23,20,87.0%,27,27,100.0%,,,,,,,,
29,Matt Bryant,TAM,,,,8,8,3,3,9,5,2,1,22,17,77.3%,23,22,95.7%,53,3264,4,7.5%,61.6,,,
30,Mike Vanderjagt,DAL,,,,7,6,6,5,4,1,1,1,18,13,72.2%,33,33,100.0%,46,2765,3,6.5%,60.1,,,
31,John Hall,WAS,,,,3,3,4,4,4,2,,,11,9,81.8%,9,9,100.0%,16,968,,,60.5,,,
32,Shaun Suisham,2TM,,,,1,1,7,6,1,1,2,1,11,9,81.8%,14,14,100.0%,30,1858,2,6.7%,61.9,,,
33,Nick Novak,WAS,,,,1,1,3,1,6,3,,,10,5,50.0%,10,10,100.0%,20,1202,,,60.1,,,
34,Michael Koenen,ATL,,,,1,1,4,1,1,,3,1,9,3,33.3%,4,4,100.0%,70,4511,13,18.6%,64.4,76,3199,42.1
35,Martin Gramatica,2TM,,,,2,2,2,2,5,3,,,9,7,77.8%,23,23,100.0%,38,2360,1,2.6%,62.1,,,
36,Billy Cundiff,NOR,,,,,,,,,,1,,1,,0.0%,,,,7,436,,,62.3,,,
37,Jason Baker,CAR,,,,,,,,,,,,,,,,,,10,653,1,10.0%,65.3,98,4483,45.7
38,Josh Bidwell,TAM,,,,,,,,,,,,,,,,,,,,,,,93,4045,43.5
39,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,1,50,,,50.0,93,3934,42.3
40,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,69,,,69.0,92,4012,43.6
41,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,1,35,,,35.0,88,3760,42.7
42,Sam Koch,BAL,,,,,,,,,,,,,,,,,,10,632,,,63.2,86,3695,43.0
43,Donnie Jones,MIA,,,,,,,,,,,,,,,,,,,,,,,85,3640,42.8
44,Ryan Plackemeier,SEA,,,,,,,,,,,,,,,,,,,,,,,84,3778,45.0
45,Jon Ryan,GNB,,,,,,,,,,,,,,,,,,,,,,,84,3739,44.5
46,Derrick Frost,WAS,,,,,,,,,,,,,,,,,,10,521,1,10.0%,52.1,81,3471,42.9
47,Andy Lee,SFO,,,,,,,,,,,,,,,,,,,,,,,81,3625,44.8
48,Dave Zastudil,CLE,,,,,,,,,,,,,,,,,,,,,,,81,3563,44.0
49,Paul Ernster,DEN,,,,,,,,,,,,,,,,,,75,5056,19,25.3%,67.4,80,3338,41.7
50,Dirk Johnson,PHI,,,,,,,,,,,,,,,,,,,,,,,78,3326,42.6
51,Jeff Feagles,NYG,,,,,,,,,,,,,,,,,,,,,,,77,3098,40.2
52,Kyle Larson,CIN,,,,,,,,,,,,,,,,,,,,,,,77,3428,44.5
53,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,1,67,,,67.0,77,3660,47.5
54,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,77,3404,44.2
55,Steve Weatherford,NOR,,,,,,,,,,,,,,,,,,3,158,,,52.7,77,3369,43.8
56,Chad Stanley,HOU,,,,,,,,,,,,,,,,,,,,,,,76,3161,41.6
57,Ben Graham,NYJ,,,,,,,,,,,,,,,,,,,,,,,72,3182,44.2
58,Chris Hanson,JAX,,,,,,,,,,,,,,,,,,,,,,,72,2920,40.6
59,Matt Turk,STL,,,,,,,,,,,,,,,,,,1,37,,,37.0,72,3132,43.5
60,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,,,,,,71,3145,44.3
61,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,3,183,,,61.0,69,2893,41.9
62,Nick Harris,DET,,,,,,,,,,,,,,,,,,,,,,,66,2967,45.0
