,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Jon Kitna,CIN,QB,313,581,53.9,3216,12,2.1,22,3.8,172,5.5,4.2,10.3,201.0,61.1,25,185,5.00,3.76,4.1,3,3
1,Kerry Collins,NYG,QB,327,568,57.6,3764,19,3.3,16,2.8,189,6.6,6.0,11.5,235.3,77.1,36,206,5.89,5.33,6.0,3,4
2,Brad Johnson,TAM,QB,340,559,60.8,3406,13,2.3,11,2.0,181,6.1,5.7,10.0,212.9,77.7,44,269,5.20,4.81,7.3,3,5
3,Aaron Brooks,NOR,QB,312,558,55.9,3832,26,4.7,22,3.9,182,6.9,6.0,12.3,239.5,76.4,50,330,5.76,4.99,8.2,2,3
4,Rich Gannon,OAK,QB,361,549,65.8,3828,27,4.9,9,1.6,195,7.0,7.2,10.6,239.3,95.5,27,155,6.38,6.61,4.7,1,2
5,Peyton Manning,IND,QB,343,547,62.7,4131,26,4.8,23,4.2,201,7.6,6.6,12.0,258.2,84.1,29,232,6.77,5.88,5.0,,
6,Kurt Warner,STL,QB,375,546,68.7,4830,36,6.6,22,4.0,233,8.8,8.4,12.9,301.9,101.4,38,233,7.87,7.41,6.5,1,2
7,Chris Weinke,CAR,QB,293,540,54.3,2931,11,2.0,19,3.5,138,5.4,4.3,10.0,195.4,62.0,26,177,4.87,3.74,4.6,,
8,Jake Plummer,ARI,QB,304,525,57.9,3653,18,3.4,14,2.7,177,7.0,6.4,12.0,228.3,79.6,29,204,6.23,5.74,5.2,3,4
9,Trent Green,KAN,QB,296,523,56.6,3783,17,3.3,24,4.6,176,7.2,5.8,12.8,236.4,71.1,39,198,6.38,5.06,6.9,2,3
10,Doug Flutie,SDG,QB,294,521,56.4,3464,15,2.9,18,3.5,168,6.6,5.7,11.8,216.5,72.0,25,168,6.04,5.10,4.6,1,1
11,Brett Favre,GNB,QB,314,510,61.6,3921,32,6.3,15,2.9,187,7.7,7.6,12.5,245.1,94.1,22,151,7.09,7.02,4.1,1,2
12,Jeff Garcia,SFO,QB,316,504,62.7,3538,32,6.3,12,2.4,184,7.0,7.2,11.2,221.1,94.8,26,114,6.46,6.65,4.9,4,4
13,Donovan McNabb,PHI,QB,285,493,57.8,3233,25,5.1,12,2.4,134,6.6,6.5,11.3,202.1,84.3,39,273,5.56,5.49,7.3,2,2
14,Mark Brunell,JAX,QB,289,473,61.1,3309,19,4.0,13,2.7,165,7.0,6.6,11.4,220.6,84.1,57,387,5.51,5.13,10.8,1,1
15,Elvis Grbac,BAL,QB,265,467,56.7,3033,15,3.2,18,3.9,151,6.5,5.4,11.4,216.6,71.1,28,215,5.69,4.66,5.7,2,4
