,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,DeMarco Murray,DAL,RB,64,57,416,7.3,0,17,3.6,26.0,89.1%,6.5,392,1845,13,89,4.7,115.3,24.5,449,5.0,2261,13,6
1,Le'Veon Bell,PIT,RB,105,83,854,10.3,3,41,5.2,53.4,79.0%,8.1,290,1361,8,75,4.7,85.1,18.1,373,5.9,2215,11,0
2,Matt Forte,CHI,RB,130,102,808,7.9,4,28,6.4,50.5,78.5%,6.2,266,1038,6,65,3.9,64.9,16.6,368,5.0,1846,10,2
3,Antonio Brown,PIT,WR,181,129,1698,13.2,13,87,8.1,106.1,71.3%,9.4,4,13,0,0,3.3,0.8,0.3,133,12.9,1711,13,2
4,Marshawn Lynch,SEA,RB,48,37,367,9.9,4,16,2.3,22.9,77.1%,7.6,280,1306,13,67,4.7,81.6,17.5,317,5.3,1673,17,4
5,Demaryius Thomas,DEN,WR,184,111,1619,14.6,11,69,6.9,101.2,60.3%,8.8,,,,0,,,,111,14.6,1619,11,0
6,Julio Jones,ATL,WR,163,104,1593,15.3,6,76,6.9,106.2,63.8%,9.8,1,1,0,1,1.0,0.1,0.1,105,15.2,1594,6,2
7,Arian Foster,HOU,RB,59,38,327,8.6,5,15,2.9,25.2,64.4%,5.5,260,1246,8,55,4.8,95.8,20.0,298,5.3,1573,13,2
8,Eddie Lacy,GNB,RB,55,42,427,10.2,4,18,2.6,26.7,76.4%,7.8,246,1139,9,60,4.6,71.2,15.4,288,5.4,1566,13,3
9,Justin Forsett,BAL,RB,59,44,263,6.0,0,10,2.8,16.4,74.6%,4.5,235,1266,8,57,5.4,79.1,14.7,279,5.5,1529,8,2
10,Jordy Nelson,GNB,WR,151,98,1519,15.5,13,71,6.1,94.9,64.9%,10.1,,,,0,,,,98,15.5,1519,13,0
11,LeSean McCoy,PHI,RB,37,28,155,5.5,0,10,1.8,9.7,75.7%,4.2,312,1319,5,68,4.2,82.4,19.5,340,4.3,1474,5,4
12,Emmanuel Sanders,DEN,WR,141,101,1404,13.9,9,69,6.3,87.8,71.6%,10.0,8,44,0,3,5.5,2.8,0.5,109,13.3,1448,9,1
13,Lamar Miller,MIA,RB,52,38,275,7.2,1,10,2.4,17.2,73.1%,5.3,216,1099,8,57,5.1,68.7,13.5,254,5.4,1374,9,3
14,T.Y. Hilton,IND,WR,131,82,1345,16.4,7,64,5.5,89.7,62.6%,10.3,2,20,0,1,10.0,1.3,0.1,84,16.3,1365,7,3
15,Golden Tate,DET,WR,144,99,1331,13.4,4,61,6.2,83.2,68.8%,9.2,5,30,0,1,6.0,1.9,0.3,104,13.1,1361,4,1
16,Odell Beckham Jr.,NYG,WR,130,91,1305,14.3,12,58,7.6,108.8,70.0%,10.0,7,35,0,2,5.0,2.9,0.6,98,13.7,1340,12,1
