,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Dustin Hopkins,WAS,,,,12,12,14,12,9,7,7,3,42,34,81.0%,39,36,92.3%,92,5788,65,70.7%,62.9,,,
1,Nick Novak,HOU,,1,1,12,12,11,11,11,8,6,3,41,35,85.4%,25,22,88.0%,74,4444,23,31.1%,60.1,,,
2,Caleb Sturgis,PHI,,,,12,12,12,12,11,7,6,4,41,35,85.4%,31,30,96.8%,87,5439,46,52.9%,62.5,,,
3,Justin Tucker,BAL,,,,4,4,11,10,14,14,10,10,39,38,97.4%,27,27,100.0%,80,5039,52,65.0%,63.0,,,
4,Graham Gano,CAR,,,,4,4,11,9,17,14,6,3,38,30,78.9%,34,31,91.2%,86,5497,63,73.3%,63.9,4,180,45.0
5,Matt Bryant,ATL,,,,12,12,8,7,9,9,8,6,37,34,91.9%,57,56,98.2%,,,,,,2,67,33.5
6,Stephen Hauschka,SEA,,,,13,11,13,13,10,8,1,1,37,33,89.2%,35,29,82.9%,86,5477,54,62.8%,63.7,,,
7,Matt Prater,DET,,,,10,10,5,4,14,10,7,7,36,31,86.1%,33,31,93.9%,2,116,1,50.0%,58.0,,,
8,Sebastian Janikowski,OAK,,1,1,9,9,6,6,11,10,8,3,35,29,82.9%,39,37,94.9%,88,5630,43,48.9%,64.0,,,
9,Cairo Santos,KAN,,,,9,8,17,15,7,6,2,2,35,31,88.6%,39,36,92.3%,86,5355,48,55.8%,62.3,,,
10,Wil Lutz,NOR,,1,1,7,7,11,9,8,8,7,3,34,28,82.4%,50,49,98.0%,93,5693,49,52.7%,61.2,,,
11,Brandon McManus,DEN,,,,9,9,10,10,9,7,6,3,34,29,85.3%,33,32,97.0%,79,4836,51,64.6%,61.2,,,
12,Jason Myers,JAX,,,,7,7,4,3,11,10,12,7,34,27,79.4%,32,29,90.6%,76,4673,60,78.9%,61.5,,,
13,Dan Bailey,DAL,,,,9,9,8,8,9,7,6,3,32,27,84.4%,46,46,100.0%,91,5827,57,62.6%,64.0,,,
14,Stephen Gostkowski,NWE,,,,9,9,9,7,10,9,4,2,32,27,84.4%,49,46,93.9%,93,5924,52,55.9%,63.7,,,
15,Josh Lambo,SDG,,,,7,7,14,13,8,6,3,,32,26,81.3%,46,42,91.3%,91,5694,67,73.6%,62.6,,,
16,Roberto Aguayo,TAM,,,,5,5,15,13,10,4,1,,31,22,71.0%,34,32,94.1%,79,4993,52,65.8%,63.2,,,
17,Nick Folk,NYJ,,,,13,12,11,10,3,3,4,2,31,27,87.1%,26,24,92.3%,70,4425,39,55.7%,63.2,,,
18,Adam Vinatieri,IND,,,,3,3,7,7,12,10,9,7,31,27,87.1%,44,44,100.0%,,,,,,,,
19,Mason Crosby,GNB,,1,1,6,6,15,13,6,5,2,1,30,26,86.7%,47,44,93.6%,89,5608,46,51.7%,63.0,,,
20,Mike Nugent,CIN,,,,9,9,10,9,7,5,3,,29,23,79.3%,29,23,79.3%,63,3970,28,44.4%,63.0,,,
21,Chandler Catanzaro,ARI,,1,1,6,5,7,6,8,6,6,3,28,21,75.0%,47,43,91.5%,83,5220,52,62.7%,62.9,2,66,33.0
22,Chris Boswell,PIT,,,,2,2,9,8,12,11,2,,25,21,84.0%,36,36,100.0%,80,4953,49,61.3%,61.9,,,
23,Dan Carpenter,BUF,,1,1,8,8,5,5,9,4,2,1,25,19,76.0%,45,40,88.9%,69,4154,28,40.6%,60.2,,,
24,Cody Parkey,CLE,,,,6,6,6,6,12,7,1,1,25,20,80.0%,21,20,95.2%,57,3475,34,59.6%,61.0,,,
25,Ryan Succop,TEN,,1,1,4,4,6,6,8,8,5,3,24,22,91.7%,41,39,95.1%,82,5086,58,70.7%,62.0,,,
26,Connor Barth,CHI,,,,8,7,8,7,4,3,3,1,23,18,78.3%,32,31,96.9%,64,3973,26,40.6%,62.1,,,
27,Greg Zuerlein,LAR,,,,5,5,9,9,4,3,4,2,22,19,86.4%,23,23,100.0%,59,3794,36,61.0%,64.3,,,
28,Phil Dawson,SFO,,,,4,4,6,6,9,7,2,1,21,18,85.7%,34,33,97.1%,41,2304,4,9.8%,56.2,,,
29,Andrew Franks,MIA,,,,10,8,6,6,3,1,2,1,21,16,76.2%,42,41,97.6%,74,4768,43,58.1%,64.4,,,
30,Blair Walsh,MIN,,1,1,1,1,6,5,6,4,2,1,16,12,75.0%,19,15,78.9%,41,2569,19,46.3%,62.7,,,
31,Kai Forbath,MIN,,,,5,5,5,5,4,4,1,1,15,15,100.0%,14,11,78.6%,38,2363,19,50.0%,62.2,,,
