,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Matthew Stafford,DET,QB,421,663,63.5,5038,41,6.2,16,2.4,243,7.6,7.7,12.0,314.9,97.2,36,257,6.84,6.98,5.2,3,4
1,Drew Brees,NOR,QB,468,657,71.2,5476,46,7.0,14,2.1,279,8.3,8.8,11.7,342.3,110.6,24,158,7.81,8.23,3.5,3,4
2,Tom Brady,NWE,QB,401,611,65.6,5235,39,6.4,12,2.0,262,8.6,9.0,13.1,327.2,105.6,32,173,7.87,8.25,5.0,1,2
3,Eli Manning,NYG,QB,359,589,61.0,4933,29,4.9,16,2.7,218,8.4,8.1,13.7,308.3,92.9,28,199,7.67,7.45,4.5,5,6
4,Philip Rivers,SDG,QB,366,582,62.9,4624,27,4.6,20,3.4,234,7.9,7.3,12.6,289.0,88.7,30,198,7.23,6.64,4.9,1,1
5,Ryan Fitzpatrick,BUF,QB,353,569,62.0,3832,24,4.2,23,4.0,179,6.7,5.8,10.9,239.5,79.1,22,148,6.23,5.29,3.7,2,2
6,Matt Ryan,ATL,QB,347,566,61.3,4177,29,5.1,12,2.1,208,7.4,7.5,12.0,261.1,92.2,26,173,6.76,6.83,4.4,3,3
7,Josh Freeman,TAM,QB,346,551,62.8,3592,16,2.9,22,4.0,170,6.5,5.3,10.4,239.5,74.6,29,164,5.91,4.76,5.0,1,2
8,Mark Sanchez,NYJ,QB,308,543,56.7,3474,26,4.8,18,3.3,172,6.4,5.9,11.3,217.1,78.2,39,243,5.55,5.05,6.7,4,4
9,Joe Flacco,BAL,QB,312,542,57.6,3610,20,3.7,12,2.2,180,6.7,6.4,11.6,225.6,80.9,31,203,5.95,5.70,5.4,2,3
10,Tony Romo,DAL,QB,346,522,66.3,4184,31,5.9,10,1.9,203,8.0,8.3,12.1,261.5,102.5,36,227,7.09,7.40,6.5,4,4
11,Matt Hasselbeck,TEN,QB,319,518,61.6,3571,18,3.5,14,2.7,163,6.9,6.4,11.2,223.2,82.4,19,153,6.36,5.86,3.5,2,3
12,Cam Newton,CAR,QB,310,517,60.0,4051,21,4.1,17,3.3,176,7.8,7.2,13.1,253.2,84.5,35,260,6.87,6.24,6.3,1,1
13,Andy Dalton,CIN,QB,300,516,58.1,3398,20,3.9,13,2.5,151,6.6,6.2,11.3,212.4,80.4,24,160,6.00,5.65,4.4,4,4
14,Ben Roethlisberger,PIT,QB,324,513,63.2,4077,21,4.1,14,2.7,210,7.9,7.5,12.6,271.8,90.1,40,269,6.89,6.51,7.2,1,1
15,Aaron Rodgers,GNB,QB,343,502,68.3,4643,45,9.0,6,1.2,209,9.2,10.5,13.5,309.5,122.5,36,219,8.22,9.39,6.7,0,1
16,Colt McCoy,CLE,QB,265,463,57.2,2733,14,3.0,11,2.4,142,5.9,5.4,10.3,210.2,74.6,32,173,5.17,4.74,6.5,1,3
17,Rex Grossman,WAS,QB,265,458,57.9,3151,16,3.5,20,4.4,161,6.9,5.6,11.9,242.4,72.4,25,201,6.11,4.91,5.2,2,2
18,Tarvaris Jackson,SEA,QB,271,450,60.2,3091,14,3.1,13,2.9,139,6.9,6.2,11.4,206.1,79.2,42,293,5.69,5.07,8.5,,
19,Alex Smith,SFO,QB,273,445,61.3,3144,17,3.8,5,1.1,145,7.1,7.3,11.5,196.5,90.7,44,263,5.89,6.13,9.0,5,5
20,Michael Vick,PHI,QB,253,423,59.8,3303,18,4.3,14,3.3,154,7.8,7.2,13.1,254.1,84.9,23,126,7.12,6.52,5.2,,
21,Blaine Gabbert,JAX,QB,210,413,50.8,2214,12,2.9,11,2.7,111,5.4,4.7,10.5,147.6,65.4,40,293,4.24,3.68,8.8,,
22,Sam Bradford,STL,QB,191,357,53.5,2164,6,1.7,6,1.7,104,6.1,5.6,11.3,216.4,70.5,36,248,4.88,4.49,9.2,1,1
23,Matt Moore,MIA,QB,210,347,60.5,2497,16,4.6,9,2.6,122,7.2,7.0,11.9,192.1,87.1,36,229,5.92,5.70,9.4,1,1
24,Carson Palmer,OAK,QB,199,328,60.7,2753,13,4.0,16,4.9,123,8.4,7.0,13.8,275.3,80.5,17,119,7.63,6.30,4.9,0,1
25,Jay Cutler,CHI,QB,182,314,58.0,2319,13,4.1,7,2.2,107,7.4,7.2,12.7,231.9,85.7,23,159,6.41,6.25,6.8,1,1
26,Matt Schaub,HOU,QB,178,292,61.0,2479,15,5.1,6,2.1,118,8.5,8.6,13.9,247.9,96.8,16,98,7.73,7.83,5.2,0,1
27,Christian Ponder,MIN,QB,158,291,54.3,1853,13,4.5,13,4.5,92,6.4,5.3,11.7,168.5,70.1,30,164,5.26,4.25,9.3,0,1
28,John Skelton,ARI,qb,151,275,54.9,1913,11,4.0,14,5.1,81,7.0,5.5,12.7,239.1,68.9,23,162,5.88,4.50,7.7,4,5
