,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,LeSean McCoy,PHI,RB,64,52,539,10.4,2,24,3.3,33.7,81.3%,8.4,314,1607,9,79,5.1,100.4,19.6,366,5.9,2146,11,1
1,Jamaal Charles,KAN,RB,104,70,693,9.9,7,32,4.7,46.2,67.3%,6.7,259,1287,12,72,5.0,85.8,17.3,329,6.0,1980,19,4
2,Matt Forte,CHI,RB,95,74,594,8.0,3,26,4.6,37.1,77.9%,6.3,289,1339,9,73,4.6,83.7,18.1,363,5.3,1933,12,2
3,Josh Gordon,CLE,WR,159,87,1646,18.9,9,64,6.2,117.6,54.7%,10.4,5,88,0,4,17.6,6.3,0.4,92,18.8,1734,9,0
4,Knowshon Moreno,DEN,RB,74,60,548,9.1,3,30,3.8,34.3,81.1%,7.4,241,1038,10,56,4.3,64.9,15.1,301,5.3,1586,13,2
5,Marshawn Lynch,SEA,RB,44,36,316,8.8,2,12,2.3,19.8,81.8%,7.2,301,1257,12,73,4.2,78.6,18.8,337,4.7,1573,14,4
6,Alshon Jeffery,CHI,WR,148,89,1421,16.0,7,62,5.6,88.8,60.1%,9.6,16,105,0,7,6.6,6.6,1.0,105,14.5,1526,7,3
7,Reggie Bush,DET,RB,80,54,506,9.4,3,22,3.9,36.1,67.5%,6.3,223,1006,4,49,4.5,71.9,15.9,277,5.5,1512,7,5
8,Antonio Brown,PIT,WR,167,110,1499,13.6,8,70,6.9,93.7,65.9%,9.0,7,4,0,2,0.6,0.3,0.4,117,12.8,1503,8,1
9,Calvin Johnson,DET,WR,156,84,1492,17.8,12,69,6.0,106.6,53.8%,9.6,,,,0,,,,84,17.8,1492,12,1
10,DeMarco Murray,DAL,RB,66,53,350,6.6,1,18,3.8,25.0,80.3%,5.3,217,1121,9,65,5.2,80.1,15.5,270,5.4,1471,10,3
11,Ryan Mathews,SDG,RB,33,26,189,7.3,1,9,1.6,11.8,78.8%,5.7,285,1255,6,55,4.4,78.4,17.8,311,4.6,1444,7,2
12,Adrian Peterson,MIN,RB,40,29,171,5.9,1,11,2.1,12.2,72.5%,4.3,279,1266,10,61,4.5,90.4,19.9,308,4.7,1437,11,5
13,Eddie Lacy,GNB,RB,44,35,257,7.3,0,12,2.3,17.1,79.5%,5.8,284,1178,11,63,4.1,78.5,18.9,319,4.5,1435,11,1
14,Demaryius Thomas,DEN,WR,142,92,1430,15.5,14,66,5.8,89.4,64.8%,10.1,,,,0,,,,92,15.5,1430,14,2
15,A.J. Green,CIN,WR,178,98,1426,14.6,11,65,6.1,89.1,55.1%,8.0,,,,0,,,,98,14.6,1426,11,1
16,Chris Johnson,TEN,RB,52,42,345,8.2,4,11,2.6,21.6,80.8%,6.6,279,1077,6,57,3.9,67.3,17.4,321,4.4,1422,10,3
17,Andre Johnson,HOU,WR,181,109,1407,12.9,5,69,6.8,87.9,60.2%,7.8,,,,0,,,,109,12.9,1407,5,0
18,Pierre Garcon,WAS,WR,181,113,1346,11.9,5,61,7.1,84.1,62.4%,7.4,2,19,0,1,9.5,1.2,0.1,115,11.9,1365,5,1
19,Alfred Morris,WAS,RB,12,9,78,8.7,0,2,0.6,4.9,75.0%,6.5,276,1275,7,61,4.6,79.7,17.3,285,4.7,1353,7,5
20,DeSean Jackson,PHI,WR,126,82,1332,16.2,9,60,5.1,83.3,65.1%,10.6,3,2,0,0,0.7,0.1,0.2,85,15.7,1334,9,1
21,Jordy Nelson,GNB,WR,127,85,1314,15.5,8,60,5.3,82.1,66.9%,10.3,,,,0,,,,85,15.5,1314,8,0
22,Brandon Marshall,CHI,WR,164,100,1295,13.0,12,70,6.3,80.9,61.0%,7.9,,,,0,,,,100,13.0,1295,12,0
23,Eric Decker,DEN,WR,136,87,1288,14.8,11,63,5.4,80.5,64.0%,9.5,,,,0,,,,87,14.8,1288,11,2
24,Fred Jackson,BUF,rb,65,47,387,8.2,1,17,2.9,24.2,72.3%,6.0,206,890,9,54,4.3,55.6,12.9,253,5.0,1277,10,3
25,Frank Gore,SFO,RB,27,16,141,8.8,0,5,1.0,8.8,59.3%,5.2,276,1128,9,50,4.1,70.5,17.3,292,4.3,1269,9,3
