,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Ben Roethlisberger,PIT,QB,452,675,67.0,5129,34,5.0,16,2.4,248,7.6,7.5,11.3,320.6,96.5,24,166,7.10,7.04,3.4,2,3
1,Andrew Luck,IND,QB,430,639,67.3,4593,39,6.1,15,2.3,260,7.2,7.4,10.7,287.1,98.7,18,134,6.79,6.95,2.7,3,3
2,Matt Ryan,ATL,QB,422,608,69.4,4924,35,5.8,7,1.2,236,8.1,8.7,11.7,307.8,108.1,42,296,7.12,7.71,6.5,1,1
3,Kirk Cousins,MIN,QB,425,606,70.1,4298,30,5.0,10,1.7,218,7.1,7.3,10.1,268.6,99.7,40,262,6.25,6.48,6.2,1,0
4,Aaron Rodgers,GNB,QB,372,597,62.3,4442,25,4.2,2,0.3,200,7.4,8.1,11.9,277.6,97.6,49,353,6.33,6.96,7.6,3,3
5,Case Keenum,DEN,QB,365,586,62.3,3890,18,3.1,15,2.6,179,6.6,6.1,10.7,243.1,81.2,34,235,5.90,5.39,5.5,3,4
6,Patrick Mahomes,KAN,QB,383,580,66.0,5097,50,8.6,12,2.1,262,8.8,9.6,13.3,318.6,113.8,26,171,8.13,8.89,4.3,2,2
7,Eli Manning,NYG,QB,380,576,66.0,4299,21,3.6,11,1.9,205,7.5,7.3,11.3,268.7,92.4,47,358,6.33,6.21,7.5,1,2
8,Tom Brady,NWE,QB,375,570,65.8,4355,29,5.1,11,1.9,255,7.6,7.8,11.6,272.2,97.7,21,147,7.12,7.26,3.6,1,2
9,Jared Goff,LAR,QB,364,561,64.9,4688,32,5.7,12,2.1,268,8.4,8.5,12.9,293.0,101.1,33,223,7.52,7.69,5.6,4,4
10,Matthew Stafford,DET,QB,367,555,66.1,3777,21,3.8,11,2.0,197,6.8,6.7,10.3,236.1,89.9,40,255,5.92,5.79,6.7,0,1
11,Derek Carr,OAK,QB,381,553,68.9,4049,19,3.4,10,1.8,197,7.3,7.2,10.6,253.1,93.9,51,299,6.21,6.09,8.4,3,3
12,Dak Prescott,DAL,QB,356,526,67.7,3885,22,4.2,8,1.5,206,7.4,7.5,10.9,242.8,96.9,56,347,6.08,6.22,9.6,3,5
13,Philip Rivers,LAC,QB,347,508,68.3,4308,32,6.3,12,2.4,235,8.5,8.7,12.4,269.3,105.5,32,204,7.60,7.79,5.9,3,3
14,Deshaun Watson,HOU,QB,345,505,68.3,4165,26,5.1,9,1.8,215,8.2,8.5,12.1,260.3,103.1,62,384,6.67,6.87,10.9,5,5
15,Drew Brees,NOR,QB,364,489,74.4,3992,32,6.5,5,1.0,223,8.2,9.0,11.0,266.1,115.7,17,121,7.65,8.47,3.4,6,7
16,Baker Mayfield,CLE,QB,310,486,63.8,3725,27,5.6,14,2.9,171,7.7,7.5,12.0,266.1,93.7,25,173,6.95,6.77,4.9,3,4
17,Cam Newton,CAR,QB,320,471,67.9,3395,24,5.1,13,2.8,180,7.2,7.0,10.6,242.5,94.2,29,213,6.36,6.15,5.8,2,2
18,Mitchell Trubisky,CHI,QB,289,434,66.6,3223,24,5.5,12,2.8,163,7.4,7.3,11.2,230.2,95.4,24,143,6.72,6.59,5.2,1,2
19,Russell Wilson,SEA,QB,280,427,65.6,3448,35,8.2,7,1.6,162,8.1,9.0,12.3,215.5,110.9,51,355,6.47,7.28,10.7,2,4
20,Sam Darnold,NYJ,QB,239,414,57.7,2865,17,4.1,15,3.6,130,6.9,6.1,12.0,220.4,77.6,30,204,5.99,5.24,6.8,1,1
