,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Brian Westbrook,PHI,RB,118,90,771,8.6,5,32,6.0,51.4,76.3%,6.5,278,1333,7,74,4.8,88.9,18.5,368,5.7,2104,12,2
1,LaDainian Tomlinson,SDG,RB,86,60,475,7.9,3,20,3.8,29.7,69.8%,5.5,315,1474,15,75,4.7,92.1,19.7,375,5.2,1949,18,0
2,Clinton Portis,WAS,RB,60,47,389,8.3,0,19,2.9,24.3,78.3%,6.5,325,1262,11,61,3.9,78.9,20.3,372,4.4,1651,11,6
3,Adrian Peterson,MIN,RB,28,19,268,14.1,1,14,1.4,19.1,67.9%,9.6,238,1341,12,63,5.6,95.8,17.0,257,6.3,1609,13,4
4,Jamal Lewis,CLE,RB,39,30,248,8.3,2,8,2.0,16.5,76.9%,6.4,298,1304,9,59,4.4,86.9,19.9,328,4.7,1552,11,4
5,Frank Gore,SFO,RB,69,53,436,8.2,1,20,3.5,29.1,76.8%,6.3,260,1102,5,42,4.2,73.5,17.3,313,4.9,1538,6,4
6,Reggie Wayne,IND,WR,156,104,1510,14.5,10,72,6.5,94.4,66.7%,9.7,1,4,0,0,4.0,0.3,0.1,105,14.4,1514,10,3
7,Randy Moss,NWE,WR,160,98,1493,15.2,23,74,6.1,93.3,61.3%,9.3,,,,0,,,,98,15.2,1493,23,0
8,Chad Johnson,CIN,WR,161,93,1440,15.5,8,74,5.8,90.0,57.8%,8.9,6,47,0,2,7.8,2.9,0.4,99,15.0,1487,8,2
9,Willie Parker,PIT,RB,31,23,164,7.1,0,7,1.5,10.9,74.2%,5.3,321,1316,2,48,4.1,87.7,21.4,344,4.3,1480,2,4
10,Willis McGahee,BAL,RB,49,43,231,5.4,1,10,2.9,15.4,87.8%,4.7,294,1207,7,57,4.1,80.5,19.6,337,4.3,1438,8,4
11,Joseph Addai,IND,RB,48,41,364,8.9,3,16,2.7,24.3,85.4%,7.6,261,1072,12,66,4.1,71.5,17.4,302,4.8,1436,15,0
12,Edgerrin James,ARI,RB,39,24,204,8.5,0,9,1.5,12.8,61.5%,5.2,324,1222,7,57,3.8,76.4,20.3,348,4.1,1426,7,5
13,Larry Fitzgerald,ARI,WR,167,100,1409,14.1,10,70,6.7,93.9,59.9%,8.4,,,,0,,,,100,14.1,1409,10,3
14,Brandon Marshall,DEN,WR,170,102,1325,13.0,7,71,6.4,82.8,60.0%,7.8,5,57,0,4,11.4,3.6,0.3,107,12.9,1382,7,3
15,Terrell Owens,DAL,WR,141,81,1355,16.7,15,67,5.4,90.3,57.4%,9.6,1,5,0,0,5.0,0.3,0.1,82,16.6,1360,15,0
16,Thomas Jones,NYJ,RB,34,28,217,7.8,1,8,1.8,13.6,82.4%,6.4,310,1119,1,57,3.6,69.9,19.4,338,4.0,1336,2,2
17,Marshawn Lynch,BUF,RB,26,18,184,10.2,0,11,1.4,14.2,69.2%,7.1,280,1115,7,55,4.0,85.8,21.5,298,4.4,1299,7,2
18,Braylon Edwards,CLE,WR,154,80,1289,16.1,16,56,5.0,80.6,51.9%,8.4,,,,0,,,,80,16.1,1289,16,3
19,Steven Jackson,STL,RB,52,38,271,7.1,1,13,3.2,22.6,73.1%,5.2,237,1002,5,37,4.2,83.5,19.8,275,4.6,1273,6,5
20,Fred Taylor,JAX,RB,14,9,58,6.4,0,2,0.6,3.9,64.3%,4.1,223,1202,5,45,5.4,80.1,14.9,232,5.4,1260,5,2
21,Marion Barber III,DAL,,54,44,282,6.4,2,17,2.8,17.6,81.5%,5.2,204,975,10,54,4.8,60.9,12.8,248,5.1,1257,12,3
22,LenDale White,TEN,RB,31,20,114,5.7,0,7,1.3,7.1,64.5%,3.7,303,1110,7,60,3.7,69.4,18.9,323,3.8,1224,7,5
23,Earnest Graham,TAM,RB,69,49,324,6.6,0,13,3.3,21.6,71.0%,4.7,222,898,10,47,4.0,59.9,14.8,271,4.5,1222,10,1
24,Wes Welker,NWE,WR,145,112,1175,10.5,8,65,7.0,73.4,77.2%,8.1,4,34,0,1,8.5,2.1,0.3,116,10.4,1209,8,3
25,Marques Colston,NOR,WR,143,98,1202,12.3,11,64,6.1,75.1,68.5%,8.4,,,,0,,,,98,12.3,1202,11,1
