,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Ka'imi Fairbairn,HOU,,1,1,9,9,11,11,15,12,6,4,42,37,88.1%,41,39,95.1%,92,5885,58,63.0%,64.0,,,
1,Justin Tucker,BAL,,,,12,12,9,9,11,9,7,5,39,35,89.7%,37,36,97.3%,92,5765,58,63.0%,62.7,,,
2,Mason Crosby,GNB,,,,4,4,11,10,15,11,7,5,37,30,81.1%,36,34,94.4%,83,5168,41,49.4%,62.3,,,
3,Brett Maher,DAL,,,,10,10,8,6,11,7,7,6,36,29,80.6%,33,32,97.0%,77,4984,52,67.5%,64.7,,,
4,Jason Myers,NYJ,,,,4,4,13,12,12,11,7,6,36,33,91.7%,33,30,90.9%,82,5255,60,73.2%,64.1,,,
5,Robbie Gould,SFO,,,,9,9,13,13,10,9,2,2,34,33,97.1%,29,27,93.1%,4,102,,,25.5,,,
6,Aldrick Rosas,NYG,,,,9,9,13,13,6,6,5,4,33,32,97.0%,32,31,96.9%,85,5186,51,60.0%,61.0,,,
7,Stephen Gostkowski,NWE,,,,11,11,10,10,6,4,5,2,32,27,84.4%,50,49,98.0%,93,5784,50,53.8%,62.2,,,
8,Matt Prater,DET,,,,8,8,12,12,7,5,5,3,32,28,87.5%,30,30,100.0%,6,343,3,50.0%,57.2,,,
9,Jake Elliott,PHI,,,,7,7,11,10,8,7,5,2,31,26,83.9%,35,33,94.3%,82,5210,57,69.5%,63.5,,,
10,Greg Zuerlein,LAR,,,,9,9,10,10,6,4,6,4,31,27,87.1%,36,35,97.2%,75,4843,57,76.0%,64.6,,,
11,Wil Lutz,NOR,,1,1,5,5,9,9,12,11,3,2,30,28,93.3%,53,52,98.1%,101,6503,64,63.4%,64.4,,,
12,Cody Parkey,CHI,,,,6,6,10,7,12,9,2,1,30,23,76.7%,45,42,93.3%,89,5627,65,73.0%,63.2,,,
13,Ryan Succop,TEN,,,,6,5,13,13,7,5,4,3,30,26,86.7%,31,28,90.3%,70,4480,45,64.3%,64.0,,,
14,Dustin Hopkins,WAS,,,,5,5,7,7,12,10,5,4,29,26,89.7%,26,25,96.2%,70,4443,56,80.0%,63.5,,,
15,Dan Bailey,MIN,,,,6,5,11,11,9,4,2,1,28,21,75.0%,31,30,96.8%,69,4164,35,50.7%,60.3,,,
16,Stephen Hauschka,BUF,,,,3,3,8,8,10,7,7,4,28,22,78.6%,26,25,96.2%,66,3958,30,45.5%,60.0,,,
17,Harrison Butker,KAN,,,,9,9,7,7,7,6,4,2,27,24,88.9%,69,65,94.2%,110,7000,72,65.5%,63.6,,,
18,Sebastian Janikowski,SEA,,,,2,2,11,9,9,8,5,3,27,22,81.5%,51,48,94.1%,74,4648,42,56.8%,62.8,,,
19,Adam Vinatieri,IND,,,,8,8,7,6,6,5,6,4,27,23,85.2%,47,44,93.6%,,,,,,,,
20,Brandon McManus,DEN,,,,5,5,6,6,7,7,7,2,25,20,80.0%,35,35,100.0%,73,4473,42,57.5%,61.3,,,
21,Randy Bullock,CIN,,,,4,4,8,7,6,6,5,2,23,19,82.6%,41,39,95.1%,79,4969,45,57.0%,62.9,,,
22,Matt Bryant,ATL,,,,4,4,5,5,7,7,5,4,21,20,95.2%,35,33,94.3%,,,,,,,,
