,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Tiki Barber,NYG,RB,70,54,530,9.8,2,22,3.4,33.1,77.1%,7.6,357,1860,9,74,5.2,116.3,22.3,411,5.8,2390,11,1
1,Larry Johnson,KAN,RB,49,33,343,10.4,1,13,2.1,21.4,67.3%,7.0,336,1750,20,99,5.2,109.4,21.0,369,5.7,2093,21,5
2,Shaun Alexander,SEA,RB,29,15,78,5.2,1,3,0.9,4.9,51.7%,2.7,370,1880,27,109,5.1,117.5,23.1,385,5.1,1958,28,5
3,Edgerrin James,IND,RB,50,44,337,7.7,1,22,2.9,22.5,88.0%,6.7,360,1506,13,97,4.2,100.4,24.0,404,4.6,1843,14,2
4,LaDainian Tomlinson,SDG,RB,77,51,370,7.3,2,15,3.2,23.1,66.2%,4.8,339,1462,18,72,4.3,91.4,21.2,390,4.7,1832,20,3
5,Clinton Portis,WAS,RB,41,30,216,7.2,0,13,1.9,13.5,73.2%,5.3,352,1516,11,76,4.3,94.8,22.0,382,4.5,1732,11,3
6,Warrick Dunn,ATL,RB,37,29,220,7.6,1,8,1.8,13.8,78.4%,5.9,280,1416,3,67,5.1,88.5,17.5,309,5.3,1636,4,3
7,Reuben Droughns,CLE,RB,56,39,369,9.5,0,14,2.4,23.1,69.6%,6.6,309,1232,2,61,4.0,77.0,19.3,348,4.6,1601,2,6
8,LaMont Jordan,OAK,RB,103,70,563,8.0,2,26,5.0,40.2,68.0%,5.5,272,1025,9,62,3.8,73.2,19.4,342,4.6,1588,11,2
9,Steve Smith,CAR,WR,150,103,1563,15.2,12,72,6.4,97.7,68.7%,10.4,4,25,1,2,6.3,1.6,0.3,107,14.8,1588,13,2
10,Rudi Johnson,CIN,RB,30,23,90,3.9,0,2,1.4,5.6,76.7%,3.0,337,1458,12,80,4.3,91.1,21.1,360,4.3,1548,12,1
11,Santana Moss,WAS,WR,134,84,1483,17.7,9,61,5.3,92.7,62.7%,11.1,3,-3,0,0,-1.0,-0.2,0.2,87,17.0,1480,9,3
12,Thomas Jones,CHI,RB,39,26,143,5.5,0,6,1.7,9.5,66.7%,3.7,314,1335,9,63,4.3,89.0,20.9,340,4.3,1478,9,2
13,Chad Johnson,CIN,WR,155,97,1432,14.8,9,74,6.1,89.5,62.6%,9.2,5,33,0,2,6.6,2.1,0.3,102,14.4,1465,9,1
14,Larry Fitzgerald,ARI,WR,165,103,1409,13.7,10,68,6.4,88.1,62.4%,8.5,8,41,0,3,5.1,2.6,0.5,111,13.1,1450,10,0
15,Anquan Boldin,ARI,WR,171,102,1402,13.7,7,69,7.3,100.1,59.6%,8.2,12,45,0,2,3.8,3.2,0.9,114,12.7,1447,7,2
16,Willis McGahee,BUF,RB,37,28,178,6.4,0,10,1.8,11.1,75.7%,4.8,325,1247,5,71,3.8,77.9,20.3,353,4.0,1425,5,1
17,Willie Parker,PIT,RB,24,18,218,12.1,1,9,1.2,14.5,75.0%,9.1,255,1202,4,48,4.7,80.1,17.0,273,5.2,1420,5,4
18,Steven Jackson,STL,RB,55,43,320,7.4,2,13,2.9,21.3,78.2%,5.8,254,1046,8,50,4.1,69.7,16.9,297,4.6,1366,10,3
19,Torry Holt,STL,WR,163,102,1331,13.0,9,63,7.3,95.1,62.6%,8.2,1,2,0,0,2.0,0.1,0.1,103,12.9,1333,9,2
20,Domanick Williams,HOU,RB,48,39,337,8.6,4,19,3.5,30.6,81.3%,7.0,230,976,2,39,4.2,88.7,20.9,269,4.9,1313,6,2
21,Joey Galloway,TAM,WR,152,83,1287,15.5,10,56,5.2,80.4,54.6%,8.5,2,4,0,0,2.0,0.3,0.1,85,15.2,1291,10,0
22,Cadillac Williams,TAM,RB,25,20,81,4.1,0,4,1.4,5.8,80.0%,3.2,290,1178,6,59,4.1,84.1,20.7,310,4.1,1259,6,3
23,DeShaun Foster,CAR,RB,48,34,372,10.9,1,12,2.3,24.8,70.8%,7.8,205,879,2,38,4.3,58.6,13.7,239,5.2,1251,3,2
24,Donald Driver,GNB,WR,146,86,1221,14.2,5,63,5.4,76.3,58.9%,8.4,2,13,0,0,6.5,0.8,0.1,88,14.0,1234,5,0
25,Brian Westbrook,PHI,RB,96,61,616,10.1,4,27,5.1,51.3,63.5%,6.4,156,617,3,29,4.0,51.4,13.0,217,5.7,1233,7,0
26,Mike Anderson,DEN,RB,21,18,212,11.8,1,6,1.2,14.1,85.7%,10.1,239,1014,12,61,4.2,67.6,15.9,257,4.8,1226,13,2
27,Plaxico Burress,NYG,WR,166,76,1214,16.0,7,48,4.8,75.9,45.8%,7.3,,,,0,,,,76,16.0,1214,7,1
28,Julius Jones,DAL,RB,45,35,218,6.2,0,9,2.7,16.8,77.8%,4.8,257,993,5,48,3.9,76.4,19.8,292,4.1,1211,5,4
29,Chris Chambers,MIA,WR,166,82,1118,13.6,11,59,5.1,69.9,49.4%,6.7,12,92,0,4,7.7,5.8,0.8,94,12.9,1210,11,5
30,Chris Brown,TEN,RB,37,25,327,13.1,2,13,1.7,21.8,67.6%,8.8,224,851,5,37,3.8,56.7,14.9,249,4.7,1178,7,4
31,Marvin Harrison,IND,WR,134,82,1146,14.0,12,58,5.5,76.4,61.2%,8.6,,,,0,,,,82,14.0,1146,12,0
32,Eddie Kennison,KAN,WR,108,68,1102,16.2,5,47,4.3,68.9,63.0%,10.2,7,43,0,1,6.1,2.7,0.4,75,15.3,1145,5,1
33,Ronnie Brown,MIA,RB,47,32,232,7.3,1,12,2.1,15.5,68.1%,4.9,207,907,4,42,4.4,60.5,13.8,239,4.8,1139,5,4
34,Terry Glenn,DAL,WR,119,62,1136,18.3,7,48,3.9,71.0,52.1%,9.5,2,-4,1,1,-2.0,-0.3,0.1,64,17.7,1132,8,0
35,Rod Smith,DEN,WR,126,85,1105,13.0,6,55,5.3,69.1,67.5%,8.8,1,7,0,0,7.0,0.4,0.1,86,12.9,1112,6,2
36,Antonio Gates,SDG,TE,140,89,1101,12.4,10,62,5.9,73.4,63.6%,7.9,,,,0,,,,89,12.4,1101,10,0
37,Jamal Lewis,BAL,RB,44,32,191,6.0,1,6,2.1,12.7,72.7%,4.3,269,906,3,49,3.4,60.4,17.9,301,3.6,1097,4,5
38,Derrick Mason,BAL,WR,137,86,1073,12.5,3,53,5.4,67.1,62.8%,7.8,,,,0,,,,86,12.5,1073,3,1
39,Reggie Wayne,IND,WR,122,83,1055,12.7,5,55,5.2,65.9,68.0%,8.6,,,,0,,,,83,12.7,1055,5,1
40,Tatum Bell,DEN,rb,28,18,104,5.8,0,5,1.2,6.9,64.3%,3.7,173,921,8,42,5.3,61.4,11.5,191,5.4,1025,8,3
41,Jimmy Smith,JAX,WR,128,70,1023,14.6,6,55,4.4,63.9,54.7%,8.0,,,,0,,,,70,14.6,1023,6,0
42,T.J. Houshmandzadeh,CIN,WR,115,78,956,12.3,7,52,5.6,68.3,67.8%,8.3,8,62,1,3,7.8,4.4,0.6,86,11.8,1018,8,1
43,Antonio Bryant,CLE,WR,123,69,1009,14.6,4,44,4.3,63.1,56.1%,8.2,1,3,0,0,3.0,0.2,0.1,70,14.5,1012,4,1
44,Randy Moss,OAK,WR,123,60,1005,16.8,8,46,3.8,62.8,48.8%,8.2,,,,0,,,,60,16.8,1005,8,0
45,Mewelde Moore,MIN,RB,49,37,339,9.2,2,17,2.3,21.2,75.5%,6.9,155,662,1,33,4.3,41.4,9.7,192,5.2,1001,3,2
46,Deion Branch,NWE,WR,125,78,998,12.8,5,53,4.9,62.4,62.4%,8.0,,,,0,,,,78,12.8,998,5,0
47,Hines Ward,PIT,WR,114,69,975,14.1,11,52,4.6,65.0,60.5%,8.6,3,10,0,1,3.3,0.7,0.2,72,13.7,985,11,1
48,Donte' Stallworth,NOR,WR,129,70,945,13.5,7,51,4.4,59.1,54.3%,7.3,2,2,0,0,1.0,0.1,0.1,72,13.2,947,7,1
49,Jerry Porter,OAK,WR,142,76,942,12.4,5,44,4.8,58.9,53.5%,6.6,1,-8,0,0,-8.0,-0.5,0.1,77,12.1,934,5,1
50,Keenan McCardell,SDG,WR,108,70,917,13.1,9,50,4.4,57.3,64.8%,8.5,2,6,0,0,3.0,0.4,0.1,72,12.8,923,9,0
51,Corey Dillon,NWE,RB,26,22,181,8.2,1,8,1.8,15.1,84.6%,7.0,209,733,12,51,3.5,61.1,17.4,231,4.0,914,13,1
52,Tony Gonzalez,KAN,TE,116,78,905,11.6,2,45,4.9,56.6,67.2%,7.8,,,,0,,,,78,11.6,905,2,0
53,Jeremy Shockey,NYG,TE,121,65,891,13.7,7,47,4.3,59.4,53.7%,7.4,,,,0,,,,65,13.7,891,7,0
54,Alge Crumpler,ATL,TE,118,65,877,13.5,5,42,4.1,54.8,55.1%,7.4,,,,0,,,,65,13.5,877,5,1
55,Fred Taylor,JAX,RB,18,13,83,6.4,0,4,1.2,7.5,72.2%,4.6,194,787,3,29,4.1,71.5,17.6,207,4.2,870,3,0
56,Todd Heap,BAL,TE,114,75,855,11.4,7,45,4.7,53.4,65.8%,7.5,,,,0,,,,75,11.4,855,7,2
57,Ashley Lelie,DEN,WR,88,42,770,18.3,1,29,2.6,48.1,47.7%,8.8,5,84,0,5,16.8,5.3,0.3,47,18.2,854,1,0
58,Curtis Martin,NYJ,RB,30,24,118,4.9,0,3,2.0,9.8,80.0%,3.9,220,735,5,37,3.3,61.3,18.3,244,3.5,853,5,2
59,Laveranues Coles,NYJ,WR,132,73,845,11.6,5,53,4.6,52.8,55.3%,6.4,,,,0,,,,73,11.6,845,5,1
60,Keyshawn Johnson,DAL,WR,123,71,839,11.8,6,47,4.4,52.4,57.7%,6.8,1,3,0,0,3.0,0.2,0.1,72,11.7,842,6,3
61,Ricky Williams,MIA,rb,20,17,93,5.5,0,3,1.4,7.8,85.0%,4.7,168,743,6,39,4.4,61.9,14.0,185,4.5,836,6,1
62,Kevan Barlow,SFO,RB,42,31,241,7.8,0,7,2.6,20.1,73.8%,5.7,176,581,3,20,3.3,48.4,14.7,207,4.0,822,3,2
63,Eric Moulds,BUF,WR,129,81,816,10.1,4,39,5.4,54.4,62.8%,6.3,,,,0,,,,81,10.1,816,4,0
64,Kevin Curtis,STL,WR,97,60,801,13.4,6,35,3.8,50.1,61.9%,8.3,1,5,1,1,5.0,0.3,0.1,61,13.2,806,7,2
65,Lee Evans,BUF,WR,92,48,743,15.5,7,29,3.0,46.4,52.2%,8.1,4,38,0,2,9.5,2.4,0.3,52,15.0,781,7,0
66,Eric Parker,SDG,WR,80,57,725,12.7,3,36,3.8,48.3,71.3%,9.1,4,55,0,3,13.8,3.7,0.3,61,12.8,780,3,2
67,Chester Taylor,BAL,,53,41,292,7.1,1,13,2.7,19.5,77.4%,5.5,117,487,0,30,4.2,32.5,7.8,158,4.9,779,1,3
68,Bobby Engram,SEA,WR,97,67,778,11.6,3,43,5.2,59.8,69.1%,8.0,,,,0,,,,67,11.6,778,3,2
69,Chris Cooley,WAS,TE,103,71,774,10.9,7,44,4.4,48.4,68.9%,7.5,,,,0,,,,71,10.9,774,7,3
70,Kevin Jones,DET,RB,28,20,109,5.5,0,3,1.5,8.4,71.4%,3.9,186,664,5,29,3.6,51.1,14.3,206,3.8,773,5,2
71,Terrell Owens,PHI,wr,92,47,763,16.2,6,32,6.7,109.0,51.1%,8.3,1,2,0,0,2.0,0.3,0.1,48,15.9,765,6,0
