,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Priest Holmes,KAN,RB,75,62,614,9.9,2,21,3.9,38.4,82.7%,8.2,327,1555,8,81,4.8,97.2,20.4,389,5.6,2169,10,4
1,Marshall Faulk,STL,RB,104,83,765,9.2,9,40,5.9,54.6,79.8%,7.4,260,1382,12,70,5.3,98.7,18.6,343,6.3,2147,21,3
2,Ahman Green,GNB,RB,82,62,594,9.6,2,24,3.9,37.1,75.6%,7.2,304,1387,9,57,4.6,86.7,19.0,366,5.4,1981,11,5
3,Curtis Martin,NYJ,RB,63,53,320,6.0,0,13,3.3,20.0,84.1%,5.1,333,1513,10,78,4.5,94.6,20.8,386,4.7,1833,10,2
4,Ricky Williams,NOR,RB,88,60,511,8.5,1,19,3.8,31.9,68.2%,5.8,313,1245,6,61,4.0,77.8,19.6,373,4.7,1756,7,8
5,Shaun Alexander,SEA,RB,59,44,343,7.8,2,15,2.8,21.4,74.6%,5.8,309,1318,14,64,4.3,82.4,19.3,353,4.7,1661,16,4
6,Stephen Davis,WAS,RB,37,28,205,7.3,0,8,1.8,12.8,75.7%,5.5,356,1432,5,75,4.0,89.5,22.3,384,4.3,1637,5,6
7,David Boston,ARI,WR,175,98,1598,16.3,8,72,6.1,99.9,56.0%,9.1,5,35,0,3,7.0,2.2,0.3,103,15.9,1633,8,1
8,LaDainian Tomlinson,SDG,RB,74,59,367,6.2,0,12,3.7,22.9,79.7%,5.0,339,1236,10,68,3.6,77.3,21.2,398,4.0,1603,10,8
9,Garrison Hearst,SFO,RB,55,41,347,8.5,1,15,2.6,21.7,74.5%,6.3,252,1206,4,53,4.8,75.4,15.8,293,5.3,1553,5,1
10,Corey Dillon,CIN,RB,61,34,228,6.7,3,13,2.1,14.3,55.7%,3.7,340,1315,10,69,3.9,82.2,21.3,374,4.1,1543,13,5
11,Marvin Harrison,IND,WR,164,109,1524,14.0,15,74,6.8,95.3,66.5%,9.3,1,3,0,0,3.0,0.2,0.1,110,13.9,1527,15,0
12,Tiki Barber,NYG,RB,98,72,577,8.0,0,30,5.1,41.2,73.5%,5.9,166,865,4,40,5.2,61.8,11.9,238,6.1,1442,4,8
13,Terrell Owens,SFO,WR,155,93,1412,15.2,16,71,5.8,88.3,60.0%,9.1,4,21,0,1,5.3,1.3,0.3,97,14.8,1433,16,0
14,Charlie Garner,OAK,RB,91,72,578,8.0,2,29,4.5,36.1,79.1%,6.4,211,839,1,33,4.0,52.4,13.2,283,5.0,1417,3,2
15,Jimmy Smith,JAX,WR,176,112,1373,12.3,8,69,7.0,85.8,63.6%,7.8,1,-3,0,0,-3.0,-0.2,0.1,113,12.1,1370,8,1
16,Rod Smith,DEN,WR,172,113,1343,11.9,11,75,7.5,89.5,65.7%,7.8,3,27,0,3,9.0,1.8,0.2,116,11.8,1370,11,1
17,Torry Holt,STL,WR,133,81,1363,16.8,7,58,5.1,85.2,60.9%,10.2,2,0,0,0,0.0,0.0,0.1,83,16.4,1363,7,2
18,Anthony Thomas,CHI,RB,30,22,178,8.1,0,9,1.6,12.7,73.3%,5.9,278,1183,7,58,4.3,84.5,19.9,300,4.5,1361,7,0
19,Antowain Smith,NWE,RB,28,19,192,10.1,1,6,1.2,12.0,67.9%,6.9,287,1157,12,61,4.0,72.3,17.9,306,4.4,1349,13,4
20,Dominic Rhodes,IND,RB,55,34,224,6.6,0,13,2.3,14.9,61.8%,4.1,233,1104,9,58,4.7,73.6,15.5,267,5.0,1328,9,6
21,Troy Brown,NWE,WR,142,101,1199,11.9,5,60,6.3,74.9,71.1%,8.4,11,91,0,3,8.3,5.7,0.7,112,11.5,1290,5,2
22,Randy Moss,MIN,WR,154,82,1233,15.0,10,59,5.1,77.1,53.2%,8.0,3,38,0,2,12.7,2.4,0.2,85,15.0,1271,10,0
