,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
13,Ben Roethlisberger,PIT,QB,337,506,66.6,4328,26,5.1,12,2.4,201,8.6,8.5,12.8,288.5,100.5,50,348,7.16,7.12,9.0,2,3
14,Joe Flacco,BAL,QB,315,499,63.1,3613,21,4.2,12,2.4,184,7.2,7.0,11.5,225.8,88.9,36,218,6.35,6.12,6.7,1,2
15,Matt Cassel,KAN,QB,271,493,55.0,2924,16,3.2,16,3.2,129,5.9,5.1,10.8,194.9,69.9,42,243,5.01,4.26,7.9,1,2
16,Matt Hasselbeck,SEA,QB,293,488,60.0,3029,17,3.5,17,3.5,148,6.2,5.3,10.3,216.4,75.1,32,209,5.42,4.61,6.2,0,1
17,Philip Rivers,SDG,QB,317,486,65.2,4254,28,5.8,9,1.9,208,8.8,9.1,13.4,265.9,104.4,25,167,8.00,8.30,4.9,2,4
18,Carson Palmer,CIN,QB,282,466,60.5,3094,21,4.5,13,2.8,159,6.6,6.3,11.0,193.4,83.6,26,213,5.86,5.52,5.3,3,5
19,Chad Henne,MIA,QB,274,451,60.8,2878,12,2.7,14,3.1,156,6.4,5.5,10.5,205.6,75.2,26,176,5.66,4.85,5.5,3,3
20,Matt Ryan,ATL,QB,263,451,58.3,2916,22,4.9,14,3.1,153,6.5,6.0,11.1,208.3,80.9,19,92,6.01,5.60,4.0,1,3
21,Donovan McNabb,PHI,QB,267,443,60.3,3553,22,5.0,10,2.3,141,8.0,8.0,13.3,253.8,92.9,35,264,6.88,6.86,7.3,2,3
22,Matthew Stafford,DET,QB,201,377,53.3,2267,13,3.4,20,5.3,111,6.0,4.3,11.3,226.7,61.0,24,169,5.23,3.64,6.0,1,1
23,Alex Smith,SFO,QB,225,372,60.5,2350,18,4.8,12,3.2,100,6.3,5.8,10.4,213.6,81.5,22,134,5.62,5.17,5.6,,
24,Mark Sanchez,NYJ,QB,196,364,53.8,2444,12,3.3,20,5.5,122,6.7,4.9,12.5,162.9,63.0,26,195,5.77,4.07,6.7,,
25,Jake Delhomme,CAR,QB,178,321,55.5,2015,8,2.5,18,5.6,101,6.3,4.3,11.3,183.2,59.4,23,187,5.31,3.42,6.7,1,2
26,Josh Freeman,TAM,QB,158,290,54.5,1855,10,3.4,18,6.2,90,6.4,4.3,11.7,185.5,59.8,20,102,5.65,3.69,6.5,2,2
27,Vince Young,TEN,QB,152,259,58.7,1879,10,3.9,7,2.7,91,7.3,6.8,12.4,156.6,82.8,9,36,6.88,6.45,3.4,3,6
28,Brady Quinn,CLE,QB,136,256,53.1,1339,8,3.1,7,2.7,72,5.2,4.6,9.8,133.9,67.2,19,104,4.49,3.93,6.9,0,1
29,Marc Bulger,STL,QB,140,247,56.7,1469,5,2.0,6,2.4,77,5.9,5.3,10.5,163.2,70.7,14,85,5.30,4.65,5.4,0,1
30,JaMarcus Russell,OAK,QB,120,246,48.8,1287,3,1.2,11,4.5,58,5.2,3.5,10.7,107.3,50.0,33,207,3.87,2.31,11.8,2,2
31,Ryan Fitzpatrick,BUF,QB,127,227,55.9,1422,9,4.0,10,4.4,65,6.3,5.1,11.2,142.2,69.7,21,127,5.22,4.13,8.5,1,2
32,Kerry Collins,TEN,qb,119,216,55.1,1225,6,2.8,8,3.7,63,5.7,4.6,10.3,175.0,65.5,6,37,5.35,4.27,2.7,,
33,Trent Edwards,BUF,qb,110,183,60.1,1169,6,3.3,7,3.8,54,6.4,5.3,10.6,146.1,73.8,23,139,5.00,4.05,11.2,,
34,Derek Anderson,CLE,qb,81,182,44.5,888,3,1.6,10,5.5,44,4.9,2.7,11.0,111.0,42.1,11,75,4.21,2.19,5.7,0,1
35,Kyle Boller,STL,,98,176,55.7,899,3,1.7,6,3.4,42,5.1,3.9,9.2,128.4,61.2,17,117,4.05,2.96,8.8,,
36,Daunte Culpepper,DET,qb,89,157,56.7,945,3,1.9,6,3.8,44,6.0,4.7,10.6,118.1,64.8,14,107,4.90,3.67,8.2,,
37,Shaun Hill,SFO,qb,87,155,56.1,943,5,3.2,2,1.3,33,6.1,6.1,10.8,157.2,79.6,18,107,4.83,4.89,10.4,1,1
38,Bruce Gradkowski,OAK,,82,150,54.7,1007,6,4.0,3,2.0,44,6.7,6.6,12.3,143.9,80.6,11,71,5.81,5.72,6.8,2,2
39,Matt Moore,CAR,qb,85,138,61.6,1053,8,5.8,2,1.4,52,7.6,8.1,12.4,150.4,98.5,9,78,6.63,7.11,6.1,1,1
40,Josh Johnson,TAM,,63,125,50.4,685,4,3.2,8,6.4,31,5.5,3.2,10.9,114.2,50.9,11,59,4.60,2.54,8.1,,
41,Seneca Wallace,SEA,,78,120,65.0,700,3,2.5,2,1.7,36,5.8,5.6,9.0,53.8,81.9,9,59,4.97,4.74,7.0,,
42,Keith Null,STL,,73,119,61.3,566,3,2.5,9,7.6,30,4.8,1.9,7.8,141.5,49.9,13,82,3.67,1.05,9.8,,
43,Chris Redman,ATL,,69,119,58.0,781,4,3.4,3,2.5,41,6.6,6.1,11.3,130.2,78.4,8,34,5.88,5.45,6.3,1,1
44,Byron Leftwich,TAM,,58,107,54.2,594,4,3.7,3,2.8,27,5.6,5.0,10.2,198.0,71.2,2,0,5.45,4.94,1.8,,
45,Kevin Kolb,PHI,,62,96,64.6,741,4,4.2,3,3.1,31,7.7,7.1,12.0,148.2,88.9,3,27,7.21,6.66,3.0,,
46,Charlie Frye,OAK,,53,87,60.9,581,1,1.1,4,4.6,28,6.7,4.8,11.0,193.7,65.3,5,40,5.88,4.14,5.4,,
47,Matt Leinart,ARI,,51,77,66.2,435,0,0.0,3,3.9,22,5.6,3.9,8.5,54.4,64.6,2,12,5.35,3.65,2.5,,
48,Chad Pennington,MIA,,51,74,68.9,413,1,1.4,2,2.7,27,5.6,4.6,8.1,137.7,76.0,6,32,4.76,3.89,7.5,,
49,Drew Stanton,DET,,26,51,51.0,259,0,0.0,6,11.8,12,5.1,-0.2,10.0,86.3,26.1,5,27,4.14,-0.68,8.9,,
50,Brodie Croyle,KAN,,23,40,57.5,230,2,5.0,0,0.0,10,5.8,6.8,10.0,76.7,90.6,3,18,4.93,5.86,7.0,,
51,David Carr,NYG,,21,33,63.6,225,1,3.0,0,0.0,11,6.8,7.4,10.7,37.5,93.6,2,11,6.11,6.69,5.7,,
52,Billy Volek,SDG,,20,31,64.5,231,1,3.2,1,3.2,13,7.5,6.6,11.6,57.8,84.2,1,1,7.19,6.41,3.1,1,1
53,Mark Brunell,NOR,,15,30,50.0,102,0,0.0,1,3.3,5,3.4,1.9,6.8,6.4,44.0,0,0,3.40,1.90,0.0,,
54,Brian Brohm,BUF,,17,29,58.6,146,0,0.0,2,6.9,8,5.0,1.9,8.6,73.0,43.2,2,8,4.45,1.55,6.5,,
55,Curtis Painter,IND,,8,28,28.6,83,0,0.0,2,7.1,3,3.0,-0.3,10.4,41.5,9.8,3,16,2.16,-0.74,9.7,,
56,Brian Hoyer,NWE,,19,27,70.4,142,0,0.0,0,0.0,8,5.3,5.3,7.5,28.4,82.6,2,18,4.28,4.28,6.9,,
57,Kellen Clemens,NYJ,,13,26,50.0,125,0,0.0,0,0.0,7,4.8,4.8,9.6,12.5,63.8,4,21,3.47,3.47,13.3,,
58,Dennis Dixon,PIT,,12,26,46.2,145,1,3.8,1,3.8,6,5.6,4.6,12.1,145.0,60.6,0,0,5.58,4.62,0.0,,
59,Todd Collins,WAS,,12,23,52.2,144,0,0.0,0,0.0,4,6.3,6.3,12.0,48.0,71.6,2,11,5.32,5.32,8.0,,
60,Tarvaris Jackson,MIN,,14,21,66.7,201,1,4.8,0,0.0,9,9.6,10.5,14.4,25.1,113.4,0,0,9.57,10.52,0.0,,
61,Chris Simms,DEN,,5,17,29.4,23,0,0.0,1,5.9,1,1.4,-1.3,4.6,7.7,15.1,5,39,-0.73,-2.77,22.7,,
62,Michael Vick,PHI,,6,13,46.2,86,1,7.7,0,0.0,3,6.6,8.2,14.3,7.2,93.7,0,0,6.62,8.15,0.0,,
63,Matt Flynn,GNB,,7,12,58.3,58,0,0.0,1,8.3,5,4.8,1.1,8.3,3.9,36.1,1,6,4.00,0.54,7.7,,
64,J.T. O'Sullivan,CIN,,4,11,36.4,40,0,0.0,0,0.0,1,3.6,3.6,10.0,13.3,47.5,3,31,0.64,0.64,21.4,,
65,Rex Grossman,HOU,,3,9,33.3,33,0,0.0,1,11.1,1,3.7,-1.3,11.0,33.0,5.6,0,0,3.67,-1.33,0.0,,
66,Troy Smith,BAL,,5,9,55.6,24,0,0.0,1,11.1,1,2.7,-2.3,4.8,6.0,21.3,0,0,2.67,-2.33,0.0,,
67,Tyler Thigpen,2TM,,4,8,50.0,83,1,12.5,2,25.0,0,10.4,1.6,20.8,41.5,87.0,0,0,10.38,1.63,0.0,,
68,Caleb Hanie,CHI,,3,7,42.9,11,0,0.0,1,14.3,0,1.6,-4.9,3.7,5.5,10.7,0,0,1.57,-4.86,0.0,,
69,Ronnie Brown,MIA,RB,2,6,33.3,22,1,16.7,0,0.0,2,3.7,7.0,11.0,2.4,84.7,1,9,1.86,4.71,14.3,,
70,Josh McCown,CAR,,1,6,16.7,2,0,0.0,0,0.0,0,0.3,0.3,2.0,2.0,39.6,1,6,-0.57,-0.57,14.3,,
71,Pat White,MIA,,0,5,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1,9,-1.50,-1.50,16.7,,
72,Josh Cribbs,CLE,WR,1,4,25.0,18,0,0.0,1,25.0,1,4.5,-6.8,18.0,1.1,6.2,0,0,4.50,-6.75,0.0,,
73,Brian St. Pierre,ARI,,2,4,50.0,12,1,25.0,1,25.0,2,3.0,-3.3,6.0,12.0,56.2,0,0,3.00,-3.25,0.0,,
74,Luke McCown,JAX,,1,3,33.3,2,0,0.0,0,0.0,0,0.7,0.7,2.0,0.7,42.4,2,7,-1.00,-1.00,40.0,,
75,Charlie Batch,PIT,,1,2,50.0,17,0,0.0,0,0.0,1,8.5,8.5,17.0,17.0,79.2,0,0,8.50,8.50,0.0,,
76,Hunter Smith,WAS,,1,2,50.0,35,1,50.0,1,50.0,1,17.5,5.0,35.0,2.7,95.8,0,0,17.50,5.00,0.0,,
77,Joseph Addai,IND,RB,1,1,100.0,22,1,100.0,0,0.0,1,22.0,42.0,22.0,1.5,158.3,0,0,22.00,42.00,0.0,,
78,Mark Bradley,KAN,wr,1,1,100.0,26,0,0.0,0,0.0,1,26.0,26.0,26.0,2.0,118.7,0,0,26.00,26.00,0.0,,
79,Chris Brown,HOU,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
80,Josh Brown,STL,,1,1,100.0,36,1,100.0,0,0.0,1,36.0,56.0,36.0,2.3,158.3,0,0,36.00,56.00,0.0,,
81,Michael Bush,OAK,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
82,Tim Castille,KAN,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
83,Mark Clayton,BAL,WR,1,1,100.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,79.2,0,0,0.00,0.00,0.0,,
84,Michael Clayton,TAM,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
85,Phil Dawson,CLE,,1,1,100.0,10,0,0.0,0,0.0,1,10.0,10.0,10.0,0.9,108.3,0,0,10.00,10.00,0.0,,
86,Braylon Edwards,2TM,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
87,Matt Gutierrez,KAN,,1,1,100.0,3,0,0.0,0,0.0,0,3.0,3.0,3.0,3.0,79.2,0,0,3.00,3.00,0.0,,
88,Santonio Holmes,PIT,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
89,Fred Jackson,BUF,RB,1,1,100.0,27,1,100.0,0,0.0,1,27.0,47.0,27.0,1.7,158.3,0,0,27.00,47.00,0.0,,
90,Chris Johnson,TEN,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
91,Dirk Johnson,TAM,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
92,J.P. Losman,OAK,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
93,Brad Maynard,CHI,,1,1,100.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,79.2,0,0,0.00,0.00,0.0,,
94,Mewelde Moore,PIT,,1,1,100.0,6,1,100.0,0,0.0,1,6.0,26.0,6.0,0.4,131.2,0,0,6.00,26.00,0.0,,
95,Brian Moorman,BUF,,1,1,100.0,25,1,100.0,0,0.0,1,25.0,45.0,25.0,1.6,158.3,0,0,25.00,45.00,0.0,,
96,Legedu Naanee,SDG,,1,1,100.0,21,0,0.0,0,0.0,1,21.0,21.0,21.0,1.4,118.7,0,0,21.00,21.00,0.0,,
97,Clinton Portis,WAS,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
98,Ray Rice,BAL,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
99,Sidney Rice,MIN,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
100,Jon Ryan,SEA,,1,1,100.0,42,0,0.0,0,0.0,1,42.0,42.0,42.0,2.6,118.7,0,0,42.00,42.00,0.0,,
101,Brad Smith,NYJ,,1,1,100.0,27,0,0.0,0,0.0,1,27.0,27.0,27.0,2.1,118.7,0,0,27.00,27.00,0.0,,
102,Micheal Spurlock,2TM,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
103,LaDainian Tomlinson,SDG,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
104,Reggie Wayne,IND,WR,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
105,Steve Weatherford,NYJ,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
106,Brian Westbrook,PHI,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
107,Ricky Williams,MIA,rb,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
