,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Matt Schaub,HOU,QB,396,583,67.9,4770,29,5.0,15,2.6,231,8.2,8.0,12.0,298.1,98.6,25,149,7.60,7.44,4.1,2,4
1,Peyton Manning,IND,QB,393,571,68.8,4500,33,5.8,16,2.8,241,7.9,7.8,11.5,281.3,99.9,10,74,7.62,7.51,1.7,7,7
2,Tom Brady,NWE,QB,371,565,65.7,4398,28,5.0,13,2.3,215,7.8,7.7,11.9,274.9,96.2,16,86,7.42,7.38,2.8,1,1
3,Jay Cutler,CHI,QB,336,555,60.5,3666,27,4.9,26,4.7,169,6.6,5.5,10.9,229.1,76.8,35,204,5.87,4.80,5.9,2,4
4,Tony Romo,DAL,QB,347,550,63.1,4483,26,4.7,9,1.6,203,8.2,8.4,12.9,280.2,97.6,34,196,7.34,7.54,5.8,3,3
5,Kyle Orton,DEN,QB,336,541,62.1,3802,21,3.9,12,2.2,175,7.0,6.8,11.3,237.6,86.8,29,159,6.39,6.18,5.1,3,3
6,Aaron Rodgers,GNB,QB,350,541,64.7,4434,30,5.5,7,1.3,198,8.2,8.7,12.7,277.1,103.2,50,306,6.98,7.47,8.5,2,2
7,Brett Favre,MIN,QB,363,531,68.4,4202,33,6.2,7,1.3,214,7.9,8.6,11.6,262.6,107.2,34,247,7.00,7.61,6.0,2,2
8,David Garrard,JAX,QB,314,516,60.9,3597,15,2.9,10,1.9,169,7.0,6.7,11.5,224.8,83.5,42,236,6.02,5.75,7.5,3,4
9,Drew Brees,NOR,QB,363,514,70.6,4388,34,6.6,11,2.1,210,8.5,8.9,12.1,292.5,109.6,20,135,7.96,8.31,3.7,2,4
10,Kurt Warner,ARI,QB,339,513,66.1,3753,26,5.1,14,2.7,192,7.3,7.1,11.1,250.2,93.2,24,172,6.67,6.46,4.5,1,2
11,Eli Manning,NYG,QB,317,509,62.3,4021,27,5.3,14,2.8,183,7.9,7.7,12.7,251.3,93.1,30,216,7.06,6.89,5.6,1,2
12,Jason Campbell,WAS,QB,327,507,64.5,3618,20,3.9,15,3.0,187,7.1,6.6,11.1,226.1,86.4,43,285,6.06,5.56,7.8,1,1
