,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Adrian Peterson,MIN,RB,39,21,125,6.0,0,4,1.3,7.8,53.8%,3.2,363,1760,10,82,4.8,110.0,22.7,384,4.9,1885,10,9
1,Michael Turner,ATL,RB,9,6,41,6.8,0,2,0.4,2.6,66.7%,4.6,376,1699,17,85,4.5,106.2,23.5,382,4.6,1740,17,3
2,Matt Forte,CHI,RB,76,63,477,7.6,4,23,3.9,29.8,82.9%,6.3,316,1238,8,65,3.9,77.4,19.8,379,4.5,1715,12,1
3,Clinton Portis,WAS,RB,35,28,218,7.8,0,11,1.8,13.6,80.0%,6.2,342,1487,9,78,4.3,92.9,21.4,370,4.6,1705,9,3
4,Steve Slaton,HOU,RB,59,50,377,7.5,1,14,3.1,23.6,84.7%,6.4,268,1282,9,62,4.8,80.1,16.8,318,5.2,1659,10,3
5,DeAngelo Williams,CAR,RB,30,22,121,5.5,2,8,1.4,7.6,73.3%,4.0,273,1515,18,65,5.5,94.7,17.1,295,5.5,1636,20,0
6,Andre Johnson,HOU,WR,171,115,1575,13.7,8,79,7.2,98.4,67.3%,9.2,,,,0,,,,115,13.7,1575,8,1
7,LaDainian Tomlinson,SDG,RB,77,52,426,8.2,1,18,3.3,26.6,67.5%,5.5,292,1110,11,52,3.8,69.4,18.3,344,4.5,1536,12,1
8,Thomas Jones,NYJ,RB,42,36,207,5.8,2,13,2.3,12.9,85.7%,4.9,290,1312,13,63,4.5,82.0,18.1,326,4.7,1519,15,2
9,Chris Johnson,TEN,RB,62,43,260,6.0,1,11,2.9,17.3,69.4%,4.2,251,1228,9,54,4.9,81.9,16.7,294,5.1,1488,10,1
10,Steve Smith,CAR,WR,129,78,1421,18.2,6,59,5.6,101.5,60.5%,11.0,5,40,0,3,8.0,2.9,0.4,83,17.6,1461,6,1
11,Larry Fitzgerald,ARI,WR,154,96,1431,14.9,12,66,6.0,89.4,62.3%,9.3,,,,0,,,,96,14.9,1431,12,1
12,Steven Jackson,STL,RB,62,40,379,9.5,1,15,3.3,31.6,64.5%,6.1,253,1042,7,57,4.1,86.8,21.1,293,4.8,1421,8,5
13,Frank Gore,SFO,RB,66,43,373,8.7,2,13,3.1,26.6,65.2%,5.7,240,1036,6,44,4.3,74.0,17.1,283,5.0,1409,8,6
14,Derrick Ward,NYG,rb,55,41,384,9.4,0,14,2.6,24.0,74.5%,7.0,182,1025,2,53,5.6,64.1,11.4,223,6.3,1409,2,2
15,Maurice Jones-Drew,JAX,rb,75,62,565,9.1,2,28,3.9,35.3,82.7%,7.5,197,824,12,49,4.2,51.5,12.3,259,5.4,1389,14,6
16,Roddy White,ATL,WR,148,88,1382,15.7,7,60,5.5,86.4,59.5%,9.3,2,4,0,0,2.0,0.3,0.1,90,15.4,1386,7,1
17,Brian Westbrook,PHI,RB,74,54,402,7.4,5,19,3.9,28.7,73.0%,5.4,233,936,9,49,4.0,66.9,16.6,287,4.7,1338,14,2
18,Marshawn Lynch,BUF,RB,67,47,300,6.4,1,15,3.1,20.0,70.1%,4.5,250,1036,8,53,4.1,69.1,16.7,297,4.5,1336,9,2
19,Calvin Johnson,DET,WR,150,78,1331,17.1,12,52,4.9,83.2,52.0%,8.9,3,-1,0,1,-0.3,-0.1,0.2,81,16.4,1330,12,3
20,Ryan Grant,GNB,RB,22,18,116,6.4,1,3,1.1,7.3,81.8%,5.3,312,1203,4,54,3.9,75.2,19.5,330,4.0,1319,5,4
21,Marion Barber III,DAL,RB,61,52,417,8.0,2,18,3.5,27.8,85.2%,6.8,238,885,7,57,3.7,59.0,15.9,290,4.5,1302,9,7
22,Greg Jennings,GNB,WR,140,80,1292,16.2,9,55,5.0,80.8,57.1%,9.2,,,,0,,,,80,16.2,1292,9,1
23,Antonio Bryant,TAM,WR,138,83,1248,15.0,7,58,5.2,78.0,60.1%,9.0,2,22,0,2,11.0,1.4,0.1,85,14.9,1270,7,1
24,Kevin Smith,DET,RB,54,39,286,7.3,0,9,2.4,17.9,72.2%,5.3,238,976,8,51,4.1,61.0,14.9,277,4.6,1262,8,2
25,Brandon Marshall,DEN,WR,181,104,1265,12.2,6,67,6.9,84.3,57.5%,7.0,2,-4,0,0,-2.0,-0.3,0.1,106,11.9,1261,6,4
26,Wes Welker,NWE,WR,149,111,1165,10.5,3,57,6.9,72.8,74.5%,7.8,3,26,0,1,8.7,1.6,0.2,114,10.4,1191,3,1
27,Jamal Lewis,CLE,RB,32,23,178,7.7,0,8,1.4,11.1,71.9%,5.6,279,1002,4,43,3.6,62.6,17.4,302,3.9,1180,4,2
28,Ronnie Brown,MIA,RB,43,33,254,7.7,0,12,2.1,15.9,76.7%,5.9,214,916,10,49,4.3,57.3,13.4,247,4.7,1170,10,1
29,Vincent Jackson,SDG,WR,101,59,1098,18.6,7,52,3.7,68.6,58.4%,10.9,4,69,0,3,17.3,4.3,0.3,63,18.5,1167,7,1
30,Reggie Wayne,IND,WR,131,82,1145,14.0,6,65,5.1,71.6,62.6%,8.7,,,,0,,,,82,14.0,1145,6,0
31,Brandon Jacobs,NYG,RB,12,6,36,6.0,0,0,0.5,2.8,50.0%,3.0,219,1089,15,58,5.0,83.8,16.8,225,5.0,1125,15,3
32,Warrick Dunn,TAM,rb,68,47,330,7.0,0,11,3.1,22.0,69.1%,4.9,186,786,2,31,4.2,52.4,12.4,233,4.8,1116,2,0
33,Anquan Boldin,ARI,WR,127,89,1038,11.7,11,56,7.4,86.5,70.1%,8.2,9,67,0,2,7.4,5.6,0.8,98,11.3,1105,11,4
34,Eddie Royal,DEN,WR,129,91,980,10.8,5,43,6.1,65.3,70.5%,7.6,11,109,0,4,9.9,7.3,0.7,102,10.7,1089,5,2
35,Terrell Owens,DAL,WR,140,69,1052,15.2,10,38,4.3,65.8,49.3%,7.5,7,33,0,2,4.7,2.1,0.4,76,14.3,1085,10,1
36,Santana Moss,WAS,WR,138,79,1044,13.2,6,50,4.9,65.3,57.2%,7.6,1,27,0,1,27.0,1.7,0.1,80,13.4,1071,6,1
37,Tony Gonzalez,KAN,TE,155,96,1058,11.0,10,66,6.0,66.1,61.9%,6.8,,,,0,,,,96,11.0,1058,10,0
38,Hines Ward,PIT,WR,124,81,1043,12.9,7,55,5.1,65.2,65.3%,8.4,1,4,0,0,4.0,0.3,0.1,82,12.8,1047,7,1
39,Derrick Mason,BAL,WR,121,80,1037,13.0,5,60,5.0,64.8,66.1%,8.6,1,3,0,0,3.0,0.2,0.1,81,12.8,1040,5,2
40,Lee Evans,BUF,WR,102,63,1017,16.1,3,46,3.9,63.6,61.8%,10.0,1,22,0,1,22.0,1.4,0.1,64,16.2,1039,3,2
41,Le'Ron McClain,BAL,FB,30,19,123,6.5,1,7,1.2,7.7,63.3%,4.1,232,902,10,53,3.9,56.4,14.5,251,4.1,1025,11,4
42,Dwayne Bowe,KAN,WR,157,86,1022,11.9,7,49,5.4,63.9,54.8%,6.5,,,,0,,,,86,11.9,1022,7,0
43,Donald Driver,GNB,WR,116,74,1012,13.7,5,45,4.6,63.3,63.8%,8.7,2,4,0,0,2.0,0.3,0.1,76,13.4,1016,5,0
44,Steve Breaston,ARI,WR,113,77,1006,13.1,3,44,4.8,62.9,68.1%,8.9,2,8,0,0,4.0,0.5,0.1,79,12.8,1014,3,1
45,DeSean Jackson,PHI,WR,120,62,912,14.7,2,43,3.9,57.0,51.7%,7.6,17,96,1,6,5.6,6.0,1.1,79,12.8,1008,3,4
46,Randy Moss,NWE,WR,125,69,1008,14.6,11,46,4.3,63.0,55.2%,8.1,2,0,0,0,0.0,0.0,0.1,71,14.2,1008,11,3
47,Kevin Faulk,NWE,,74,58,486,8.4,3,23,3.9,32.4,78.4%,6.6,83,507,3,24,6.1,33.8,5.5,141,7.0,993,6,0
48,Bernard Berrian,MIN,WR,95,48,964,20.1,7,35,3.0,60.3,50.5%,10.1,4,26,0,2,6.5,1.6,0.3,52,19.0,990,7,1
49,Jason Witten,DAL,TE,121,81,952,11.8,4,49,5.1,59.5,66.9%,7.9,,,,0,,,,81,11.8,952,4,0
50,Larry Johnson,KAN,RB,17,12,74,6.2,0,3,1.0,6.2,70.6%,4.4,193,874,5,44,4.5,72.8,16.1,205,4.6,948,5,5
51,Cedric Benson,CIN,RB,26,20,185,9.3,0,6,1.7,15.4,76.9%,7.1,214,747,2,36,3.5,62.3,17.8,234,4.0,932,2,2
52,Lance Moore,NOR,WR,121,79,928,11.7,10,40,4.9,58.0,65.3%,7.7,,,,0,,,,79,11.7,928,10,1
53,Muhsin Muhammad,CAR,WR,107,65,923,14.2,5,46,4.1,57.7,60.7%,8.6,,,,0,,,,65,14.2,923,5,2
54,Kevin Walter,HOU,WR,95,60,899,15.0,8,39,3.8,56.2,63.2%,9.5,3,23,0,3,7.7,1.4,0.2,63,14.6,922,8,0
55,T.J. Houshmandzadeh,CIN,WR,137,92,904,9.8,4,51,6.1,60.3,67.2%,6.6,1,9,0,0,9.0,0.6,0.1,93,9.8,913,4,0
56,Pierre Thomas,NOR,rb,41,31,284,9.2,3,15,2.1,18.9,75.6%,6.9,129,625,9,43,4.8,41.7,8.6,160,5.7,909,12,1
57,Mewelde Moore,PIT,,53,40,320,8.0,1,17,2.5,20.0,75.5%,6.0,140,588,5,36,4.2,36.8,8.8,180,5.0,908,6,2
58,Justin Fargas,OAK,RB,15,10,52,5.2,0,2,0.7,3.7,66.7%,3.5,218,853,1,33,3.9,60.9,15.6,228,4.0,905,1,3
59,Fred Jackson,BUF,,45,37,317,8.6,0,12,2.3,19.8,82.2%,7.0,130,571,3,33,4.4,35.7,8.1,167,5.3,888,3,3
60,Sammy Morris,NWE,RB,24,17,161,9.5,0,5,1.3,12.4,70.8%,6.7,156,727,7,46,4.7,55.9,12.0,173,5.1,888,7,1
61,Jonathan Stewart,CAR,,17,8,47,5.9,0,2,0.5,2.9,47.1%,2.8,184,836,10,42,4.5,52.3,11.5,192,4.6,883,10,2
62,Ricky Williams,MIA,rb,39,29,219,7.6,1,10,1.8,13.7,74.4%,5.6,160,659,4,36,4.1,41.2,10.0,189,4.6,878,5,5
63,Braylon Edwards,CLE,WR,138,55,873,15.9,3,42,3.4,54.6,39.9%,6.3,,,,0,,,,55,15.9,873,3,0
64,Jerricho Cotchery,NYJ,WR,112,71,858,12.1,5,43,4.4,53.6,63.4%,7.7,2,8,0,0,4.0,0.5,0.1,73,11.9,866,5,2
65,Ted Ginn Jr.,MIA,WR,93,56,790,14.1,2,36,3.5,49.4,60.2%,8.5,5,73,2,2,14.6,4.6,0.3,61,14.1,863,4,5
66,Owen Daniels,HOU,TE,101,70,862,12.3,2,46,4.4,53.9,69.3%,8.5,,,,0,,,,70,12.3,862,2,2
67,Laveranues Coles,NYJ,WR,116,70,850,12.1,7,45,4.4,53.1,60.3%,7.3,2,9,0,0,4.5,0.6,0.1,72,11.9,859,7,1
68,Chris Cooley,WAS,TE,111,83,849,10.2,1,43,5.2,53.1,74.8%,7.6,,,,0,,,,83,10.2,849,1,3
69,Dallas Clark,IND,TE,107,77,848,11.0,6,41,5.1,56.5,72.0%,7.9,,,,0,,,,77,11.0,848,6,2
70,Reggie Bush,NOR,RB,73,52,440,8.5,4,22,5.2,44.0,71.2%,6.0,106,404,2,20,3.8,40.4,10.6,158,5.3,844,6,3
71,Willis McGahee,BAL,RB,32,24,173,7.2,0,8,1.8,13.3,75.0%,5.4,170,671,7,36,3.9,51.6,13.1,194,4.4,844,7,3
72,Dominic Rhodes,IND,rb,59,45,302,6.7,3,15,3.0,20.1,76.3%,5.1,152,538,6,27,3.5,35.9,10.1,197,4.3,840,9,0
73,Isaac Bruce,SFO,WR,108,61,835,13.7,7,44,3.8,52.2,56.5%,7.7,1,-3,0,0,-3.0,-0.2,0.1,62,13.4,832,7,0
74,Santonio Holmes,PIT,WR,114,55,821,14.9,5,40,3.7,54.7,48.2%,7.2,2,9,0,1,4.5,0.6,0.1,57,14.6,830,5,4
75,Jerious Norwood,ATL,,54,36,338,9.4,2,12,2.3,21.1,66.7%,6.3,95,489,4,22,5.1,30.6,5.9,131,6.3,827,6,2
76,Devery Henderson,NOR,WR,56,32,793,24.8,3,27,2.0,49.6,57.1%,14.2,4,33,0,1,8.3,2.1,0.3,36,22.9,826,3,1
77,Willie Parker,PIT,RB,10,3,13,4.3,0,0,0.3,1.2,30.0%,1.3,210,791,5,29,3.8,71.9,19.1,213,3.8,804,5,0
78,Leon Washington,NYJ,,61,47,355,7.6,2,17,2.9,22.2,77.0%,5.8,76,448,6,17,5.9,28.0,4.8,123,6.5,803,8,3
79,Chester Taylor,MIN,,55,45,399,8.9,2,17,2.8,24.9,81.8%,7.3,101,399,4,19,4.0,24.9,6.3,146,5.5,798,6,2
80,Torry Holt,STL,WR,119,64,796,12.4,3,40,4.0,49.8,53.8%,6.7,,,,0,,,,64,12.4,796,3,0
81,LenDale White,TEN,rb,10,5,16,3.2,0,1,0.3,1.0,50.0%,1.6,200,773,15,43,3.9,48.3,12.5,205,3.8,789,15,1
82,Darren McFadden,OAK,rb,39,29,285,9.8,0,13,2.2,21.9,74.4%,7.3,113,499,4,25,4.4,38.4,8.7,142,5.5,784,4,3
83,Zach Miller,OAK,TE,86,56,778,13.9,1,32,3.5,48.6,65.1%,9.0,,,,0,,,,56,13.9,778,1,0
84,Michael Jenkins,ATL,WR,81,50,777,15.5,3,37,3.1,48.6,61.7%,9.6,,,,0,,,,50,15.5,777,3,0
85,Mark Clayton,BAL,WR,82,41,695,17.0,3,23,2.6,43.4,50.0%,8.5,6,81,1,3,13.5,5.1,0.4,47,16.5,776,4,0
86,Julius Jones,SEA,RB,25,14,66,4.7,0,4,0.9,4.4,56.0%,2.6,158,698,2,30,4.4,46.5,10.5,172,4.4,764,2,4
87,Matt Jones,JAX,WR,107,65,761,11.7,2,46,5.4,63.4,60.7%,7.1,,,,0,,,,65,11.7,761,2,1
88,Marques Colston,NOR,wr,88,47,760,16.2,5,35,4.3,69.1,53.4%,8.6,,,,0,,,,47,16.2,760,5,1
89,Joseph Addai,IND,RB,39,25,206,8.2,2,9,2.1,17.2,64.1%,5.3,155,544,5,34,3.5,45.3,12.9,180,4.2,750,7,1
90,Donnie Avery,STL,WR,102,53,674,12.7,3,29,3.5,44.9,52.0%,6.6,10,69,1,3,6.9,4.6,0.7,63,11.8,743,4,0
91,Earnest Graham,TAM,RB,33,23,174,7.6,0,6,2.3,17.4,69.7%,5.3,132,563,4,26,4.3,56.3,13.2,155,4.8,737,4,2
92,Ray Rice,BAL,,43,33,273,8.3,0,12,2.5,21.0,76.7%,6.3,107,454,0,21,4.2,34.9,8.2,140,5.2,727,0,1
93,Devin Hester,CHI,WR,91,51,665,13.0,3,29,3.4,44.3,56.0%,7.3,6,61,0,4,10.2,4.1,0.4,57,12.7,726,3,5
94,Maurice Morris,SEA,rb,27,19,136,7.2,2,5,1.5,10.5,70.4%,5.0,132,574,0,29,4.3,44.2,10.2,151,4.7,710,2,1
95,Antonio Gates,SDG,TE,92,60,704,11.7,8,39,3.8,44.0,65.2%,7.7,,,,0,,,,60,11.7,704,8,1
96,Correll Buckhalter,PHI,,32,26,324,12.5,2,15,1.9,23.1,81.3%,10.1,76,369,2,18,4.9,26.4,5.4,102,6.8,693,4,0
97,Darren Sproles,SDG,,34,29,342,11.8,5,14,1.8,21.4,85.3%,10.1,61,330,1,15,5.4,20.6,3.8,90,7.5,672,6,3
98,Anthony Gonzalez,IND,,79,57,664,11.6,4,36,3.6,41.5,72.2%,8.4,,,,0,,,,57,11.6,664,4,0
99,Tashard Choice,DAL,,30,21,185,8.8,0,6,1.3,11.6,70.0%,6.2,92,472,2,25,5.1,29.5,5.8,113,5.8,657,2,0
100,Fred Taylor,JAX,RB,22,16,98,6.1,0,2,1.2,7.5,72.7%,4.5,143,556,1,24,3.9,42.8,11.0,159,4.1,654,1,1
101,Justin Gage,TEN,WR,74,34,651,19.1,6,28,2.8,54.3,45.9%,8.8,,,,0,,,,34,19.1,651,6,0
102,Nate Washington,PIT,,78,40,631,15.8,3,24,2.5,39.4,51.3%,8.1,5,18,0,2,3.6,1.1,0.3,45,14.4,649,3,0
103,Bobby Wade,MIN,WR,89,53,645,12.2,2,32,3.3,40.3,59.6%,7.2,,,,0,,,,53,12.2,645,2,2
104,Tony Scheffler,DEN,TE,61,40,645,16.1,3,28,3.1,49.6,65.6%,10.6,1,-1,0,0,-1.0,-0.1,0.1,41,15.7,644,3,1
105,Marvin Harrison,IND,WR,107,60,636,10.6,5,41,4.0,42.4,56.1%,5.9,,,,0,,,,60,10.6,636,5,1
106,Tim Hightower,ARI,rb,50,34,237,7.0,0,11,2.1,14.8,68.0%,4.7,143,399,10,34,2.8,24.9,8.9,177,3.6,636,10,2
