,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Rob Bironas,TEN,,,,12,10,12,12,10,9,5,4,39,35,89.7%,28,28,100.0%,75,5014,16,21.3%,66.9,,,
1,Mason Crosby,GNB,,1,1,8,8,11,10,14,9,5,3,39,31,79.5%,48,48,100.0%,93,5783,14,15.1%,62.2,,,
2,Robbie Gould,CHI,,,,7,7,13,12,14,12,2,,36,31,86.1%,33,33,100.0%,79,4644,3,3.8%,58.8,2,53,26.5
3,Mike Nugent,NYJ,,1,1,11,11,12,10,8,6,4,1,36,29,80.6%,24,23,95.8%,65,3952,9,13.8%,60.8,,,
4,Jason Hanson,DET,,1,1,5,4,12,10,13,11,4,3,35,29,82.9%,36,35,97.2%,82,5197,13,15.9%,63.4,,,
5,Shaun Suisham,WAS,,,,10,10,10,8,13,10,2,1,35,29,82.9%,30,29,96.7%,76,4377,6,7.9%,57.6,,,
6,Josh Brown,SEA,,,,12,12,5,5,12,8,5,3,34,28,82.4%,43,43,100.0%,87,5481,13,14.9%,63.0,,,
7,Shayne Graham,CIN,,1,1,12,11,13,13,7,6,1,,34,31,91.2%,37,37,100.0%,86,5300,8,9.3%,61.6,,,
8,Matt Bryant,TAM,,,,12,11,11,11,7,6,3,,33,28,84.8%,34,34,100.0%,78,4683,6,7.7%,60.0,,,
9,David Akers,PHI,,,,12,12,10,10,6,1,4,1,32,24,75.0%,36,36,100.0%,78,4796,6,7.7%,61.5,,,
10,Sebastian Janikowski,OAK,,,,4,4,7,6,10,7,11,6,32,23,71.9%,28,28,100.0%,67,4259,22,32.8%,63.6,,,
11,Matt Stover,BAL,,1,1,11,11,7,7,12,8,1,,32,27,84.4%,26,26,100.0%,65,4032,7,10.8%,62.0,,,
12,Jeff Wilkins,STL,,,,8,7,7,6,13,8,4,3,32,24,75.0%,25,25,100.0%,66,4142,5,7.6%,62.8,,,
13,Jason Elam,DEN,,,,11,11,6,6,12,9,2,1,31,27,87.1%,33,33,100.0%,,,,,,1,31,31.0
14,Nick Folk,DAL,,,,12,10,7,7,7,7,5,2,31,26,83.9%,53,53,100.0%,94,5800,4,4.3%,61.7,,,
15,Phil Dawson,CLE,,2,2,10,9,8,7,8,7,2,1,30,26,86.7%,43,42,97.7%,85,5214,5,5.9%,61.3,,,
16,Neil Rackers,ARI,,2,2,5,5,8,6,6,5,9,3,30,21,70.0%,48,47,97.9%,80,5138,17,21.3%,64.2,,,
