,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
17,Kris Brown,HOU,,1,1,7,6,6,6,10,7,5,5,29,25,86.2%,40,40,100.0%,84,5274,11,13.1%,62.8,,,
18,Adam Vinatieri,IND,,1,1,15,14,10,8,2,,1,,29,23,79.3%,51,49,96.1%,91,5906,9,9.9%,64.9,,,
19,John Kasay,CAR,,2,2,6,6,9,8,9,6,2,2,28,24,85.7%,27,27,100.0%,53,3211,2,3.8%,60.6,2,60,30.0
20,Morten Andersen,ATL,,,,9,9,12,12,7,4,,,28,25,89.3%,24,24,100.0%,,,,,,,,
21,Nate Kaeding,SDG,,,,11,11,6,5,8,7,2,1,27,24,88.9%,46,46,100.0%,72,4528,7,9.7%,62.9,,,
22,Rian Lindell,BUF,,,,11,11,7,7,6,4,3,2,27,24,88.9%,24,24,100.0%,65,3972,6,9.2%,61.1,,,
23,Lawrence Tynes,NYG,,1,1,10,9,8,5,8,8,,,27,23,85.2%,42,40,95.2%,82,4931,8,9.8%,60.1,,,
24,Jeff Reed,PIT,,,,9,9,10,10,5,4,1,,25,23,92.0%,44,44,100.0%,86,5242,10,11.6%,61.0,,,
25,Stephen Gostkowski,NWE,,,,10,10,9,8,5,3,,,24,21,87.5%,74,74,100.0%,112,7109,15,13.4%,63.5,,,
26,Ryan Longwell,MIN,,,,3,3,6,6,11,10,4,1,24,20,83.3%,40,39,97.5%,77,4778,9,11.7%,62.1,,,
27,Jay Feely,MIA,,,,7,7,6,6,9,7,1,1,23,21,91.3%,26,26,100.0%,66,3779,8,12.1%,57.3,,,
28,Dave Rayner,2TM,,,,3,3,10,7,8,5,1,,22,15,68.2%,14,14,100.0%,39,2578,3,7.7%,66.1,,,
29,Joe Nedney,SFO,,1,1,5,5,6,6,4,4,3,1,19,17,89.5%,22,22,100.0%,57,3378,4,7.0%,59.3,,,
30,Olindo Mare,NOR,,,,5,4,4,3,3,2,5,1,17,10,58.8%,34,34,100.0%,52,3292,15,28.8%,63.3,,,
31,John Carney,2TM,,2,2,3,3,5,5,4,2,,,14,12,85.7%,28,27,96.4%,55,3412,7,12.7%,62.0,,,
32,Josh Scobee,JAX,,,,6,6,3,3,4,3,,,13,12,92.3%,27,26,96.3%,46,2863,12,26.1%,62.2,,,
33,Martin Gramatica,NOR,,,,,,2,2,2,2,1,1,5,5,100.0%,8,8,100.0%,15,834,1,6.7%,55.6,,,
34,Matt Prater,2TM,,,,1,,,,3,1,,,4,1,25.0%,1,1,100.0%,4,277,3,75.0%,69.3,,,
35,Michael Koenen,ATL,,,,,,,,,,2,,2,,0.0%,,,,64,4107,12,18.8%,64.2,88,3824,43.5
36,Justin Medlock,KAN,,,,1,1,1,,,,,,2,1,50.0%,,,,2,136,,,68.0,,,
37,Andy Lee,SFO,,,,,,,,,,,,,,,,,,,,,,,105,4968,47.3
38,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,1,70,,,70.0,95,4322,45.5
39,Jason Baker,CAR,,,,,,,,,,,,,,,,,,7,435,,,62.1,90,3978,44.2
40,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,88,3682,41.8
41,Ryan Plackemeier,SEA,,,,,,,,,,,,,,,,,,2,104,,,52.0,86,3436,40.0
42,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,2,140,,,70.0,81,3621,44.7
43,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,30,,,30.0,81,3302,40.8
44,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,5,274,,,54.8,81,3735,46.1
45,Donnie Jones,STL,,,,,,,,,,,,,,,,,,,,,,,78,3684,47.2
46,Sam Koch,BAL,,,,,,,,,,,,,,,,,,2,65,,,32.5,78,3397,43.6
47,Josh Bidwell,TAM,,,,,,,,,,,,,,,,,,1,31,,,31.0,77,3382,43.9
48,Brandon Fields,MIA,,,,,,,,,,,,,,,,,,1,60,,,60.0,77,3327,43.2
49,Derrick Frost,WAS,,,,,,,,,,,,,,,,,,1,59,,,59.0,75,3072,41.0
50,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,1,53,,,53.0,73,3585,49.1
51,Saverio Rocca,PHI,,,,,,,,,,,,,,,,,,,,,,,73,3066,42.0
52,Jeff Feagles,NYG,,,,,,,,,,,,,,,,,,1,56,,,56.0,71,2865,40.4
53,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,,,,,,70,2939,42.0
54,Nick Harris,DET,,,,,,,,,,,,,,,,,,1,63,,,63.0,68,3010,44.3
55,Daniel Sepulveda,PIT,,,,,,,,,,,,,,,,,,,,,,,68,2880,42.4
56,Ben Graham,NYJ,,,,,,,,,,,,,,,,,,,,,,,66,2855,43.3
57,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,,,,,,63,2970,47.1
58,Steve Weatherford,NOR,,,,,,,,,,,,,,,,,,10,602,,,60.2,63,2757,43.8
59,Jon Ryan,GNB,,,,,,,,,,,,,,,,,,,,,,,60,2664,44.4
60,Mike Barr,ARI,,,,,,,,,,,,,,,,,,,,,,,59,2385,40.4
61,Kyle Larson,CIN,,,,,,,,,,,,,,,,,,2,67,,,33.5,59,2437,41.3
62,Matt Turk,HOU,,,,,,,,,,,,,,,,,,,,,,,55,2296,41.7
63,Adam Podlesh,JAX,,,,,,,,,,,,,,,,,,4,214,,,53.5,54,2249,41.6
64,Hunter Smith,IND,,,,,,,,,,,,,,,,,,,,,,,52,2181,41.9
65,Dave Zastudil,CLE,,,,,,,,,,,,,,,,,,,,,,,49,2046,41.8
66,Todd Sauerbrun,DEN,,,,,,,,,,,,,,,,,,69,4437,11,15.9%,64.3,47,2200,46.8
67,Chris Hanson,NWE,,,,,,,,,,,,,,,,,,,,,,,44,1821,41.4
68,Mitch Berger,ARI,,,,,,,,,,,,,,,,,,1,52,,,52.0,20,813,40.7
69,Scott Player,CLE,,,,,,,,,,,,,,,,,,,,,,,13,593,45.6
70,Paul Ernster,2TM,,,,,,,,,,,,,,,,,,,,,,,12,434,36.2
71,Jeremy Kapinos,NYJ,,,,,,,,,,,,,,,,,,,,,,,5,208,41.6
72,Sam Paulescu,DEN,,,,,,,,,,,,,,,,,,,,,,,5,221,44.2
73,Dirk Johnson,CHI,,,,,,,,,,,,,,,,,,,,,,,4,199,49.8
74,Josh Miller,TEN,,,,,,,,,,,,,,,,,,,,,,,3,121,40.3
