,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Jason Elam,DEN,,,,10,10,8,7,12,9,4,3,34,29,85.3%,42,42,100.0%,1,18,,,18.0,,,
1,Jeff Reed,PIT,,1,1,9,8,13,12,8,5,2,2,33,28,84.8%,40,40,100.0%,84,5127,7,8.3%,61.0,,,
2,Adam Vinatieri,NWE,,,,13,13,7,7,12,11,1,,33,31,93.9%,48,48,100.0%,94,5886,6,6.4%,62.6,,,
3,David Akers,PHI,,,,4,4,7,6,18,15,3,2,32,27,84.4%,42,41,97.6%,86,5557,12,14.0%,64.6,1,36,36.0
4,Matt Stover,BAL,,2,2,9,9,8,7,10,9,3,2,32,29,90.6%,30,30,100.0%,23,1441,2,8.7%,62.7,1,33,33.0
5,Shayne Graham,CIN,,,,7,7,12,10,8,7,4,3,31,27,87.1%,41,41,100.0%,82,4956,2,2.4%,60.4,,,
6,Josh Scobee,JAX,,,,10,10,11,8,7,5,3,1,31,24,77.4%,21,21,100.0%,62,3955,11,17.7%,63.8,,,
7,Doug Brien,NYJ,,,,10,9,6,4,11,10,2,1,29,24,82.8%,34,33,97.1%,3,199,,,66.3,,,
8,Phil Dawson,CLE,,,,11,11,8,6,9,6,1,1,29,24,82.8%,28,28,100.0%,69,4170,5,7.2%,60.4,,,
9,Neil Rackers,ARI,,,,6,6,7,5,7,6,9,5,29,22,75.9%,28,28,100.0%,70,4658,23,32.9%,66.5,,,
10,Steve Christie,NYG,,1,1,8,8,8,6,7,4,4,3,28,22,78.6%,33,33,100.0%,71,4064,2,2.8%,57.2,1,19,19.0
11,Rian Lindell,BUF,,,,14,13,11,10,3,1,,,28,24,85.7%,45,45,100.0%,83,4835,3,3.6%,58.3,1,37,37.0
12,Jason Hanson,DET,,,,9,9,11,10,8,5,,,28,24,85.7%,28,28,100.0%,71,4462,14,19.7%,62.8,,,
13,Sebastian Janikowski,OAK,,1,1,7,7,8,7,10,8,2,2,28,25,89.3%,32,31,96.9%,76,4828,12,15.8%,63.5,,,
14,Ryan Longwell,GNB,,,,8,8,9,8,8,6,3,2,28,24,85.7%,48,48,100.0%,83,4862,2,2.4%,58.6,,,
15,John Carney,NOR,,,,3,3,15,12,6,5,3,2,27,22,81.5%,38,38,100.0%,42,2622,,,62.4,,,
16,Billy Cundiff,DAL,,1,1,6,6,4,4,13,9,2,,26,20,76.9%,31,31,100.0%,67,4090,3,4.5%,61.0,1,34,34.0
17,Josh Brown,SEA,,1,1,7,7,9,8,7,6,1,1,25,23,92.0%,40,40,100.0%,82,5018,5,6.1%,61.2,1,35,35.0
18,Nate Kaeding,SDG,,1,1,11,9,2,2,6,5,5,3,25,20,80.0%,55,54,98.2%,89,5298,2,2.2%,59.5,,,
19,Mike Vanderjagt,IND,,,,6,6,11,9,7,5,1,,25,20,80.0%,60,59,98.3%,32,1858,,,58.1,,,
20,Paul Edinger,CHI,,,,7,6,5,2,7,4,5,3,24,15,62.5%,22,22,100.0%,56,3285,,,58.7,2,53,26.5
21,Kris Brown,HOU,,,,7,7,5,3,9,6,3,1,24,17,70.8%,34,34,100.0%,69,4383,9,13.0%,63.5,,,
22,Jeff Wilkins,STL,,,,7,7,6,5,6,3,5,4,24,19,79.2%,32,32,100.0%,70,4433,3,4.3%,63.3,,,
23,Jay Feely,ATL,,1,1,7,7,9,7,6,3,,,23,18,78.3%,40,40,100.0%,73,4580,13,17.8%,62.7,,,
24,Lawrence Tynes,KAN,,,,5,5,8,7,6,3,4,2,23,17,73.9%,60,58,96.7%,94,5674,7,7.4%,60.4,,,
25,John Kasay,CAR,,,,11,11,4,4,2,1,5,3,22,19,86.4%,28,27,96.4%,55,3291,2,3.6%,59.8,2,51,25.5
26,Morten Andersen,MIN,,1,1,8,8,7,5,6,4,,,22,18,81.8%,45,45,100.0%,8,433,,,54.1,,,
27,Gary Anderson,TEN,,,,5,4,4,4,12,9,1,,22,17,77.3%,37,37,100.0%,,,,,,,,
