,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Nick Folk,NYJ,,,,13,13,7,7,13,9,6,3,39,32,82.1%,23,23,100.0%,69,4340,21,30.4%,62.9,,,
1,Dan Carpenter,BUF,,,,10,10,12,11,8,7,8,6,38,34,89.5%,32,31,96.9%,,,,,,,,
2,Stephen Gostkowski,NWE,,1,1,11,11,11,10,13,12,1,1,37,35,94.6%,51,51,100.0%,99,6328,53,53.5%,63.9,,,
3,Stephen Hauschka,SEA,,,,10,10,10,10,13,9,4,2,37,31,83.8%,41,41,100.0%,88,5728,46,52.3%,65.1,,,
4,Caleb Sturgis,MIA,,1,1,12,12,8,7,10,6,6,3,37,29,78.4%,41,41,100.0%,85,5448,37,43.5%,64.1,,,
5,Cody Parkey,PHI,,,,10,10,16,14,6,4,4,4,36,32,88.9%,54,54,100.0%,98,6401,46,46.9%,65.3,,,
6,Randy Bullock,HOU,,,,7,6,15,13,8,7,5,4,35,30,85.7%,40,40,100.0%,86,5613,40,46.5%,65.3,,,
7,Graham Gano,CAR,,,,7,7,14,13,11,8,3,1,35,29,82.9%,34,34,100.0%,79,5196,61,77.2%,65.8,,,
8,Blair Walsh,MIN,,2,2,5,4,10,8,9,7,9,5,35,26,74.3%,29,29,100.0%,76,4792,48,63.2%,63.1,,,
9,Justin Tucker,BAL,,,,10,10,11,11,4,4,9,4,34,29,85.3%,42,42,100.0%,88,5704,60,68.2%,64.8,,,
10,Chandler Catanzaro,ARI,,,,5,5,14,12,11,10,3,2,33,29,87.9%,27,27,100.0%,76,5054,38,50.0%,66.5,,,
11,Mason Crosby,GNB,,,,7,7,11,10,8,6,7,4,33,27,81.8%,55,53,96.4%,102,6288,41,40.2%,61.6,,,
