,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Alvin Kamara,NOR,rb,35,30,321,10.7,3,13,7.5,80.3,85.7%,9.2,50,236,4,14,4.7,59.0,12.5,80,7.0,557,7,0
1,Aaron Jones,GNB,rb,23,15,135,9.0,2,7,3.8,33.8,65.2%,5.9,65,374,4,17,5.8,93.5,16.3,80,6.4,509,6,1
2,Dalvin Cook,MIN,rb,11,7,40,5.7,0,2,1.8,10.0,63.6%,3.6,75,424,6,25,5.7,106.0,18.8,82,5.7,464,6,1
3,James Robinson,JAX,rb,15,14,161,11.5,0,6,3.5,40.3,93.3%,10.7,60,285,3,15,4.8,71.3,15.0,74,6.0,446,3,0
4,Clyde Edwards-Helaire,KAN,rb,19,14,129,9.2,0,5,3.5,32.3,73.7%,6.8,71,304,1,13,4.3,76.0,17.8,85,5.1,433,1,0
5,Ezekiel Elliott,DAL,rb,30,23,159,6.9,1,9,5.8,39.8,76.7%,5.3,70,273,3,19,3.9,68.3,17.5,93,4.6,432,4,3
6,Stefon Diggs,BUF,wr,35,26,403,15.5,2,18,6.5,100.8,74.3%,11.5,,,,0,,,,26,15.5,403,2,0
7,D.K. Metcalf,SEA,wr,28,16,403,25.2,3,13,4.0,100.8,57.1%,14.4,,,,0,,,,16,25.2,403,3,1
8,Joe Mixon,CIN,rb,15,13,88,6.8,1,4,3.3,22.0,86.7%,5.9,77,315,2,16,4.1,78.8,19.3,90,4.5,403,3,1
9,Amari Cooper,DAL,wr,51,37,401,10.8,1,22,9.3,100.3,72.5%,7.9,,,,0,,,,37,10.8,401,1,0
10,Josh Jacobs,LVR,rb,17,13,100,7.7,0,2,3.3,25.0,76.5%,5.9,83,300,3,19,3.6,75.0,20.8,96,4.2,400,3,1
11,DeAndre Hopkins,ARI,wr,46,39,397,10.2,1,24,9.8,99.3,84.8%,8.6,,,,0,,,,39,10.2,397,1,0
12,Austin Ekeler,LAC,rb,17,17,144,8.5,0,7,4.3,36.0,100.0%,8.5,49,248,1,14,5.1,62.0,12.3,66,5.9,392,1,0
13,Terry McLaurin,WAS,wr,39,26,387,14.9,1,20,6.5,96.8,66.7%,9.9,1,3,0,1,3.0,0.8,0.3,27,14.4,390,1,0
14,Robby Anderson,CAR,wr,34,28,377,13.5,1,16,7.0,94.3,82.4%,11.1,,,,0,,,,28,13.5,377,1,1
15,Calvin Ridley,ATL,wr,40,21,349,16.6,4,19,5.3,87.3,52.5%,8.7,2,6,0,1,3.0,1.5,0.5,23,15.4,355,4,0
16,Nick Chubb,CLE,rb,3,3,17,5.7,0,1,0.8,4.3,100.0%,5.7,57,335,4,16,5.9,83.8,14.3,60,5.9,352,4,1
17,Chris Carson,SEA,rb,16,15,113,7.5,3,6,3.8,28.3,93.8%,7.1,53,237,2,15,4.5,59.3,13.3,68,5.1,350,5,1
18,Justin Jefferson,MIN,wr,20,16,348,21.8,1,14,4.0,87.0,80.0%,17.4,,,,0,,,,16,21.8,348,1,0
19,Derrick Henry,TEN,rb,8,5,26,5.2,0,3,1.7,8.7,62.5%,3.3,82,319,2,18,3.9,106.3,27.3,87,4.0,345,2,0
20,Jonathan Taylor,IND,rb,10,10,90,9.0,0,2,2.5,22.5,100.0%,9.0,65,250,2,14,3.8,62.5,16.3,75,4.5,340,2,0
21,Allen Robinson,CHI,wr,41,25,331,13.2,2,16,6.3,82.8,61.0%,8.1,1,-1,0,0,-1.0,-0.3,0.3,26,12.7,330,2,0
22,Keenan Allen,LAC,wr,48,32,327,10.2,1,19,8.0,81.8,66.7%,6.8,,,,0,,,,32,10.2,327,1,2
23,Devin Singletary,BUF,rb,21,16,114,7.1,0,2,4.0,28.5,76.2%,5.4,50,213,1,15,4.3,53.3,12.5,66,5.0,327,1,0
24,Melvin Gordon,DEN,rb,15,11,45,4.1,1,2,2.8,11.3,73.3%,3.0,65,281,3,11,4.3,70.3,16.3,76,4.3,326,4,1
25,Tyler Boyd,CIN,wr,34,28,320,11.4,1,23,7.0,80.0,82.4%,9.4,1,4,0,0,4.0,1.0,0.3,29,11.2,324,1,0
26,CeeDee Lamb,DAL,wr,29,21,309,14.7,2,14,5.3,77.3,72.4%,10.7,3,13,0,0,4.3,3.3,0.8,24,13.4,322,2,0
27,Tyreek Hill,KAN,wr,29,19,286,15.1,4,15,4.8,71.5,65.5%,9.9,3,34,0,1,11.3,8.5,0.8,22,14.5,320,4,1
28,Kareem Hunt,CLE,,11,8,42,5.3,2,3,2.0,10.5,72.7%,3.8,50,275,3,16,5.5,68.8,12.5,58,5.5,317,5,1
