,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Brett Favre,GNB,QB,372,607,61.3,3881,20,3.3,29,4.8,202,6.4,4.9,10.4,242.6,70.9,24,170,5.88,4.45,3.8,1,1
1,Kerry Collins,OAK,QB,302,565,53.5,3759,20,3.5,12,2.1,180,6.7,6.4,12.4,250.6,77.3,39,261,5.79,5.56,6.5,1,1
2,Eli Manning,NYG,QB,294,557,52.8,3762,24,4.3,17,3.1,176,6.8,6.2,12.8,235.1,75.9,28,184,6.12,5.63,4.8,1,2
3,Tom Brady,NWE,QB,334,530,63.0,4110,26,4.9,14,2.6,197,7.8,7.5,12.3,256.9,92.3,26,188,7.05,6.86,4.7,3,4
4,Carson Palmer,CIN,QB,345,509,67.8,3836,32,6.3,12,2.4,198,7.5,7.7,11.1,239.8,101.1,19,105,7.07,7.26,3.6,1,3
5,Trent Green,KAN,QB,317,507,62.5,4014,17,3.4,10,2.0,182,7.9,7.7,12.7,250.9,90.1,32,204,7.07,6.86,5.9,2,3
6,Drew Brees,SDG,QB,323,500,64.6,3576,24,4.8,15,3.0,183,7.2,6.8,11.1,223.5,89.2,27,223,6.36,5.99,5.1,2,2
7,Drew Bledsoe,DAL,QB,300,499,60.1,3639,23,4.6,17,3.4,178,7.3,6.7,12.1,227.4,83.7,49,295,6.10,5.55,8.9,4,5
8,Gus Frerotte,MIA,QB,257,494,52.0,2996,18,3.6,13,2.6,141,6.1,5.6,11.7,187.3,71.9,26,158,5.46,5.03,5.0,0,1
9,Steve McNair,TEN,QB,292,476,61.3,3161,16,3.4,11,2.3,164,6.6,6.3,10.8,225.8,82.4,20,134,6.10,5.75,4.0,0,1
10,Jake Plummer,DEN,QB,277,456,60.7,3366,18,3.9,7,1.5,161,7.4,7.5,12.2,210.4,90.2,22,135,6.76,6.85,4.6,1,2
11,Mark Brunell,WAS,QB,262,454,57.7,3050,23,5.1,10,2.2,155,6.7,6.7,11.6,190.6,85.9,27,213,5.90,5.92,5.6,2,3
12,Peyton Manning,IND,QB,305,453,67.3,3747,28,6.2,10,2.2,198,8.3,8.5,12.3,234.2,104.1,17,81,7.80,8.03,3.6,1,1
13,Matt Hasselbeck,SEA,QB,294,449,65.5,3459,24,5.3,9,2.0,182,7.7,7.9,11.8,216.2,98.2,24,154,6.99,7.15,5.1,2,2
14,Jake Delhomme,CAR,QB,262,435,60.2,3421,24,5.5,16,3.7,156,7.9,7.3,13.1,213.8,88.1,28,214,6.93,6.41,6.0,3,3
15,Aaron Brooks,NOR,QB,240,431,55.7,2882,13,3.0,17,3.9,145,6.7,5.5,12.0,221.7,70.0,33,202,5.78,4.69,7.1,1,2
16,David Carr,HOU,QB,256,423,60.5,2488,14,3.3,11,2.6,139,5.9,5.4,9.7,155.5,77.2,68,424,4.20,3.77,13.8,0,1
17,Michael Vick,ATL,QB,214,387,55.3,2412,15,3.9,13,3.4,126,6.2,5.5,11.3,160.8,73.1,33,201,5.26,4.59,7.9,0,1
18,Kurt Warner,ARI,QB,242,375,64.5,2713,11,2.9,9,2.4,133,7.2,6.7,11.2,271.3,85.8,23,158,6.42,5.95,5.8,2,2
19,Kyle Orton,CHI,QB,190,368,51.6,1869,9,2.4,13,3.5,93,5.1,4.0,9.8,124.6,59.7,30,190,4.22,3.20,7.5,0,1
20,Donovan McNabb,PHI,QB,211,357,59.1,2507,16,4.5,9,2.5,116,7.0,6.8,11.9,278.6,85.0,19,112,6.37,6.14,5.1,0,2
21,Trent Dilfer,CLE,QB,199,333,59.8,2321,11,3.3,12,3.6,100,7.0,6.0,11.7,211.0,76.9,23,139,6.13,5.23,6.5,1,1
22,Joey Harrington,DET,QB,188,330,57.0,2021,12,3.6,12,3.6,100,6.1,5.2,10.8,168.4,72.0,24,136,5.32,4.48,6.8,1,1
23,Chris Simms,TAM,QB,191,313,61.0,2035,10,3.2,7,2.2,107,6.5,6.1,10.7,185.0,81.4,29,205,5.35,5.01,8.5,3,3
24,Byron Leftwich,JAX,QB,175,302,57.9,2123,15,5.0,5,1.7,101,7.0,7.3,12.1,193.0,89.3,23,110,6.19,6.42,7.1,2,3
25,Brad Johnson,MIN,QB,184,294,62.6,1885,12,4.1,4,1.4,93,6.4,6.6,10.2,125.7,88.9,23,134,5.52,5.71,7.3,0,2
26,Kyle Boller,BAL,QB,171,293,58.4,1799,11,3.8,12,4.1,86,6.1,5.0,10.5,199.9,71.8,23,146,5.23,4.22,7.3,2,3
27,Marc Bulger,STL,QB,192,287,66.9,2297,14,4.9,9,3.1,110,8.0,7.6,12.0,287.1,94.4,26,188,6.74,6.34,8.3,0,1
28,Josh McCown,ARI,qb,163,270,60.4,1836,9,3.3,11,4.1,87,6.8,5.6,11.3,204.0,74.9,18,101,6.02,4.93,6.3,,
29,Ben Roethlisberger,PIT,QB,168,268,62.7,2385,17,6.3,9,3.4,110,8.9,8.7,14.2,198.8,98.6,23,129,7.75,7.53,7.9,2,2
30,Brooks Bollinger,NYJ,QB,150,266,56.4,1558,7,2.6,6,2.3,78,5.9,5.4,10.4,141.6,72.9,32,193,4.58,4.14,10.7,1,0
31,Anthony Wright,BAL,qb,164,266,61.7,1582,6,2.3,9,3.4,78,5.9,4.9,9.6,175.8,71.7,19,147,5.04,4.04,6.7,,
32,Kelly Holcomb,BUF,QB,155,230,67.4,1509,10,4.3,8,3.5,74,6.6,5.9,9.7,150.9,85.6,17,140,5.54,4.89,6.9,1,1
33,J.P. Losman,BUF,qb,113,228,49.6,1340,8,3.5,8,3.5,55,5.9,5.0,11.9,148.9,64.9,26,197,4.50,3.71,10.2,,
34,Daunte Culpepper,MIN,qb,139,216,64.4,1564,6,2.8,12,5.6,80,7.2,5.3,11.3,223.4,72.0,31,169,5.65,3.95,12.6,1,1
35,Mike McMahon,PHI,qb,94,207,45.4,1158,5,2.4,8,3.9,56,5.6,4.3,12.3,128.7,55.2,19,96,4.70,3.55,8.4,2,2
36,Jamie Martin,STL,qb,124,177,70.1,1277,5,2.8,7,4.0,59,7.2,6.0,10.3,159.6,83.5,11,78,6.38,5.23,5.9,2,3
37,Brian Griese,TAM,qb,112,174,64.4,1136,7,4.0,7,4.0,54,6.5,5.5,10.1,189.3,79.6,12,76,5.70,4.76,6.5,,
38,Jeff Garcia,DET,qb,102,173,59.0,937,3,1.7,6,3.5,46,5.4,4.2,9.2,156.2,65.1,6,34,5.04,3.87,3.4,0,1
39,David Garrard,JAX,qb,98,168,58.3,1117,4,2.4,1,0.6,64,6.6,6.9,11.4,159.6,83.9,8,45,6.09,6.29,4.5,2,2
40,Alex Smith,SFO,QB,84,165,50.9,875,1,0.6,11,6.7,37,5.3,2.4,10.4,97.2,40.8,29,185,3.56,1.11,14.9,1,2
41,Charlie Frye,CLE,qb,98,164,59.8,1002,4,2.4,5,3.0,49,6.1,5.2,10.2,143.1,72.8,22,135,4.66,3.88,11.8,1,1
42,Ryan Fitzpatrick,STL,,76,135,56.3,777,4,3.0,8,5.9,40,5.8,3.7,10.2,194.3,58.2,9,49,5.06,3.11,6.3,1,1
43,Todd Bouman,NOR,,68,122,55.7,722,2,1.6,7,5.7,38,5.9,3.7,10.6,45.1,54.7,8,59,5.10,2.98,6.2,,
44,Vinny Testaverde,NYJ,,60,106,56.6,777,1,0.9,6,5.7,35,7.3,5.0,13.0,129.5,59.4,12,102,5.72,3.60,10.2,,
45,Tim Rattay,SFO,,56,97,57.7,667,5,5.2,6,6.2,32,6.9,5.1,11.9,166.8,70.3,10,63,5.64,4.06,9.3,,
46,Ken Dorsey,SFO,,48,90,53.3,481,2,2.2,2,2.2,22,5.3,4.8,10.0,160.3,66.9,6,28,4.72,4.20,6.3,,
47,Billy Volek,TEN,,50,88,56.8,474,4,4.5,2,2.3,21,5.4,5.3,9.5,79.0,77.6,9,45,4.42,4.32,9.3,,
48,Chad Pennington,NYJ,,49,83,59.0,530,2,2.4,3,3.6,30,6.4,5.2,10.8,176.7,70.9,9,52,5.20,4.16,9.8,,
49,Tommy Maddox,PIT,,34,71,47.9,406,2,2.8,4,5.6,19,5.7,3.7,11.9,101.5,51.7,8,43,4.59,2.82,10.1,,
50,Matt Schaub,ATL,,33,64,51.6,495,4,6.3,0,0.0,23,7.7,9.0,15.0,30.9,98.1,6,27,6.69,7.83,8.6,,
51,Sage Rosenfels,MIA,,34,61,55.7,462,4,6.6,3,4.9,17,7.6,6.7,13.6,115.5,81.5,0,0,7.57,6.67,0.0,2,2
52,Jim Sorgi,IND,,42,61,68.9,444,3,4.9,1,1.6,20,7.3,7.5,10.6,88.8,99.4,3,14,6.72,6.95,4.7,,
53,Koy Detmer,PHI,,32,56,57.1,238,0,0.0,3,5.4,10,4.3,1.8,7.4,14.9,45.1,3,15,3.78,1.49,5.1,,
54,Rex Grossman,CHI,,20,39,51.3,259,1,2.6,2,5.1,14,6.6,4.8,13.0,129.5,59.7,1,9,6.25,4.50,2.5,,
55,Charlie Batch,PIT,,23,36,63.9,246,1,2.8,1,2.8,12,6.8,6.1,10.7,61.5,81.5,1,6,6.49,5.81,2.7,1,1
56,Cody Pickett,SFO,,14,35,40.0,140,0,0.0,2,5.7,4,4.0,1.4,10.0,28.0,28.3,3,16,3.26,0.89,7.9,,
57,Jon Kitna,CIN,,17,29,58.6,99,0,0.0,2,6.9,6,3.4,0.3,5.8,33.0,36.4,2,10,2.87,-0.03,6.5,,
58,Matt Mauck,TEN,,15,27,55.6,136,0,0.0,1,3.7,4,5.0,3.4,9.1,68.0,53.9,1,8,4.57,2.96,3.6,,
59,Marques Tuiasosopo,OAK,,14,26,53.8,124,1,3.8,2,7.7,8,4.8,2.1,8.9,124.0,47.6,6,40,2.63,0.44,18.8,,
60,Tony Banks,HOU,,14,25,56.0,173,1,4.0,2,8.0,7,6.9,4.1,12.4,86.5,57.6,0,0,6.92,4.12,0.0,,
61,Patrick Ramsey,WAS,,15,25,60.0,279,1,4.0,1,4.0,12,11.2,10.2,18.6,69.8,95.2,4,27,8.69,7.83,13.8,,
