,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Drew Brees,NOR,QB,413,635,65.0,5069,34,5.4,17,2.7,233,8.0,7.8,12.3,316.8,96.2,13,92,7.68,7.55,2.0,2,2
1,Jay Cutler,DEN,QB,384,616,62.3,4526,25,4.1,18,2.9,223,7.3,6.8,11.8,282.9,86.0,11,69,7.11,6.61,1.8,3,4
2,Kurt Warner,ARI,QB,401,598,67.1,4583,30,5.0,14,2.3,224,7.7,7.6,11.4,286.4,96.9,26,182,7.05,7.00,4.2,1,1
3,Donovan McNabb,PHI,QB,345,571,60.4,3916,23,4.0,11,1.9,195,6.9,6.8,11.4,244.8,86.4,23,149,6.34,6.28,3.9,2,1
4,Peyton Manning,IND,QB,371,555,66.8,4002,27,4.9,12,2.2,213,7.2,7.2,10.8,250.1,95.0,14,86,6.88,6.88,2.5,4,6
5,Aaron Rodgers,GNB,QB,341,536,63.6,4038,28,5.2,13,2.4,184,7.5,7.5,11.8,252.4,93.8,34,231,6.68,6.64,6.0,1,2
6,David Garrard,JAX,QB,335,535,62.6,3620,15,2.8,13,2.4,181,6.8,6.2,10.8,226.3,81.7,42,288,5.77,5.28,7.3,3,3
7,Brett Favre,NYJ,QB,343,522,65.7,3472,22,4.2,22,4.2,186,6.7,5.6,10.1,217.0,81.0,30,213,5.90,4.91,5.4,1,2
8,Matt Cassel,NWE,QB,327,516,63.4,3693,21,4.1,11,2.1,181,7.2,7.0,11.3,230.8,89.4,47,219,6.17,6.04,8.3,2,2
9,Jason Campbell,WAS,QB,315,506,62.3,3245,13,2.6,6,1.2,161,6.4,6.4,10.3,202.8,84.3,38,266,5.48,5.46,7.0,1,3
10,Eli Manning,NYG,QB,289,479,60.3,3238,21,4.4,10,2.1,168,6.8,6.7,11.2,202.4,86.4,27,174,6.06,6.00,5.3,3,3
11,Philip Rivers,SDG,QB,312,478,65.3,4009,34,7.1,11,2.3,191,8.4,8.8,12.8,250.6,105.5,25,151,7.67,8.04,5.0,3,4
12,Chad Pennington,MIA,QB,321,476,67.4,3653,19,4.0,7,1.5,180,7.7,7.8,11.4,228.3,97.4,24,121,7.06,7.19,4.8,1,2
13,Ben Roethlisberger,PIT,QB,281,469,59.9,3301,17,3.6,15,3.2,162,7.0,6.3,11.7,206.3,80.1,46,284,5.86,5.21,8.9,4,4
14,Kyle Orton,CHI,QB,272,465,58.5,2972,18,3.9,12,2.6,143,6.4,6.0,10.9,198.1,79.6,27,160,5.72,5.35,5.5,2,2
15,Tony Romo,DAL,QB,276,450,61.3,3448,26,5.8,14,3.1,149,7.7,7.4,12.5,265.2,91.4,20,123,7.07,6.84,4.3,2,2
16,Marc Bulger,STL,QB,251,440,57.0,2720,11,2.5,13,3.0,119,6.2,5.4,10.8,181.3,71.4,38,263,5.14,4.38,7.9,1,1
17,Matt Ryan,ATL,QB,265,434,61.1,3440,16,3.7,11,2.5,156,7.9,7.5,13.0,215.0,87.7,17,104,7.40,7.01,3.8,2,4
18,Joe Flacco,BAL,QB,257,428,60.0,2971,14,3.3,12,2.8,143,6.9,6.3,11.6,185.7,80.3,32,276,5.86,5.29,7.0,1,1
19,Tyler Thigpen,KAN,QB,230,420,54.8,2608,18,4.3,12,2.9,127,6.2,5.8,11.3,186.3,76.0,26,162,5.48,5.08,5.8,0,1
20,Kerry Collins,TEN,QB,242,415,58.3,2676,12,2.9,7,1.7,132,6.4,6.3,11.1,167.3,80.2,8,60,6.18,6.01,1.9,1,3
21,Jake Delhomme,CAR,QB,246,414,59.4,3288,15,3.6,12,2.9,153,7.9,7.4,13.4,205.5,84.7,20,130,7.28,6.72,4.6,4,5
22,Matt Schaub,HOU,QB,251,380,66.1,3043,15,3.9,10,2.6,146,8.0,7.6,12.1,276.6,92.7,23,149,7.18,6.81,5.7,2,2
23,Jeff Garcia,TAM,QB,244,376,64.9,2712,12,3.2,6,1.6,123,7.2,7.1,11.1,226.0,90.2,23,100,6.55,6.47,5.8,1,3
24,Trent Edwards,BUF,QB,245,374,65.5,2699,11,2.9,10,2.7,134,7.2,6.6,11.0,192.8,85.4,23,143,6.44,5.86,5.8,3,3
25,Ryan Fitzpatrick,CIN,QB,221,372,59.4,1905,8,2.2,9,2.4,99,5.1,4.5,8.6,146.5,70.0,38,193,4.18,3.58,9.3,,
26,JaMarcus Russell,OAK,QB,198,368,53.8,2423,13,3.5,8,2.2,110,6.6,6.3,12.2,161.5,77.1,31,210,5.55,5.30,7.8,1,2
27,Gus Frerotte,MIN,QB,178,301,59.1,2157,12,4.0,15,5.0,102,7.2,5.7,12.1,196.1,73.7,29,164,6.04,4.72,8.8,3,3
28,Shaun Hill,SFO,QB,181,288,62.8,2046,13,4.5,8,2.8,100,7.1,6.8,11.3,227.3,87.5,23,148,6.10,5.78,7.4,2,3
29,Derek Anderson,CLE,QB,142,283,50.2,1615,9,3.2,8,2.8,83,5.7,5.1,11.4,161.5,66.5,14,87,5.14,4.54,4.7,1,2
30,Dan Orlovsky,DET,QB,143,255,56.1,1616,8,3.1,8,3.1,74,6.3,5.6,11.3,161.6,72.6,14,95,5.65,4.91,5.2,,
31,Seneca Wallace,SEA,QB,141,242,58.3,1532,11,4.5,3,1.2,71,6.3,6.7,10.9,153.2,87.0,14,76,5.69,6.02,5.5,1,1
32,J.T. O'Sullivan,SFO,qb,128,220,58.2,1678,8,3.6,11,5.0,76,7.6,6.1,13.1,186.4,73.6,32,197,5.88,4.55,12.7,1,1
33,Matt Hasselbeck,SEA,qb,109,209,52.2,1216,5,2.4,10,4.8,64,5.8,4.1,11.2,173.7,57.8,19,119,4.81,3.28,8.3,,
34,Brian Griese,TAM,qb,110,184,59.8,1073,5,2.7,7,3.8,59,5.8,4.7,9.8,214.6,69.4,9,69,5.20,4.09,4.7,2,2
35,Sage Rosenfels,HOU,qb,116,174,66.7,1431,6,3.4,10,5.7,64,8.2,6.3,12.3,238.5,79.5,9,58,7.50,5.70,4.9,,
36,Tarvaris Jackson,MIN,qb,88,149,59.1,1056,9,6.0,2,1.3,48,7.1,7.7,12.0,117.3,95.4,14,97,5.88,6.44,8.6,2,2
37,Carson Palmer,CIN,,75,129,58.1,731,3,2.3,4,3.1,41,5.7,4.7,9.7,182.8,69.0,11,67,4.74,3.89,7.9,,
38,Jon Kitna,DET,,68,120,56.7,758,5,4.2,5,4.2,33,6.3,5.3,11.1,189.5,72.2,15,89,4.96,4.03,11.1,,
39,Daunte Culpepper,DET,qb,60,115,52.2,786,4,3.5,6,5.2,30,6.8,5.2,13.1,157.2,63.9,14,95,5.36,3.88,10.9,,
40,J.P. Losman,BUF,,63,104,60.6,584,2,1.9,5,4.8,34,5.6,3.8,9.3,116.8,62.3,15,119,3.91,2.35,12.6,,
41,Ken Dorsey,CLE,,43,91,47.3,370,0,0.0,7,7.7,21,4.1,0.6,8.6,92.5,26.4,5,43,3.41,0.13,5.2,,
42,Brady Quinn,CLE,,45,89,50.6,518,2,2.2,2,2.2,24,5.8,5.3,11.5,172.7,66.6,1,9,5.66,5.10,1.1,1,1
43,Damon Huard,KAN,,50,81,61.7,477,2,2.5,4,4.9,20,5.9,4.2,9.5,95.4,65.7,9,56,4.68,3.12,10.0,,
44,Brad Johnson,DAL,,41,78,52.6,427,2,2.6,5,6.4,17,5.5,3.1,10.4,26.7,50.5,8,54,4.34,2.19,9.3,,
45,Trent Green,STL,,38,72,52.8,525,0,0.0,6,8.3,19,7.3,3.5,13.8,175.0,41.7,6,58,5.99,2.53,7.7,,
46,Rex Grossman,CHI,,32,62,51.6,257,2,3.2,2,3.2,12,4.1,3.3,8.0,64.3,59.7,2,8,3.89,3.11,3.1,1,1
47,Andrew Walter,OAK,,22,49,44.9,204,0,0.0,3,6.1,11,4.2,1.4,9.3,102.0,31.3,5,39,3.06,0.56,9.3,,
48,Byron Leftwich,PIT,,21,36,58.3,303,2,5.6,0,0.0,17,8.4,9.5,14.4,60.6,104.3,3,22,7.21,8.23,7.7,,
49,Vince Young,TEN,,22,36,61.1,219,1,2.8,2,5.6,9,6.1,4.1,10.0,73.0,64.5,3,13,5.28,3.49,7.7,,
50,Kevin Kolb,PHI,,17,34,50.0,144,0,0.0,4,11.8,8,4.2,-1.1,8.5,24.0,21.8,0,0,4.24,-1.06,0.0,,
51,Jim Sorgi,IND,,22,30,73.3,178,0,0.0,0,0.0,10,5.9,5.9,8.1,178.0,87.9,0,0,5.93,5.93,0.0,,
52,Brodie Croyle,KAN,,20,29,69.0,151,0,0.0,0,0.0,7,5.2,5.2,7.6,75.5,81.2,1,10,4.70,4.70,3.3,,
53,Matt Leinart,ARI,,15,29,51.7,264,1,3.4,1,3.4,9,9.1,8.2,17.6,66.0,80.2,2,19,7.90,7.10,6.5,,
54,Charlie Frye,SEA,,12,23,52.2,83,2,8.7,2,8.7,5,3.6,1.4,6.9,41.5,53.4,3,19,2.46,0.54,11.5,,
55,Bruce Gradkowski,CLE,,7,21,33.3,26,0,0.0,3,14.3,1,1.2,-5.2,3.7,13.0,2.8,4,18,0.32,-5.08,16.0,,
56,Brooks Bollinger,DAL,,10,17,58.8,71,1,5.9,1,5.9,4,4.2,2.7,7.1,35.5,63.6,3,22,2.45,1.20,15.0,,
57,Drew Stanton,DET,,9,17,52.9,119,1,5.9,0,0.0,6,7.0,8.2,13.2,39.7,95.0,6,35,3.65,4.52,26.1,,
