,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Rich Gannon,OAK,QB,418,618,67.6,4689,26,4.2,10,1.6,227,7.6,7.7,11.2,293.1,97.3,36,214,6.84,6.95,5.5,1,1
1,Drew Bledsoe,BUF,QB,375,610,61.5,4359,24,3.9,15,2.5,222,7.1,6.8,11.6,272.4,86.0,54,369,6.01,5.72,8.1,2,4
2,Tom Brady,NWE,QB,373,601,62.1,3764,28,4.7,14,2.3,185,6.3,6.1,10.1,235.3,85.7,31,190,5.66,5.54,4.9,2,3
3,Peyton Manning,IND,QB,392,591,66.3,4200,27,4.6,19,3.2,213,7.1,6.6,10.7,262.5,88.8,23,145,6.60,6.09,3.7,4,5
4,Brett Favre,GNB,QB,341,551,61.9,3658,27,4.9,16,2.9,189,6.6,6.3,10.7,228.6,85.6,26,188,6.01,5.70,4.5,3,3
5,Daunte Culpepper,MIN,QB,333,549,60.7,3853,18,3.3,23,4.2,189,7.0,5.8,11.6,240.8,75.3,47,244,6.06,4.92,7.9,3,4
6,Kerry Collins,NYG,QB,335,545,61.5,4073,19,3.5,14,2.6,193,7.5,7.0,12.2,254.6,85.4,24,152,6.89,6.45,4.2,5,5
7,Jake Plummer,ARI,QB,284,530,53.6,2972,18,3.4,20,3.8,147,5.6,4.6,10.5,185.8,65.7,36,248,4.81,3.86,6.4,2,4
8,Aaron Brooks,NOR,QB,283,528,53.6,3572,27,5.1,15,2.8,165,6.8,6.5,12.6,223.3,80.1,36,236,5.91,5.68,6.4,3,3
9,Jeff Garcia,SFO,QB,328,528,62.1,3344,21,4.0,10,1.9,173,6.3,6.3,10.2,209.0,85.6,17,93,5.97,5.91,3.1,2,4
10,Drew Brees,SDG,QB,320,526,60.8,3284,17,3.2,16,3.0,164,6.2,5.5,10.3,205.3,76.9,24,180,5.64,4.95,4.4,2,4
11,Steve McNair,TEN,QB,301,492,61.2,3387,22,4.5,15,3.0,179,6.9,6.4,11.3,211.7,84.0,21,121,6.37,5.91,4.1,3,3
12,Jon Kitna,CIN,QB,294,473,62.2,3178,16,3.4,16,3.4,159,6.7,5.9,10.8,227.0,79.1,24,159,6.07,5.27,4.8,1,1
13,Trent Green,KAN,QB,287,470,61.1,3690,26,5.5,13,2.8,177,7.9,7.7,12.9,230.6,92.6,26,141,7.16,7.02,5.2,4,4
14,Brad Johnson,TAM,QB,281,451,62.3,3049,22,4.9,6,1.3,144,6.8,7.1,10.9,234.5,92.9,21,121,6.20,6.56,4.4,0,1
