,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Harrison Butker,KAN,,,,8,8,17,16,12,10,5,4,42,38,90.5%,28,28,100.0%,78,5006,61,78.2%,64.2,,,
1,Ryan Succop,TEN,,,,10,10,7,7,20,16,5,2,42,35,83.3%,33,31,93.9%,80,5120,47,58.8%,64.0,,,
2,Robbie Gould,SFO,,,,8,7,11,11,18,17,4,4,41,39,95.1%,30,28,93.3%,4,101,,,25.3,,,
3,Phil Dawson,ARI,,1,1,7,7,14,10,13,10,5,4,40,32,80.0%,26,23,88.5%,76,4647,34,44.7%,61.1,,,
4,Stephen Gostkowski,NWE,,,,16,16,9,9,11,8,4,4,40,37,92.5%,47,45,95.7%,99,6228,40,40.4%,62.9,,,
5,Greg Zuerlein,LAR,,1,1,8,8,12,11,12,12,7,6,40,38,95.0%,46,44,95.7%,95,6075,73,76.8%,63.9,,,
6,Matt Bryant,ATL,,1,1,6,6,13,10,10,9,9,8,39,34,87.2%,35,35,100.0%,,,,,,,,
7,Chris Boswell,PIT,,,,10,10,14,12,10,9,4,4,38,35,92.1%,39,37,94.9%,90,5681,46,51.1%,63.1,,,
8,Kai Forbath,MIN,,,,8,8,14,12,7,6,9,6,38,32,84.2%,39,34,87.2%,88,5587,44,50.0%,63.5,,,
9,Justin Tucker,BAL,,,,7,7,11,11,12,11,7,5,37,34,91.9%,39,39,100.0%,90,5601,55,61.1%,62.2,,,
10,Wil Lutz,NOR,,,,10,10,5,4,16,13,5,4,36,31,86.1%,50,47,94.0%,94,5972,58,61.7%,63.5,,,
11,Matt Prater,DET,,2,2,4,4,10,10,8,7,11,7,35,30,85.7%,41,40,97.6%,17,977,6,35.3%,57.5,4,139,34.8
12,Adam Vinatieri,IND,,,,11,11,10,7,7,6,6,5,34,29,85.3%,24,22,91.7%,,,,,,,,
13,Stephen Hauschka,BUF,,,,6,6,9,9,9,7,9,7,33,29,87.9%,29,29,100.0%,74,4361,37,50.0%,58.9,,,
14,Brandon McManus,DEN,,,,8,6,12,11,6,4,6,3,32,24,75.0%,27,27,100.0%,71,4191,45,63.4%,59.0,1,26,26.0
15,Jake Elliott,PHI,,,,5,5,7,4,13,12,6,5,31,26,83.9%,42,39,92.9%,84,5212,42,50.0%,62.0,,,
16,Chandler Catanzaro,NYJ,,1,1,6,6,4,4,17,12,2,2,30,25,83.3%,29,29,100.0%,71,4349,45,63.4%,61.3,,,
17,Graham Gano,CAR,,,,8,8,11,11,10,10,1,,30,29,96.7%,37,34,91.9%,83,5313,70,84.3%,64.0,,,
18,Blair Walsh,SEA,,,,6,6,10,7,12,8,1,,29,21,72.4%,38,37,97.4%,78,4837,39,50.0%,62.0,,,
19,Ka'imi Fairbairn,HOU,,,,4,3,10,8,7,6,4,3,25,20,80.0%,35,32,91.4%,75,4718,49,65.3%,62.9,,,
20,Aldrick Rosas,NYG,,,,8,8,5,3,9,4,3,3,25,18,72.0%,23,20,87.0%,62,3759,26,41.9%,60.6,,,
21,Patrick Murray,TAM,,,,5,5,8,8,5,4,5,2,23,19,82.6%,22,21,95.5%,59,3590,14,23.7%,60.8,,,
