,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Brad Johnson,TAM,QB,354,570,62.1,3811,26,4.6,21,3.7,188,6.7,5.9,10.8,238.2,81.5,20,111,6.27,5.55,3.4,,
1,Peyton Manning,IND,QB,379,566,67.0,4267,29,5.1,10,1.8,213,7.5,7.8,11.3,266.7,99.0,18,107,7.12,7.35,3.1,3,4
2,Joey Harrington,DET,QB,309,554,55.8,2880,17,3.1,22,4.0,149,5.2,4.0,9.3,180.0,63.9,9,55,5.02,3.86,1.6,2,2
3,Marc Bulger,STL,QB,336,532,63.2,3845,22,4.1,22,4.1,193,7.2,6.2,11.4,256.3,81.4,37,288,6.25,5.28,6.5,4,4
4,Tom Brady,NWE,QB,317,527,60.2,3620,23,4.4,12,2.3,175,6.9,6.7,11.4,226.3,85.9,32,219,6.08,5.94,5.7,3,5
5,Trent Green,KAN,QB,330,523,63.1,4039,24,4.6,12,2.3,198,7.7,7.6,12.2,252.4,92.6,20,130,7.20,7.09,3.7,1,2
6,Jon Kitna,CIN,QB,324,520,62.3,3591,26,5.0,15,2.9,184,6.9,6.6,11.1,224.4,87.4,37,249,6.00,5.72,6.6,3,3
7,Tommy Maddox,PIT,QB,298,519,57.4,3414,18,3.5,17,3.3,170,6.6,5.8,11.5,213.4,75.3,41,242,5.66,4.94,7.3,,
8,Aaron Brooks,NOR,QB,306,518,59.1,3546,24,4.6,8,1.5,174,6.8,7.1,11.6,221.6,88.8,34,195,6.07,6.29,6.2,2,3
9,Matt Hasselbeck,SEA,QB,313,513,61.0,3841,26,5.1,15,2.9,189,7.5,7.2,12.3,240.1,88.8,42,246,6.48,6.20,7.6,2,3
10,Quincy Carter,DAL,QB,292,505,57.8,3302,17,3.4,21,4.2,148,6.5,5.3,11.3,206.4,71.4,37,185,5.75,4.63,6.8,2,2
11,Kerry Collins,NYG,QB,284,500,56.8,3110,13,2.6,16,3.2,158,6.2,5.3,11.0,239.2,70.7,28,164,5.58,4.71,5.3,1,3
12,Donovan McNabb,PHI,QB,275,478,57.5,3216,16,3.3,11,2.3,153,6.7,6.4,11.7,201.0,79.6,43,253,5.69,5.35,8.3,2,4
13,Drew Bledsoe,BUF,QB,274,471,58.2,2860,11,2.3,12,2.5,141,6.1,5.4,10.4,178.8,73.0,49,371,4.79,4.17,9.4,1,1
14,Brett Favre,GNB,QB,308,471,65.4,3361,32,6.8,21,4.5,168,7.1,6.5,10.9,210.1,90.4,19,137,6.58,5.96,3.9,1,3
15,Daunte Culpepper,MIN,QB,295,454,65.0,3479,25,5.5,11,2.4,171,7.7,7.7,11.8,248.5,96.4,37,196,6.69,6.70,7.5,0,1
