,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Vinny Testaverde,NYJ,QB,328,590,55.6,3732,21,3.6,25,4.2,178,6.3,5.1,11.4,233.3,69.0,13,71,6.07,4.90,2.2,4,4
1,Brett Favre,GNB,QB,338,580,58.3,3812,20,3.4,16,2.8,194,6.6,6.0,11.3,238.3,78.0,33,236,5.83,5.31,5.4,0,4
2,Peyton Manning,IND,QB,357,571,62.5,4413,33,5.8,15,2.6,213,7.7,7.7,12.4,275.8,94.7,20,131,7.25,7.22,3.4,2,3
3,Donovan McNabb,PHI,QB,330,569,58.0,3365,21,3.7,13,2.3,181,5.9,5.6,10.2,210.3,77.8,45,262,5.05,4.79,7.3,2,3
4,Jeff Garcia,SFO,QB,355,561,63.3,4278,31,5.5,10,1.8,206,7.6,7.9,12.1,267.4,97.6,24,155,7.05,7.34,4.1,,
5,Elvis Grbac,KAN,QB,326,547,59.6,4169,28,5.1,14,2.6,197,7.6,7.5,12.8,277.9,89.9,29,213,6.87,6.75,5.0,3,3
6,Steve Beuerlein,CAR,QB,324,533,60.8,3730,19,3.6,18,3.4,198,7.0,6.2,11.5,233.1,79.7,62,331,5.71,4.99,10.4,2,2
7,Drew Bledsoe,NWE,QB,312,531,58.8,3291,17,3.2,13,2.4,165,6.2,5.7,10.5,205.7,77.3,45,264,5.26,4.83,7.8,2,3
8,Kerry Collins,NYG,QB,311,529,58.8,3610,22,4.2,13,2.5,195,6.8,6.6,11.6,225.6,83.1,28,243,6.04,5.78,5.0,3,3
9,Mark Brunell,JAX,QB,311,512,60.7,3640,20,3.9,14,2.7,177,7.1,6.7,11.7,227.5,84.0,54,289,5.92,5.51,9.5,0,2
10,Jake Plummer,ARI,QB,270,475,56.8,2946,13,2.7,21,4.4,134,6.2,4.8,10.9,210.4,66.0,22,151,5.62,4.25,4.4,1,1
11,Daunte Culpepper,MIN,QB,297,474,62.7,3937,33,7.0,16,3.4,188,8.3,8.2,13.3,246.1,98.0,34,181,7.39,7.28,6.7,3,4
12,Rich Gannon,OAK,QB,284,473,60.0,3430,28,5.9,11,2.3,177,7.3,7.4,12.1,214.4,92.4,28,124,6.60,6.73,5.6,3,4
13,Shaun King,TAM,QB,233,428,54.4,2769,18,4.2,13,3.0,142,6.5,5.9,11.9,173.1,75.8,37,240,5.44,4.95,8.0,3,3
