,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Stephen Gostkowski,NWE,,1,1,8,8,13,13,13,11,6,5,41,38,92.7%,44,44,100.0%,99,6315,65,65.7%,63.8,,,
1,Justin Tucker,BAL,,,,9,9,14,13,11,10,7,6,41,38,92.7%,26,26,100.0%,82,5114,42,51.2%,62.4,,,
2,Adam Vinatieri,IND,,,,6,6,11,10,17,15,6,4,40,35,87.5%,34,34,100.0%,,,,,,,,
3,Mason Crosby,GNB,,1,1,13,13,8,8,8,6,7,5,37,33,89.2%,42,42,100.0%,57,3480,13,22.8%,61.1,,,
4,Nick Novak,SDG,,1,1,9,9,16,13,9,9,2,2,37,34,91.9%,42,42,100.0%,92,6031,18,19.6%,65.6,,,
5,Dan Carpenter,BUF,,,,13,13,6,6,11,10,6,4,36,33,91.7%,32,32,100.0%,83,5286,34,41.0%,63.7,,,
6,Phil Dawson,SFO,,,,13,12,6,6,11,10,6,4,36,32,88.9%,44,44,100.0%,91,5896,38,41.8%,64.8,,,
7,Jay Feely,ARI,,,,11,9,8,7,12,11,5,3,36,30,83.3%,37,37,100.0%,86,5629,33,38.4%,65.5,,,
8,Nick Folk,NYJ,,,,8,8,11,10,14,12,3,3,36,33,91.7%,27,27,100.0%,73,4582,30,41.1%,62.8,,,
9,Randy Bullock,HOU,,1,1,7,7,5,5,17,12,5,1,35,26,74.3%,26,26,100.0%,67,4381,29,43.3%,65.4,,,
10,Stephen Hauschka,SEA,,,,11,10,9,9,12,11,3,3,35,33,94.3%,44,44,100.0%,94,6118,48,51.1%,65.1,,,
11,Caleb Sturgis,MIA,,1,1,4,4,12,10,10,8,7,3,34,26,76.5%,33,33,100.0%,74,4783,38,51.4%,64.6,,,
12,Shaun Suisham,PIT,,,,9,9,15,13,8,8,,,32,30,93.8%,39,39,100.0%,86,5123,24,27.9%,59.6,,,
13,Dan Bailey,DAL,,2,2,2,2,9,8,10,10,7,6,30,28,93.3%,47,47,100.0%,93,5815,52,55.9%,62.5,,,
14,Garrett Hartley,NOR,,2,2,6,5,8,5,13,9,1,1,30,22,73.3%,41,41,100.0%,1,9,,,9.0,,,
15,Sebastian Janikowski,OAK,,,,6,6,6,4,11,8,7,3,30,21,70.0%,37,37,100.0%,74,4363,38,51.4%,59.0,,,
16,Blair Walsh,MIN,,,,7,7,12,12,6,5,5,2,30,26,86.7%,44,43,97.7%,84,5241,43,51.2%,62.4,,,
17,Rob Bironas,TEN,,,,10,10,9,8,7,5,3,2,29,25,86.2%,41,41,100.0%,80,4875,32,40.0%,60.9,,,
18,Robbie Gould,CHI,,,,11,11,7,6,7,6,4,3,29,26,89.7%,46,45,97.8%,89,5228,38,42.7%,58.7,,,
19,Rian Lindell,TAM,,,,3,3,14,12,6,4,6,4,29,23,79.3%,31,31,100.0%,,,,,,,,
20,Ryan Succop,KAN,,,,6,6,10,9,8,6,4,1,28,22,78.6%,52,52,100.0%,91,5860,47,51.6%,64.4,1,29,29.0
21,Alex Henery,PHI,,,,8,8,8,7,10,7,2,1,28,23,82.1%,45,45,100.0%,90,5583,37,41.1%,62.0,,,
22,Greg Zuerlein,STL,,,,7,7,10,10,9,8,2,1,28,26,92.9%,34,34,100.0%,78,5094,52,66.7%,65.3,,,
23,Matt Bryant,ATL,,,,9,9,8,7,5,5,5,3,27,24,88.9%,39,39,100.0%,,,,,,,,
24,Graham Gano,CAR,,,,9,9,5,4,7,5,6,6,27,24,88.9%,42,42,100.0%,80,5185,63,78.8%,64.8,,,
25,Billy Cundiff,CLE,,,,7,7,6,5,9,7,4,2,26,21,80.8%,32,32,100.0%,65,4095,42,64.6%,63.0,1,34,34.0
26,Josh Brown,NYG,,,,8,8,8,7,8,7,2,1,26,23,88.5%,31,31,100.0%,70,4375,35,50.0%,62.5,,,
27,Matt Prater,DEN,,2,2,4,4,5,5,8,8,7,6,26,25,96.2%,75,75,100.0%,114,7348,81,71.1%,64.5,,,
28,Josh Scobee,JAX,,,,3,3,12,12,5,4,5,4,25,23,92.0%,23,22,95.7%,63,4038,36,57.1%,64.1,,,
