,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Justin Tucker,BAL,,,,10,10,9,9,11,10,10,4,40,33,82.5%,29,29,100.0%,74,4753,63,85.1%,64.2,,,
1,Robbie Gould,CHI,,1,1,8,8,12,10,9,7,9,7,39,33,84.6%,29,28,96.6%,83,5003,39,47.0%,60.3,,,
2,Blair Walsh,MIN,,,,9,9,15,13,7,6,8,6,39,34,87.2%,37,33,89.2%,86,5651,47,54.7%,65.7,,,
3,Cairo Santos,KAN,,,,8,7,10,10,11,9,8,4,37,30,81.1%,41,39,95.1%,90,5721,40,44.4%,63.6,,,
4,Graham Gano,CAR,,1,1,10,10,5,4,16,13,4,2,36,30,83.3%,59,56,94.9%,102,6706,69,67.6%,65.7,,,
5,Stephen Gostkowski,NWE,,,,6,6,11,11,14,12,5,4,36,33,91.7%,52,52,100.0%,99,6249,69,69.7%,63.1,,,
6,Brandon McManus,DEN,,,,12,12,8,8,8,5,7,5,35,30,85.7%,36,35,97.2%,81,5046,55,67.9%,62.3,1,41,41.0
7,Dan Bailey,DAL,,,,9,9,10,10,7,6,6,5,32,30,93.8%,25,25,100.0%,73,4620,49,67.1%,63.3,,,
8,Chris Boswell,PIT,,1,1,9,9,8,8,12,9,2,2,32,29,90.6%,27,26,96.3%,74,4680,26,35.1%,63.2,,,
9,Josh Brown,NYG,,1,1,6,6,12,12,10,8,3,3,32,30,93.8%,45,44,97.8%,93,5697,37,39.8%,61.3,,,
10,Travis Coons,CLE,,,,11,11,10,10,9,7,2,,32,28,87.5%,24,22,91.7%,70,4420,27,38.6%,63.1,,,
11,Josh Lambo,SDG,,,,4,4,7,7,16,11,5,4,32,26,81.3%,32,28,87.5%,75,4783,41,54.7%,63.8,,,
12,Chandler Catanzaro,ARI,,1,1,12,12,9,9,7,6,2,,31,28,90.3%,58,53,91.4%,99,6445,50,50.5%,65.1,,,
13,Stephen Hauschka,SEA,,,,9,9,7,7,9,7,6,6,31,29,93.5%,44,40,90.9%,91,5869,47,51.6%,64.5,,,
14,Jason Myers,JAX,,,,10,9,8,8,8,6,4,3,30,26,86.7%,39,32,82.1%,84,5208,55,65.5%,62.0,,,
15,Greg Zuerlein,STL,,1,1,2,2,10,9,8,5,9,3,30,20,66.7%,28,26,92.9%,64,4168,38,59.4%,65.1,,,
16,Connor Barth,TAM,,,,9,9,8,8,6,3,5,3,28,23,82.1%,26,25,96.2%,64,4062,32,50.0%,63.5,,,
17,Mason Crosby,GNB,,1,1,7,7,4,4,11,8,5,4,28,24,85.7%,36,36,100.0%,80,5050,41,51.3%,63.1,,,
