,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
18,Dustin Hopkins,WAS,,,,7,7,9,9,8,7,4,2,28,25,89.3%,40,39,97.5%,80,4967,52,65.0%,62.1,,,
19,Mike Nugent,CIN,,,,6,6,6,5,13,10,3,2,28,23,82.1%,49,48,98.0%,89,5786,42,47.2%,65.0,,,
20,Phil Dawson,SFO,,,,10,9,6,6,8,6,3,3,27,24,88.9%,21,20,95.2%,6,268,,,44.7,1,48,48.0
21,Dan Carpenter,BUF,,,,5,5,9,8,8,7,5,3,27,23,85.2%,40,34,85.0%,4,213,,,53.3,,,
22,Adam Vinatieri,IND,,,,8,7,6,6,8,8,5,4,27,25,92.6%,35,32,91.4%,,,,,,,,
23,Sebastian Janikowski,OAK,,,,7,7,6,5,8,5,5,4,26,21,80.8%,39,38,97.4%,79,4941,44,55.7%,62.5,,,
24,Matt Prater,DET,,,,3,3,9,8,6,6,6,5,24,22,91.7%,39,36,92.3%,4,223,,,55.8,,,
25,Randy Bullock,2TM,,1,1,4,4,6,6,11,8,1,,23,19,82.6%,25,22,88.0%,56,3617,30,53.6%,64.6,,,
26,Caleb Sturgis,PHI,,,,4,4,10,8,4,4,4,2,22,18,81.8%,37,35,94.6%,68,4171,39,57.4%,61.3,,,
27,Nick Novak,HOU,,,,6,6,6,6,4,4,5,2,21,18,85.7%,31,29,93.5%,62,4006,23,37.1%,64.6,1,36,36.0
28,Matt Bryant,ATL,,1,1,4,4,4,3,9,6,,,18,14,77.8%,26,26,100.0%,,,,,,,,
29,Nick Folk,NYJ,,,,2,2,6,6,6,3,2,2,16,13,81.3%,19,19,100.0%,39,2466,13,33.3%,63.2,,,
30,Andrew Franks,MIA,,1,1,3,3,4,4,6,4,2,1,16,13,81.3%,36,33,91.7%,66,4133,44,66.7%,62.6,,,
31,Ryan Succop,TEN,,,,3,3,3,3,7,7,3,1,16,14,87.5%,31,29,93.5%,66,4272,43,65.2%,64.7,,,
32,Kai Forbath,2TM,,,,3,2,4,3,5,3,3,2,15,10,66.7%,35,34,97.1%,52,3410,22,42.3%,65.6,,,
33,Zach Hocker,2TM,,,,3,3,6,5,3,1,2,1,14,10,71.4%,13,12,92.3%,12,777,9,75.0%,64.8,1,43,43.0
34,Shayne Graham,ATL,,,,2,2,4,4,4,2,3,3,13,11,84.6%,8,8,100.0%,,,,,,,,
35,Kyle Brindza,TAM,,,,2,1,3,2,3,1,4,2,12,6,50.0%,8,6,75.0%,18,1131,12,66.7%,62.8,,,
36,Josh Scobee,PIT,,,,2,2,1,1,7,3,,,10,6,60.0%,7,6,85.7%,20,1251,12,60.0%,62.6,,,
37,Cody Parkey,PHI,,,,1,1,1,1,2,1,,,4,3,75.0%,7,7,100.0%,13,754,3,23.1%,58.0,,,
38,Johnny Hekker,STL,,,,,,,,,,,,,,,,,,2,133,1,50.0%,66.5,96,4601,47.9
39,Shane Lechler,HOU,,,,,,,,,,,,,,,,,,,,,,,95,4497,47.3
40,Matt Darr,MIA,,,,,,,,,,,,,,,,,,6,258,,,43.0,92,4380,47.6
41,Bradley Pinion,SFO,,,,,,,,,,,,,,,,,,57,3707,38,66.7%,65.0,91,3969,43.6
42,Brett Kern,TEN,,,,,,,,,,,,,,,,,,,,,,,88,4175,47.4
43,Donnie Jones,PHI,,,,,,,,,,,,,,,,,,,,,,,86,4038,47.0
44,Pat McAfee,IND,,,,,,,,,,,,,,,,,,77,4832,67,87.0%,62.8,85,4052,47.7
45,Britton Colquitt,DEN,,,,,,,,,,,,,,,,,,1,63,,,63.0,84,3663,43.6
46,Marquette King,OAK,,,,,,,,,,,,,,,,,,2,123,,,61.5,83,3697,44.5
47,Colton Schmidt,BUF,,,,,,,,,,,,,,,,,,,,,,,82,3802,46.4
48,Tim Masthay,GNB,,,,,,,,,,,,,,,,,,1,56,,,56.0,81,3554,43.9
49,Bryan Anger,JAX,,,,,,,,,,,,,,,,,,,,,,,80,3700,46.3
50,Sam Martin,DET,,,,,,,,,,,,,,,,,,73,4603,40,54.8%,63.1,80,3679,46.0
51,Brad Wing,NYG,,,,,,,,,,,,,,,,,,,,,,,76,3380,44.5
52,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,,,,,,75,3333,44.4
53,Ryan Quigley,NYJ,,,,,,,,,,,,,,,4,4,100.0%,5,337,1,20.0%,67.4,75,3287,43.8
54,Sam Koch,BAL,,,,,,,,,,,,,,,,,,,,,,,74,3454,46.7
55,Ryan Allen,NWE,,,,,,,,,,,,,,,,,,,,,,,73,3358,46.0
56,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,1,56,,,56.0,72,3261,45.3
57,Andy Lee,CLE,,,,,,,,,,,,,,,,,,,,,,,70,3270,46.7
58,Brad Nortman,CAR,,,,,,,,,,,,,,,,,,1,51,,,51.0,70,3175,45.4
59,Pat O'Donnell,CHI,,,,,,,,,,,,,,,,,,,,,,,70,3097,44.2
60,Tress Way,WAS,,,,,,,,,,,,,,,,,,2,120,,,60.0,70,3224,46.1
61,Chris Jones,DAL,,,,,,,,,,,,,,,,,,,,,,,69,3114,45.1
62,Kevin Huber,CIN,,,,,,,,,,,,,,,,,,,,,,,68,3116,45.8
63,Jon Ryan,SEA,,,,,,,,,,,,,,,,,,1,61,,,61.0,68,3093,45.5
64,Jeff Locke,MIN,,,,,,,,,,,,,,,,,,1,44,,,44.0,66,2746,41.6
65,Drew Butler,ARI,,,,,,,,,,,,,,,,,,,,,,,60,2575,42.9
66,Jordan Berry,PIT,,,,,,,,,,,,,,,,,,,,,,,59,2511,42.6
67,Matthew Bosher,ATL,,,,,,,,,,,,,,,,,,76,4875,52,68.4%,64.1,58,2735,47.2
68,Thomas Morstead,NOR,,,,,,,,,,,,,,,,,,23,1455,16,69.6%,63.3,56,2551,45.6
69,Jake Schum,TAM,,,,,,,,,,,,,,,,,,,,,,,56,2348,41.9
70,Brandon Fields,NOR,,,,,,,,,,,,,,,,,,,,,,,10,412,41.2
71,Steve Weatherford,NYJ,,,,,,,,,,,,,,,,,,,,,,,4,161,40.3
72,Spencer Lanning,CHI,,,,,,,,,,,,,,,,,,,,,,,3,136,45.3
