,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,David Akers,PHI,,1,1,11,11,9,8,13,11,3,1,37,32,86.5%,45,43,95.6%,94,6117,11,11.7%,65.1,,,
1,Mason Crosby,GNB,,1,1,13,13,9,7,7,4,6,2,36,27,75.0%,49,48,98.0%,94,5805,12,12.8%,61.8,,,
2,Jay Feely,NYJ,,,,6,6,15,12,14,11,1,1,36,30,83.3%,32,32,100.0%,82,5378,10,12.2%,65.6,,,
3,Nate Kaeding,SDG,,2,2,17,17,4,4,8,6,4,3,35,32,91.4%,51,50,98.0%,97,6139,9,9.3%,63.3,,,
4,Matt Prater,DEN,,,,14,14,8,6,10,8,3,2,35,30,85.7%,32,32,100.0%,78,5304,28,35.9%,68.0,,,
5,Rian Lindell,BUF,,,,12,12,9,9,9,6,3,1,33,28,84.8%,24,24,100.0%,68,4277,6,8.8%,62.9,,,
6,Rob Bironas,TEN,,,,8,8,6,4,12,10,6,5,32,27,84.4%,37,37,100.0%,81,5186,7,8.6%,64.0,1,40,40.0
7,Kris Brown,HOU,,,,13,11,9,6,6,2,4,2,32,21,65.6%,44,43,97.7%,82,5402,10,12.2%,65.9,,,
8,Lawrence Tynes,NYG,,,,12,10,13,11,6,5,1,1,32,27,84.4%,45,45,100.0%,86,5343,6,7.0%,62.1,,,
9,Stephen Gostkowski,NWE,,,,7,7,13,12,8,5,3,2,31,26,83.9%,47,47,100.0%,91,6096,21,23.1%,67.0,,,
10,Jeff Reed,PIT,,1,1,7,7,16,15,5,4,2,,31,27,87.1%,41,41,100.0%,81,4840,3,3.7%,59.8,,,
11,Sebastian Janikowski,OAK,,,,3,3,8,8,10,9,8,6,29,26,89.7%,17,17,100.0%,58,3797,17,29.3%,65.5,,,
12,Ryan Succop,KAN,,,,10,10,7,7,7,6,5,2,29,25,86.2%,29,29,100.0%,72,4451,7,9.7%,61.8,,,
13,Dan Carpenter,MIA,,,,9,9,8,7,9,8,2,1,28,25,89.3%,38,37,97.4%,79,4974,7,8.9%,63.0,,,
14,Nick Folk,DAL,,1,1,6,5,7,6,12,5,2,1,28,18,64.3%,36,36,100.0%,2,17,,,8.5,,,
15,Robbie Gould,CHI,,,,9,9,6,6,10,7,3,2,28,24,85.7%,33,33,100.0%,73,4747,8,11.0%,65.0,,,
16,Shayne Graham,CIN,,,,11,10,10,8,3,3,4,2,28,23,82.1%,29,28,96.6%,69,4308,8,11.6%,62.4,,,
17,Jason Hanson,DET,,,,5,5,9,8,10,7,4,1,28,21,75.0%,25,25,100.0%,63,3926,4,6.3%,62.3,,,
18,Ryan Longwell,MIN,,1,1,10,10,6,5,9,8,2,2,28,26,92.9%,55,54,98.2%,98,6227,5,5.1%,63.5,,,
19,Josh Scobee,JAX,,,,7,6,5,5,7,3,9,4,28,18,64.3%,31,30,96.8%,64,4222,17,26.6%,66.0,,,
20,John Kasay,CAR,,,,7,7,10,9,6,5,4,1,27,22,81.5%,32,31,96.9%,,,,,,,,
21,Olindo Mare,SEA,,,,9,9,11,10,6,5,,,26,24,92.3%,28,28,100.0%,69,4661,22,31.9%,67.6,1,32,32.0
22,Shaun Suisham,2TM,,,,10,9,7,5,6,6,1,,24,20,83.3%,26,25,96.2%,52,3058,5,9.6%,58.8,3,80,26.7
23,Josh Brown,STL,,,,5,5,5,4,7,4,7,6,24,19,79.2%,16,16,100.0%,,,,,,,,
24,Billy Cundiff,2TM,,1,1,9,9,8,5,3,3,2,,23,18,78.3%,23,23,100.0%,54,3379,3,5.6%,62.6,,,
25,Joe Nedney,SFO,,,,4,4,8,7,6,4,3,2,21,17,81.0%,33,33,100.0%,63,4127,5,7.9%,65.5,,,
26,Connor Barth,TAM,,,,2,2,6,4,7,5,4,3,19,14,73.7%,12,12,100.0%,36,2309,6,16.7%,64.1,1,46,46.0
27,Phil Dawson,CLE,,,,7,7,5,5,6,5,1,,19,17,89.5%,19,18,94.7%,49,2871,4,8.2%,58.6,,,
28,Jason Elam,ATL,,,,4,4,8,4,5,3,2,1,19,12,63.2%,33,32,97.0%,,,,,,,,
29,John Carney,NOR,,,,6,6,8,5,3,2,,,17,13,76.5%,52,50,96.2%,,,,,,,,
30,Neil Rackers,ARI,,,,4,4,6,6,7,6,,,17,16,94.1%,38,37,97.4%,65,4118,14,21.5%,63.4,,,
31,Stephen Hauschka,BAL,,,,1,1,7,5,5,3,,,13,9,69.2%,28,27,96.4%,46,2969,3,6.5%,64.5,,,
32,Garrett Hartley,NOR,,1,1,3,3,6,5,,,1,,11,9,81.8%,11,10,90.9%,3,183,1,33.3%,61.0,,,
33,Matt Stover,IND,,,,2,2,6,5,2,2,1,,11,9,81.8%,33,33,100.0%,,,,,,,,
34,Matt Bryant,ATL,,,,2,2,4,4,2,,2,1,10,7,70.0%,10,10,100.0%,,,,,,1,36,36.0
