,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
35,Adam Vinatieri,IND,,1,1,3,3,2,1,2,2,1,,9,7,77.8%,18,17,94.4%,,,,,,,,
36,Mike Nugent,2TM,,1,1,1,1,2,1,4,1,,,8,4,50.0%,14,14,100.0%,23,1359,1,4.3%,59.1,,,
37,Graham Gano,WAS,,,,2,2,,,2,2,,,4,4,100.0%,7,6,85.7%,15,986,3,20.0%,65.7,,,
38,Ricky Schmitt,SFO,,,,1,,2,2,,,,,3,2,66.7%,2,2,100.0%,5,325,1,20.0%,65.0,,,
39,Shane Andrus,3TM,,,,,,,,1,,,,1,,0.0%,10,10,100.0%,17,1041,2,11.8%,61.2,,,
40,Andy Lee,SFO,,,,,,,,,,,,,,,,,,,,,,,99,4711,47.6
41,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,1,64,,,64.0,96,4361,45.4
42,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,1,75,,,75.0,96,4909,51.1
43,Donnie Jones,STL,,,,,,,,,,,,,,,,,,1,63,,,63.0,90,4212,46.8
44,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,68,,,68.0,90,4192,46.6
45,Jon Ryan,SEA,,,,,,,,,,,,,,,,,,,,,,,88,4068,46.2
46,Ben Graham,ARI,,,,,,,,,,,,,,,,,,1,56,,,56.0,86,4045,47.0
47,Kevin Huber,CIN,,,,,,,,,,,,,,,,,,,,,,,86,3713,43.2
48,Steve Weatherford,NYJ,,,,,,,,,,,,,,,,,,,,,,,80,3357,42.0
49,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,77,3191,41.4
50,Jason Baker,CAR,,,,,,,,,,,,,,,,,,,,,,,76,3352,44.1
51,Saverio Rocca,PHI,,,,,,,,,,,,,,,,,,,,,,,76,3222,42.4
52,Brandon Fields,MIA,,,,,,,,,,,,,,,,,,3,27,,,9.0,75,3472,46.3
53,Nick Harris,DET,,,,,,,,,,,,,,,,,,1,54,,,54.0,74,3175,42.9
54,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,,,,,,73,3202,43.9
55,Sam Koch,BAL,,,,,,,,,,,,,,,,,,,,,,,73,3188,43.7
56,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,,,,,,72,3249,45.1
57,Adam Podlesh,JAX,,,,,,,,,,,,,,,,,,1,47,,,47.0,72,3017,41.9
58,Daniel Sepulveda,PIT,,,,,,,,,,,,,,,,,,,,,,,72,3074,42.7
59,Reggie Hodges,2TM,,,,,,,,,,,,,,,,,,,,,,,67,2657,39.7
60,Matt Turk,HOU,,,,,,,,,,,,,,,,,,,,,,,67,2866,42.8
61,Jeremy Kapinos,GNB,,,,,,,,,,,,,,,,,,3,183,,,61.0,66,2891,43.8
62,Jeff Feagles,NYG,,,,,,,,,,,,,,,,,,,,,,,64,2604,40.7
63,Brett Kern,2TM,,,,,,,,,,,,,,,,,,,,,,,64,2910,45.5
64,Pat McAfee,IND,,,,,,,,,,,,,,,,,,80,5468,21,26.3%,68.4,64,2837,44.3
65,Dirk Johnson,TAM,,,,,,,,,,,,,,,,,,1,30,,,30.0,62,2558,41.3
66,Michael Koenen,ATL,,,,,,,,,,,,,,,,,,73,4874,28,38.4%,66.8,61,2598,42.6
67,Thomas Morstead,NOR,,,,,,,,,,,,,,,,,,101,6733,27,26.7%,66.7,58,2528,43.6
68,Hunter Smith,WAS,,,,,,,,,,,,,,,,,,,,,,,57,2356,41.3
69,Chris Hanson,NWE,,,,,,,,,,,,,,,,,,,,,,,56,2221,39.7
70,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,,,,,,52,2342,45.0
71,Mitch Berger,DEN,,,,,,,,,,,,,,,,,,,,,,,51,2142,42.0
72,Dave Zastudil,CLE,,,,,,,,,,,,,,,,,,,,,,,49,2188,44.7
73,Sam Paulescu,2TM,,,,,,,,,,,,,,,,,,,,,,,27,1172,43.4
74,Glenn Pakulak,WAS,,,,,,,,,,,,,,,,,,1,67,,,67.0,13,498,38.3
75,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,,,,,,9,422,46.9
