,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Harrison Butker,KAN,,,,9,9,10,9,13,13,6,3,38,34,89.5%,48,45,93.8%,98,6157,60,61.2%,62.8,,,
1,Wil Lutz,NOR,,1,1,9,9,6,6,15,13,5,3,36,32,88.9%,49,48,98.0%,94,6082,74,78.7%,64.7,,,
2,Zane Gonzalez,ARI,,,,12,12,13,12,8,5,2,2,35,31,88.6%,35,34,97.1%,83,5241,45,54.2%,63.1,2,84,42.0
3,Matt Gay,TAM,,,,6,6,7,5,14,11,8,5,35,27,77.1%,48,43,89.6%,1,14,,,14.0,,,
4,Josh Lambo,JAX,,,,12,12,9,9,9,8,4,4,34,33,97.1%,20,19,95.0%,40,2283,23,57.5%,57.1,,,
5,Brandon McManus,DEN,,,,6,6,9,9,12,10,7,4,34,29,85.3%,26,25,96.2%,72,4634,55,76.4%,64.4,,,
6,Greg Zuerlein,LAR,k,,,7,7,8,7,11,5,7,5,33,24,72.7%,42,42,100.0%,83,5281,64,77.1%,63.6,,,
7,Joey Slye,CAR,,,,5,4,5,5,11,8,11,8,32,25,78.1%,35,31,88.6%,70,4503,66,94.3%,64.3,,,
8,Chris Boswell,PIT,,1,1,11,11,7,7,10,9,2,1,31,29,93.5%,28,28,100.0%,72,4552,31,43.1%,63.2,,,
9,Randy Bullock,CIN,,,,10,10,6,6,12,10,3,1,31,27,87.1%,25,24,96.0%,71,4269,46,64.8%,60.1,,,
10,Robbie Gould,SFO,,,,9,9,10,8,8,6,4,,31,23,74.2%,42,41,97.6%,1,37,,,37.0,,,
11,Matt Prater,DET,,,,11,11,3,2,9,6,8,7,31,26,83.9%,36,35,97.2%,19,1159,8,42.1%,61.0,,,
12,Dustin Hopkins,WAS,,,,8,7,9,8,10,8,3,2,30,25,83.3%,22,21,95.5%,68,4231,48,70.6%,62.2,,,
13,Brett Maher,DAL,,,,9,9,8,6,5,1,8,4,30,20,66.7%,36,36,100.0%,69,4170,36,52.2%,60.4,,,
14,Jason Sanders,MIA,,,,7,7,9,8,9,5,5,3,30,23,76.7%,30,29,96.7%,71,4314,49,69.0%,60.8,,,
15,Austin Seibert,CLE,,,,6,6,9,9,12,9,2,1,29,25,86.2%,35,30,85.7%,75,4753,30,40.0%,63.4,1,37,37.0
16,Dan Bailey,MIN,,,,10,10,9,9,7,5,3,3,29,27,93.1%,44,40,90.9%,87,5597,66,75.9%,64.3,,,
17,Justin Tucker,BAL,,,,8,8,9,9,11,10,1,1,29,28,96.6%,59,57,96.6%,106,6646,57,53.8%,62.7,,,
18,Stephen Hauschka,BUF,,,,5,5,8,7,10,9,5,1,28,22,78.6%,32,30,93.8%,73,4529,42,57.5%,62.0,,,
19,Jason Myers,SEA,,,,6,6,11,11,7,4,4,2,28,23,82.1%,44,40,90.9%,85,5337,59,69.4%,62.8,,,
20,Eddy Pineiro,CHI,,1,1,8,8,10,9,7,3,2,2,28,23,82.1%,29,27,93.1%,52,3141,26,50.0%,60.4,,,
21,Sam Ficken,NYJ,,,,2,2,8,7,11,7,6,3,27,19,70.4%,26,23,88.5%,62,3763,29,46.8%,60.7,,,
22,Daniel Carlson,OAK,,,,8,8,6,5,10,6,2,,26,19,73.1%,36,34,94.4%,71,4496,38,53.5%,63.3,,,
23,Jake Elliott,PHI,,,,7,7,8,8,7,5,4,2,26,22,84.6%,37,35,94.6%,81,5058,52,64.2%,62.4,,,
24,Younghoe Koo,ATL,,,,6,6,10,9,9,7,1,1,26,23,88.5%,16,15,93.8%,50,3041,27,54.0%,60.8,,,
25,Ka'imi Fairbairn,HOU,,,,5,5,8,8,6,4,6,3,25,20,80.0%,45,40,88.9%,81,5091,42,51.9%,62.9,1,26,26.0
26,Adam Vinatieri,IND,k,,,7,6,6,6,7,3,5,2,25,17,68.0%,28,22,78.6%,,,,,,,,
27,Mason Crosby,GNB,,1,1,2,2,11,11,8,7,2,1,24,22,91.7%,41,40,97.6%,79,5031,49,62.0%,63.7,,,
28,Chase McLaughlin,3TM,,1,1,5,5,4,4,10,5,3,3,23,18,78.3%,26,26,100.0%,18,1064,7,38.9%,59.1,,,
29,Nick Folk,NWE,,1,1,5,5,3,3,7,4,1,1,17,14,82.4%,12,12,100.0%,1,41,,,41.0,,,
30,Aldrick Rosas,NYG,,,,6,6,6,5,4,1,1,,17,12,70.6%,39,35,89.7%,71,4433,50,70.4%,62.4,,,
31,Michael Badgley,LAC,,,,5,5,2,2,8,6,1,,16,13,81.3%,19,19,100.0%,11,665,1,9.1%,60.5,,,
32,Matt Bryant,ATL,,,,1,1,4,3,3,3,6,2,14,9,64.3%,15,14,93.3%,5,304,,,60.8,,,
33,Kai Forbath,2TM,,,,2,2,1,1,7,7,1,1,11,11,100.0%,12,11,91.7%,23,1375,15,65.2%,59.8,,,
34,Ty Long,LAC,,,,,,3,2,5,4,1,1,9,7,77.8%,9,9,100.0%,47,2978,28,59.6%,63.4,48,2256,47.0
35,Cairo Santos,TEN,,,,,,3,1,3,2,3,1,9,4,44.4%,12,12,100.0%,21,1339,12,57.1%,63.8,,,
36,Stephen Gostkowski,NWE,k,,,3,3,3,3,2,1,,,8,7,87.5%,15,11,73.3%,26,1687,21,80.8%,64.9,,,
37,Mike Nugent,NWE,,,,4,3,3,2,1,,,,8,5,62.5%,16,15,93.8%,,,,,,,,
