,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
38,Ryan Succop,TEN,k,,,,,1,1,4,,1,,6,1,16.7%,25,24,96.0%,17,1015,3,17.6%,59.7,,,
39,Cody Parkey,TEN,,,,,,,,2,2,1,1,3,3,100.0%,6,5,83.3%,12,753,9,75.0%,62.8,,,
40,Kaare Vedvik,NYJ,,,,,,,,1,,,,1,,0.0%,1,,0.0%,3,195,3,100.0%,65.0,,,
41,Lac Edwards,NYJ,,,,,,,,,,,,,,,,,,3,159,,,53.0,87,3991,45.9
42,Jake Bailey,NWE,,,,,,,,,,,,,,,,,,65,3973,38,58.5%,61.1,81,3638,44.9
43,Pat O'Donnell,CHI,,,,,,,,,,,,,,,,,,15,962,10,66.7%,64.1,80,3586,44.8
44,Corey Bojorquez,BUF,,,,,,,,,,,,,,,,,,1,50,,,50.0,79,3313,41.9
45,Tress Way,WAS,,,,,,,,,,,,,,,,,,,,,,,79,3919,49.6
46,Brett Kern,TEN,,,,,,,,,,,,,,,,,,,,,,,78,3672,47.1
47,Colby Wadman,DEN,,,,,,,,,,,,,,,,,,,,,,,78,3464,44.4
48,JK Scott,GNB,,,,,,,,,,,,,,,,,,,,,,,77,3386,44.0
49,Sam Martin,DET,p,,,,,,,,,,,,,,,,,61,3740,17,27.9%,61.3,76,3445,45.3
50,Logan Cooke,JAX,,,,,,,,,,,,,,,,,,36,2300,16,44.4%,63.9,75,3507,46.8
51,Kevin Huber,CIN,,,,,,,,,,,,,,,,,,,,,,,75,3394,45.3
52,Michael Palardy,CAR,,,,,,,,,,,,,,,,,,6,155,,,25.8,75,3452,46.0
53,Jordan Berry,PIT,,,,,,,,,,,,,,,,,,3,183,,,61.0,74,3368,45.5
54,Michael Dickson,SEA,,,,,,,,,,,,,,,,,,,,,,,74,3341,45.1
55,Cameron Johnston,PHI,,,,,,,,,,,,,,,,,,,,,,,71,3292,46.4
56,Riley Dixon,NYG,,,,,,,,,,,,,,,,,,1,52,,,52.0,69,3178,46.1
57,Matt Haack,MIA,,,,,,,,,,,,,,,,,,2,109,,,54.5,69,3105,45.0
58,A.J. Cole,OAK,,,,,,,,,,,,,,,,,,,,,,,67,3081,46.0
59,Johnny Hekker,LAR,,,,,,,,,,,,,,,,,,2,76,1,50.0%,38.0,66,3128,47.4
60,Jamie Gillan,CLE,,,,,,,,,,,,,,,,,,4,150,,,37.5,63,2913,46.2
61,Britton Colquitt,MIN,,,,,,,,,,,,,,,,,,1,63,,,63.0,62,2802,45.2
62,Andy Lee,ARI,,,,,,,,,,,,,,,,,,,,,,,61,2913,47.8
63,Thomas Morstead,NOR,,,,,,,,,,,,,,,,,,1,46,,,46.0,60,2770,46.2
64,Rigoberto Sanchez,IND,,,,,,,,,,,,,,,,,,79,5101,60,75.9%,64.6,59,2619,44.4
65,Bradley Pinion,TAM,,,,,,,,,,,,,,,,,,97,6303,88,90.7%,65.0,57,2464,43.2
66,Mitch Wishnowsky,SFO,,,,,,,,,,,,,,,,,,96,6105,49,51.0%,63.6,52,2333,44.9
67,Chris Jones,DAL,,,,,,,,,,,,,,,,,,,,,,,50,2079,41.6
68,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,,,,,,48,2126,44.3
69,Bryan Anger,HOU,,,,,,,,,,,,,,,,,,1,73,,,73.0,45,2094,46.5
70,Sam Koch,BAL,,,,,,,,,,,,,,,,,,,,,,,40,1855,46.4
71,Ryan Allen,ATL,,,,,,,,,,,,,,,,,,,,,,,28,1172,41.9
72,Trevor Daniel,HOU,,,,,,,,,,,,,,,,,,,,,,,11,479,43.5
73,Matthew Bosher,ATL,p,,,,,,,,,,,,,,,,,6,318,4,66.7%,53.0,9,377,41.9
74,Kasey Redfern,ATL,,,,,,,,,,,,,,,,,,15,818,9,60.0%,54.5,9,371,41.2
75,Matt Wile,ATL,,,,,,,,,,,,,,,,,,11,633,7,63.6%,57.5,6,290,48.3
76,Ryan Winslow,ARI,,,,,,,,,,,,,,,,,,,,,,,6,291,48.5
77,Greg Joseph,TEN,,,,,,,,,,,,,,,9,9,100.0%,11,689,6,54.5%,62.6,,,
