,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,David Johnson,ARI,RB,120,80,879,11.0,4,42,5.0,54.9,66.7%,7.3,293,1239,16,73,4.2,77.4,18.3,373,5.7,2118,20,5
1,Ezekiel Elliott,DAL,RB,39,32,363,11.3,1,11,2.1,24.2,82.1%,9.3,322,1631,15,95,5.1,108.7,21.5,354,5.6,1994,16,5
2,Le'Veon Bell,PIT,RB,94,75,616,8.2,2,32,6.3,51.3,79.8%,6.6,261,1268,7,70,4.9,105.7,21.8,336,5.6,1884,9,4
3,DeMarco Murray,TEN,RB,67,53,377,7.1,3,20,3.3,23.6,79.1%,5.6,293,1287,9,67,4.4,80.4,18.3,346,4.8,1664,12,3
4,LeSean McCoy,BUF,RB,57,50,356,7.1,1,17,3.3,23.7,87.7%,6.2,234,1267,13,56,5.4,84.5,15.6,284,5.7,1623,14,3
5,Jordan Howard,CHI,RB,50,29,298,10.3,1,12,1.9,19.9,58.0%,6.0,252,1313,6,73,5.2,87.5,16.8,281,5.7,1611,7,2
6,Devonta Freeman,ATL,RB,65,54,462,8.6,2,22,3.4,28.9,83.1%,7.1,227,1079,11,66,4.8,67.4,14.2,281,5.5,1541,13,1
7,T.Y. Hilton,IND,WR,155,91,1448,15.9,6,66,5.7,90.5,58.7%,9.3,,,,0,,,,91,15.9,1448,6,0
8,Jay Ajayi,MIA,RB,35,27,151,5.6,0,8,1.8,10.1,77.1%,4.3,260,1272,8,63,4.9,84.8,17.3,287,5.0,1423,8,4
9,Melvin Gordon,SDG,RB,57,41,419,10.2,2,21,3.2,32.2,71.9%,7.4,254,997,10,62,3.9,76.7,19.5,295,4.8,1416,12,2
10,Julio Jones,ATL,WR,129,83,1409,17.0,6,64,5.9,100.6,64.3%,10.9,,,,0,,,,83,17.0,1409,6,0
11,Odell Beckham Jr.,NYG,WR,169,101,1367,13.5,10,66,6.3,85.4,59.8%,8.1,1,9,0,0,9.0,0.6,0.1,102,13.5,1376,10,3
12,Spencer Ware,KAN,RB,42,33,447,13.5,2,17,2.4,31.9,78.6%,10.6,214,921,3,50,4.3,65.8,15.3,247,5.5,1368,5,4
13,Mark Ingram,NOR,RB,58,46,319,6.9,4,18,2.9,19.9,79.3%,5.5,205,1043,6,50,5.1,65.2,12.8,251,5.4,1362,10,2
14,Mike Evans,TAM,WR,173,96,1321,13.8,12,82,6.0,82.6,55.5%,7.6,,,,0,,,,96,13.8,1321,12,0
15,Frank Gore,IND,RB,47,38,277,7.3,4,14,2.4,17.3,80.9%,5.9,263,1025,4,50,3.9,64.1,16.4,301,4.3,1302,8,2
16,Antonio Brown,PIT,WR,154,106,1284,12.1,12,64,7.1,85.6,68.8%,8.3,3,9,0,1,3.0,0.6,0.2,109,11.9,1293,12,0
17,Isaiah Crowell,CLE,RB,53,40,319,8.0,0,14,2.5,19.9,75.5%,6.0,198,952,7,45,4.8,59.5,12.4,238,5.3,1271,7,2
18,Lamar Miller,HOU,RB,39,31,188,6.1,1,9,2.2,13.4,79.5%,4.8,268,1073,5,55,4.0,76.6,19.1,299,4.2,1261,6,2
