,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Brett Favre,GNB,QB,343,613,56.0,3885,18,2.9,18,2.9,183,6.3,5.6,11.3,242.8,72.7,21,134,5.92,5.21,3.3,1,1
1,Jon Kitna,DET,QB,372,596,62.4,4208,21,3.5,22,3.7,209,7.1,6.1,11.3,263.0,79.9,63,388,5.80,4.93,9.6,1,1
2,Marc Bulger,STL,QB,370,588,62.9,4301,24,4.1,8,1.4,210,7.3,7.5,11.6,268.8,92.9,49,366,6.18,6.37,7.7,2,3
3,Peyton Manning,IND,QB,362,557,65.0,4397,31,5.6,9,1.6,242,7.9,8.3,12.1,274.8,101.0,14,86,7.55,7.93,2.5,3,3
4,Drew Brees,NOR,QB,356,554,64.3,4418,26,4.7,11,2.0,202,8.0,8.0,12.4,276.1,96.2,18,105,7.54,7.58,3.1,1,2
5,Eli Manning,NYG,QB,301,522,57.7,3244,24,4.6,18,3.4,162,6.2,5.6,10.8,202.8,77.0,25,186,5.59,4.99,4.6,2,2
6,Carson Palmer,CIN,QB,324,520,62.3,4035,28,5.4,13,2.5,200,7.8,7.7,12.5,252.2,93.9,36,233,6.84,6.79,6.5,2,3
7,Tom Brady,NWE,QB,319,516,61.8,3529,24,4.7,12,2.3,176,6.8,6.7,11.1,220.6,87.9,26,175,6.19,6.08,4.8,2,2
8,Chad Pennington,NYJ,QB,313,485,64.5,3352,17,3.5,16,3.3,163,6.9,6.1,10.7,209.5,82.6,30,172,6.17,5.44,5.8,1,2
9,Rex Grossman,CHI,QB,262,480,54.6,3193,23,4.8,20,4.2,151,6.7,5.7,12.2,199.6,73.9,21,142,6.09,5.21,4.2,1,2
10,Ben Roethlisberger,PIT,QB,280,469,59.7,3513,18,3.8,23,4.9,178,7.5,6.1,12.5,234.2,75.4,46,280,6.28,4.97,8.9,2,3
11,Steve McNair,BAL,QB,295,468,63.0,3050,16,3.4,12,2.6,159,6.5,6.0,10.3,190.6,82.5,14,84,6.15,5.70,2.9,3,3
12,Philip Rivers,SDG,QB,284,460,61.7,3388,22,4.8,9,2.0,167,7.4,7.4,11.9,211.8,92.0,27,144,6.66,6.73,5.5,4,4
13,David Carr,HOU,QB,302,442,68.3,2767,11,2.5,12,2.7,142,6.3,5.5,9.2,172.9,82.1,41,240,5.23,4.57,8.5,1,3
14,Alex Smith,SFO,QB,257,442,58.1,2890,16,3.6,16,3.6,132,6.5,5.6,11.2,180.6,74.8,35,202,5.64,4.80,7.3,1,2
15,Brad Johnson,MIN,QB,270,439,61.5,2750,9,2.1,15,3.4,135,6.3,5.1,10.2,183.3,72.0,29,200,5.45,4.39,6.2,2,3
16,Jake Delhomme,CAR,QB,263,431,61.0,2805,17,3.9,11,2.6,129,6.5,6.1,10.7,215.8,82.6,22,167,5.82,5.48,4.9,2,2
17,J.P. Losman,BUF,QB,268,429,62.5,3051,19,4.4,14,3.3,134,7.1,6.5,11.4,190.7,84.9,47,332,5.71,5.19,9.9,1,3
18,Charlie Frye,CLE,QB,252,393,64.1,2454,10,2.5,17,4.3,115,6.2,4.8,9.7,188.8,72.0,44,262,5.02,3.72,10.1,,
19,Joey Harrington,MIA,QB,223,388,57.5,2236,12,3.1,15,3.9,115,5.8,4.6,10.0,203.3,68.2,15,116,5.26,4.18,3.7,0,0
20,Michael Vick,ATL,QB,204,388,52.6,2474,20,5.2,13,3.4,122,6.4,5.9,12.1,154.6,75.7,45,303,5.01,4.59,10.4,0,1
21,Matt Leinart,ARI,QB,214,377,56.8,2547,11,2.9,12,3.2,125,6.8,5.9,11.9,212.3,74.0,21,158,6.00,5.20,5.3,1,1
22,Matt Hasselbeck,SEA,QB,210,371,56.6,2442,18,4.9,15,4.0,128,6.6,5.7,11.6,203.5,76.0,34,229,5.46,4.69,8.4,3,4
23,Vince Young,TEN,QB,184,357,51.5,2199,12,3.4,13,3.6,107,6.2,5.2,12.0,146.6,66.7,25,129,5.42,4.52,6.5,4,5
24,Tony Romo,DAL,QB,220,337,65.3,2903,19,5.6,13,3.9,144,8.6,8.0,13.2,181.4,95.1,21,124,7.76,7.19,5.9,2,3
25,Bruce Gradkowski,TAM,QB,177,328,54.0,1661,9,2.7,9,2.7,81,5.1,4.4,9.4,127.8,65.9,25,146,4.29,3.65,7.1,2,3
26,Jake Plummer,DEN,QB,175,317,55.2,1994,11,3.5,13,4.1,102,6.3,5.1,11.4,124.6,68.8,18,111,5.62,4.53,5.4,2,3
27,Donovan McNabb,PHI,QB,180,316,57.0,2647,18,5.7,6,1.9,112,8.4,8.7,14.7,264.7,95.5,21,140,7.44,7.71,6.2,0,1
28,Andrew Walter,OAK,QB,147,276,53.3,1677,3,1.1,13,4.7,79,6.1,4.2,11.4,139.8,55.8,46,256,4.41,2.78,14.3,,
29,Mark Brunell,WAS,QB,162,260,62.3,1789,8,3.1,4,1.5,80,6.9,6.8,11.0,178.9,86.5,12,92,6.24,6.17,4.4,1,1
30,Damon Huard,KAN,qb,148,244,60.7,1878,11,4.5,1,0.4,104,7.7,8.4,12.7,187.8,98.0,16,106,6.82,7.49,6.2,2,3
31,David Garrard,JAX,QB,145,241,60.2,1735,10,4.1,9,3.7,83,7.2,6.3,12.0,157.7,80.5,20,119,6.19,5.41,7.7,,
32,Jason Campbell,WAS,qb,110,207,53.1,1297,10,4.8,6,2.9,68,6.3,5.9,11.8,185.3,76.5,7,55,5.80,5.48,3.3,1,1
33,Trent Green,KAN,QB,121,198,61.1,1342,7,3.5,9,4.5,76,6.8,5.4,11.1,167.8,74.1,24,127,5.47,4.28,10.8,1,1
34,Aaron Brooks,OAK,qb,110,192,57.3,1105,3,1.6,8,4.2,58,5.8,4.2,10.0,138.1,61.7,26,174,4.27,2.89,11.9,,
35,Jeff Garcia,PHI,qb,116,188,61.7,1309,10,5.3,2,1.1,61,7.0,7.5,11.3,163.6,95.8,6,40,6.54,7.11,3.1,2,2
