,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Edgerrin James,IND,RB,87,63,594,9.4,5,24,3.9,37.1,72.4%,6.8,387,1709,13,100,4.4,106.8,24.2,450,5.1,2303,18,5
1,Marshall Faulk,STL,RB,113,81,830,10.2,8,42,5.8,59.3,71.7%,7.3,253,1359,18,78,5.4,97.1,18.1,334,6.6,2189,26,0
2,Eddie George,TEN,RB,65,50,453,9.1,2,23,3.1,28.3,76.9%,7.0,403,1509,14,78,3.7,94.3,25.2,453,4.3,1962,16,5
3,Robert Smith,MIN,RB,44,36,348,9.7,3,15,2.3,21.8,81.8%,7.9,295,1521,7,63,5.2,95.1,18.4,331,5.6,1869,10,4
4,Ricky Watters,SEA,RB,92,63,613,9.7,2,28,3.9,38.3,68.5%,6.7,278,1242,7,60,4.5,77.6,17.4,341,5.4,1855,9,5
5,Charlie Garner,SFO,RB,94,68,647,9.5,3,28,4.3,40.4,72.3%,6.9,258,1142,7,57,4.4,71.4,16.1,326,5.5,1789,10,4
6,Ahman Green,GNB,RB,99,73,559,7.7,3,28,4.6,34.9,73.7%,5.6,263,1175,10,62,4.5,73.4,16.4,336,5.2,1734,13,6
7,Tiki Barber,NYG,RB,95,70,719,10.3,1,29,4.4,44.9,73.7%,7.6,213,1006,8,39,4.7,62.9,13.3,283,6.1,1725,9,9
8,Curtis Martin,NYJ,RB,96,70,508,7.3,2,25,4.4,31.8,72.9%,5.3,316,1204,9,64,3.8,75.3,19.8,386,4.4,1712,11,2
9,Rod Smith,DEN,WR,173,100,1602,16.0,8,77,6.3,100.1,57.8%,9.3,6,99,1,3,16.5,6.2,0.4,106,16.0,1701,9,1
10,Jamal Lewis,BAL,RB,36,27,296,11.0,0,9,1.7,18.5,75.0%,8.2,309,1364,6,62,4.4,85.3,19.3,336,4.9,1660,6,6
11,Mike Anderson,DEN,RB,32,23,169,7.3,0,8,1.4,10.6,71.9%,5.3,297,1487,15,78,5.0,92.9,18.6,320,5.2,1656,15,4
12,Torry Holt,STL,WR,139,82,1635,19.9,6,60,5.1,102.2,59.0%,11.8,2,7,0,0,3.5,0.4,0.1,84,19.5,1642,6,2
13,Fred Taylor,JAX,RB,53,36,240,6.7,2,11,2.8,18.5,67.9%,4.5,292,1399,12,73,4.8,107.6,22.5,328,5.0,1639,14,4
