,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
50,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,1,53,,,53.0,83,3326,40.1
51,Sam Koch,BAL,,,,,,,,,,,,,,,,,,,,,,,81,3530,43.6
52,Reggie Hodges,CLE,,,,,,,,,,,,,,,,,,,,,,,78,3424,43.9
53,Jon Ryan,SEA,,,,,,,,,,,,,,,,,,1,66,,,66.0,78,3254,41.7
54,Brett Kern,TEN,,,,,,,,,,,,,,,,,,,,,,,77,3302,42.9
55,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,,,,,,77,3618,47.0
56,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,35,,,35.0,75,3181,42.4
57,Michael Koenen,ATL,,,,,,,,,,,,,,,,,,88,5926,23,26.1%,67.3,74,3014,40.7
58,Brandon Fields,MIA,,,,,,,,,,,,,,,,,,,,,,,73,3369,46.2
59,Saverio Rocca,PHI,,,,,,,,,,,,,,,,,,,,,,,73,3195,43.8
60,Matt Dodge,NYG,,,,,,,,,,,,,,,,,,2,117,,,58.5,72,3222,44.8
61,Kevin Huber,CIN,,,,,,,,,,,,,,,,,,1,62,,,62.0,71,2992,42.1
62,Tim Masthay,GNB,,,,,,,,,,,,,,,,,,,,,,,71,3114,43.9
63,Pat McAfee,IND,,,,,,,,,,,,,,,,,,84,5595,16,19.0%,66.6,65,2731,42.0
64,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,1,69,,,69.0,65,3115,47.9
65,Matt Turk,HOU,,,,,,,,,,,,,,,,,,,,,,,63,2650,42.1
66,Zoltan Mesko,NWE,,,,,,,,,,,,,,,,,,,,,,,58,2505,43.2
67,Thomas Morstead,NOR,,,,,,,,,,,,,,,,,,49,3315,10,20.4%,67.7,57,2618,45.9
68,Adam Podlesh,JAX,,,,,,,,,,,,,,,,,,,,,,,57,2496,43.8
69,Hunter Smith,WAS,,,,,,,,,,,,,,,,,,1,15,,,15.0,57,2310,40.5
70,Daniel Sepulveda,PIT,,,,,,,,,,,,,,,,,,,,,,,56,2550,45.5
71,Robert Malone,TAM,,,,,,,,,,,,,,,,,,,,,,,52,2160,41.5
72,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,7,371,1,14.3%,53.0,52,2430,46.7
73,Chris Bryan,TAM,,,,,,,,,,,,,,,,,,,,,,,23,860,37.4
74,Jeremy Kapinos,2TM,,,,,,,,,,,,,,,,,,8,481,,,60.1,18,755,41.9
75,Sam Paulescu,WAS,,,,,,,,,,,,,,,,,,,,,,,17,700,41.2
76,Josh Bidwell,WAS,,,,,,,,,,,,,,,,,,,,,,,15,625,41.7
77,Ben Roethlisberger,PIT,QB,,,,,,,,,,,,,,,,,,,,,,1,35,35.0
78,Ndamukong Suh,DET,LDT,,,,,,,,,,,,,,1,,0.0%,,,,,,,,
79,Wes Welker,NWE,WR,,,,,,,,,,,,,,1,1,100.0%,1,45,,,45.0,,,
