,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Trent Green,KAN,QB,369,556,66.4,4591,27,4.9,17,3.1,230,8.3,7.9,12.4,286.9,95.2,32,227,7.42,7.04,5.4,3,3
1,Daunte Culpepper,MIN,QB,379,548,69.2,4717,39,7.1,11,2.0,224,8.6,9.1,12.4,294.8,110.9,46,238,7.54,8.02,7.7,1,3
2,Aaron Brooks,NOR,QB,309,542,57.0,3810,21,3.9,16,3.0,179,7.0,6.5,12.3,238.1,79.5,41,223,6.15,5.64,7.0,3,5
3,Brett Favre,GNB,QB,346,540,64.1,4088,30,5.6,17,3.1,205,7.6,7.3,11.8,255.5,92.4,12,93,7.24,6.94,2.2,3,4
4,Jake Delhomme,CAR,QB,310,533,58.2,3886,29,5.4,15,2.8,193,7.3,7.1,12.5,242.9,87.3,33,246,6.43,6.26,5.8,2,3
5,Jake Plummer,DEN,QB,303,521,58.2,4089,27,5.2,20,3.8,185,7.8,7.2,13.5,255.6,84.5,15,90,7.46,6.79,2.8,1,4
6,Kerry Collins,OAK,QB,289,513,56.3,3495,21,4.1,20,3.9,155,6.8,5.9,12.1,249.6,74.8,25,144,6.23,5.34,4.6,1,2
7,Peyton Manning,IND,QB,336,497,67.6,4557,49,9.9,10,2.0,233,9.2,10.2,13.6,284.8,121.1,13,101,8.74,9.78,2.5,2,4
8,Vinny Testaverde,DAL,QB,297,495,60.0,3532,17,3.4,20,4.0,163,7.1,6.0,11.9,220.8,76.4,34,182,6.33,5.27,6.4,2,3
9,Joey Harrington,DET,QB,274,489,56.0,3047,19,3.9,12,2.5,141,6.2,5.9,11.1,190.4,77.5,36,196,5.43,5.13,6.9,1,1
10,Marc Bulger,STL,QB,321,485,66.2,3964,21,4.3,14,2.9,181,8.2,7.7,12.3,283.1,93.7,41,302,6.96,6.56,7.8,3,4
11,Tom Brady,NWE,QB,288,474,60.8,3692,28,5.9,14,3.0,187,7.8,7.6,12.8,230.8,92.6,26,162,7.06,6.92,5.2,0,1
12,Matt Hasselbeck,SEA,QB,279,474,58.9,3382,22,4.6,15,3.2,176,7.1,6.6,12.1,241.6,83.1,30,155,6.40,5.94,6.0,,
13,Donovan McNabb,PHI,QB,300,469,64.0,3875,31,6.6,8,1.7,174,8.3,8.8,12.9,258.3,104.7,32,192,7.35,7.87,6.4,2,2
14,David Carr,HOU,QB,285,466,61.2,3531,16,3.4,14,3.0,172,7.6,6.9,12.4,220.7,83.5,49,301,6.27,5.67,9.5,1,1
15,Kyle Boller,BAL,QB,258,464,55.6,2559,13,2.8,11,2.4,135,5.5,5.0,9.9,159.9,70.9,35,247,4.63,4.16,7.0,2,2
16,Drew Bledsoe,BUF,QB,256,450,56.9,2932,20,4.4,16,3.6,143,6.5,5.8,11.5,183.3,76.6,37,215,5.58,4.92,7.6,,
17,Byron Leftwich,JAX,QB,267,441,60.5,2941,15,3.4,10,2.3,141,6.7,6.3,11.0,210.1,82.2,25,114,6.07,5.74,5.4,4,4
18,Carson Palmer,CIN,QB,263,432,60.9,2897,18,4.2,18,4.2,140,6.7,5.7,11.0,222.8,77.3,25,178,5.95,4.96,5.5,2,3
19,Josh McCown,ARI,QB,233,408,57.1,2511,11,2.7,10,2.5,122,6.2,5.6,10.8,179.4,74.1,31,263,5.12,4.60,7.1,2,2
20,Drew Brees,SDG,QB,262,400,65.5,3159,27,6.8,7,1.8,142,7.9,8.5,12.1,210.6,104.8,18,131,7.24,7.78,4.3,1,2
21,Chad Pennington,NYJ,QB,242,370,65.4,2673,16,4.3,9,2.4,137,7.2,7.0,11.0,205.6,91.0,18,103,6.62,6.40,4.6,2,2
22,Billy Volek,TEN,qb,218,357,61.1,2486,18,5.0,10,2.8,120,7.0,6.7,11.4,248.6,87.1,30,216,5.87,5.63,7.8,,
23,A.J. Feeley,MIA,QB,191,356,53.7,1893,11,3.1,15,4.2,102,5.3,4.0,9.9,172.1,61.7,23,136,4.64,3.44,6.1,2,3
24,Brian Griese,TAM,QB,233,336,69.3,2632,20,6.0,12,3.6,126,7.8,7.4,11.3,239.3,97.5,26,169,6.80,6.42,7.2,1,1
25,Tim Rattay,SFO,QB,198,325,60.9,2169,10,3.1,10,3.1,109,6.7,5.9,11.0,241.0,78.1,37,211,5.41,4.72,10.2,1,1
26,Michael Vick,ATL,QB,181,321,56.4,2313,14,4.4,12,3.7,102,7.2,6.4,12.8,154.2,78.1,46,266,5.58,4.87,12.5,3,4
27,Ben Roethlisberger,PIT,QB,196,295,66.4,2621,17,5.8,11,3.7,130,8.9,8.4,13.4,187.2,98.1,30,213,7.41,6.93,9.2,4,5
28,Kurt Warner,NYG,QB,174,277,62.8,2054,6,2.2,4,1.4,94,7.4,7.2,11.8,205.4,86.5,39,196,5.88,5.69,12.3,0,1
