,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Matt Stover,BAL,,2,2,9,9,13,12,12,10,3,2,39,35,89.7%,30,30,100.0%,82,5077,7,8.5%,61.9,,,
1,Ryan Longwell,GNB,,,,8,7,10,10,15,13,5,3,38,33,86.8%,32,32,100.0%,83,5069,5,6.0%,61.1,1,30,30.0
2,Joe Nedney,2TM,,1,1,16,16,8,7,10,8,3,2,38,34,89.5%,24,24,100.0%,75,4660,10,13.3%,62.1,,,
3,Steve Christie,BUF,,2,2,13,11,6,4,13,9,1,,35,26,74.3%,31,31,100.0%,72,3860,1,1.4%,53.6,,,
4,Martin Gramatica,TAM,,,,8,8,10,8,9,7,7,5,34,28,82.4%,42,42,100.0%,87,5633,11,12.6%,64.7,,,
5,David Akers,PHI,,1,1,6,6,15,14,10,7,1,1,33,29,87.9%,36,34,94.4%,80,4868,4,5.0%,60.9,,,
6,Al Del Greco,TEN,,,,15,13,8,7,9,6,1,1,33,27,81.8%,38,37,97.4%,,,,,,,,
7,Tim Seder,DAL,,2,2,6,5,11,9,13,9,1,,33,25,75.8%,27,27,100.0%,11,638,2,18.2%,58.0,,,
8,Adam Vinatieri,NWE,,,,13,11,9,8,8,7,3,1,33,27,81.8%,25,25,100.0%,67,4236,7,10.4%,63.2,,,
9,John Hall,NYJ,,,,9,8,8,6,12,6,3,1,32,21,65.6%,30,30,100.0%,67,4320,9,13.4%,64.5,,,
10,Sebastian Janikowski,OAK,,1,1,6,6,7,6,14,8,4,1,32,22,68.8%,46,46,100.0%,82,5311,14,17.1%,64.8,,,
11,Morten Andersen,ATL,,,,6,6,7,6,15,11,3,2,31,25,80.6%,23,23,100.0%,64,4168,12,18.8%,65.1,,,
12,Olindo Mare,MIA,,,,8,7,10,9,13,12,,,31,28,90.3%,34,33,97.1%,77,4644,7,9.1%,60.3,,,
13,Kris Brown,PIT,,1,1,8,8,10,9,9,6,2,1,30,25,83.3%,33,32,97.0%,77,4428,4,5.2%,57.5,,,
14,Jason Hanson,DET,,2,2,7,6,12,10,7,4,2,2,30,24,80.0%,29,29,100.0%,69,4459,10,14.5%,64.6,,,
15,Doug Brien,NOR,,1,1,6,6,5,4,15,12,2,,29,23,79.3%,37,37,100.0%,2,87,,,43.5,,,
16,Paul Edinger,CHI,,1,1,5,5,9,7,10,6,2,2,27,21,77.8%,21,21,100.0%,58,3472,4,6.9%,59.9,,,
17,Mike Vanderjagt,IND,,1,1,6,6,13,13,6,5,1,,27,25,92.6%,46,46,100.0%,1,70,1,100.0%,70.0,,,
18,Mike Hollis,JAX,,,,7,6,8,8,8,7,3,3,26,24,92.3%,33,33,100.0%,3,34,,,11.3,,,
19,John Carney,SDG,,1,1,3,3,7,5,10,7,4,2,25,18,72.0%,27,27,100.0%,64,3948,2,3.1%,61.7,,,
20,Jason Elam,DEN,,,,7,7,7,6,9,4,1,1,24,18,75.0%,49,49,100.0%,35,2136,,,61.0,,,
21,Gary Anderson,MIN,,1,1,5,5,9,9,7,7,1,,23,22,95.7%,45,45,100.0%,24,1323,1,4.2%,55.1,,,
22,Cary Blanchard,ARI,,1,1,2,2,11,9,5,2,4,2,23,16,69.6%,19,18,94.7%,54,2903,2,3.7%,53.8,,,
23,Brad Daluiso,NYG,,,,8,8,8,5,7,4,,,23,17,73.9%,34,34,100.0%,56,3336,2,3.6%,59.6,,,
24,Wade Richey,SFO,,,,7,6,8,6,6,3,1,,22,15,68.2%,45,43,95.6%,81,5071,13,16.0%,62.6,,,
25,Neil Rackers,CIN,,,,5,5,9,5,7,2,,,21,12,57.1%,21,21,100.0%,46,2800,4,8.7%,60.9,,,
26,Todd Peterson,KAN,,1,1,5,5,9,7,5,2,,,20,15,75.0%,25,25,100.0%,,,,,,,,
27,Phil Dawson,CLE,,3,3,4,4,5,5,5,2,,,17,14,82.4%,17,17,100.0%,49,2966,6,12.2%,60.5,,,
28,Rian Lindell,SEA,,,,5,4,1,1,8,7,3,3,17,15,88.2%,25,25,100.0%,53,3200,3,5.7%,60.4,,,
29,Jeff Wilkins,STL,,2,2,5,5,6,6,3,3,1,1,17,17,100.0%,38,38,100.0%,66,4362,15,22.7%,66.1,,,
30,Kris Heppner,2TM,,1,1,4,4,6,3,2,2,2,,15,10,66.7%,17,17,100.0%,36,2295,2,5.6%,63.8,,,
31,Eddie Murray,WAS,,,,2,2,4,3,6,3,,,12,8,66.7%,8,7,87.5%,1,12,,,12.0,,,
32,Pete Stoyanovich,2TM,,,,2,2,3,,3,3,1,,9,5,55.6%,26,26,100.0%,18,1003,1,5.6%,55.7,,,
33,Michael Husted,WAS,,,,4,4,3,,1,,,,8,4,50.0%,9,8,88.9%,16,1054,1,6.3%,65.9,,,
34,Steve Lindsey,2TM,,2,2,,,3,1,2,2,,,7,5,71.4%,5,5,100.0%,31,1953,4,12.9%,63.0,3,117,39.0
35,Richie Cunningham,CAR,,,,5,3,2,2,,,,,7,5,71.4%,9,9,100.0%,18,1018,,,56.6,,,
36,Brett Conway,3TM,,2,2,3,3,,,1,1,,,6,6,100.0%,8,8,100.0%,18,1132,1,5.6%,62.9,,,
37,Jeff Hall,STL,,,,1,1,1,1,2,1,1,1,5,4,80.0%,9,9,100.0%,16,972,,,60.8,,,
38,Jaret Holmes,NYG,,,,1,1,1,1,,,,,2,2,100.0%,3,3,100.0%,6,401,2,33.3%,66.8,,,
39,Craig Hentrich,TEN,,,,,,,,,,1,,1,,0.0%,,,,78,4764,1,1.3%,61.1,76,3101,40.8
40,Shane Lechler,OAK,,,,,,1,,,,,,1,,0.0%,7,7,100.0%,9,564,1,11.1%,62.7,65,2984,45.9
41,Scott Bentley,2TM,,,,,,,,,,1,1,1,1,100.0%,,,,5,310,,,62.0,,,
42,Chris Gardocki,CLE,,,,,,,,,,,,,,,,,,,,,,,108,4919,45.5
43,Chris Mohr,BUF,,,,,,,,,,,,,,,,,,3,176,,,58.7,95,3661,38.5
44,Daniel Pope,CIN,,,,,,,,,,,,,,,,,,2,67,,,33.5,94,3775,40.2
45,John Jett,DET,,,,,,,,,,,,,,,,,,4,256,,,64.0,93,4044,43.5
46,Darren Bennett,SDG,,,,,,,,,,,,,,,,,,1,52,,,52.0,92,4248,46.2
47,Matt Turk,MIA,,,,,,,,,,,,,,,,,,,,,,,92,3870,42.1
48,Josh Miller,PIT,,,,,,,,,,,,,,,,,,,,,,,90,3944,43.8
49,Lee Johnson,NWE,,,,,,,,,,,,,,,,,,2,116,,,58.0,89,3798,42.7
50,Sean Landeta,PHI,,,,,,,,,,,,,,,,,,,,,,,86,3635,42.3
51,Kyle Richardson,BAL,,,,,,,,,,,,,,,,,,,,,,,86,3457,40.2
52,Mark Royals,TAM,,,,,,,,,,,,,,,,,,,,,,,85,3551,41.8
53,Dan Stryzinski,ATL,,,,,,,,,,,,,,,,,,,,,,,84,3447,41.0
54,Tom Tupa,NYJ,,,,,,,,,,,,,,,,,,1,58,,,58.0,83,3714,44.7
55,Todd Sauerbrun,KAN,,,,,,,,,,,,,,,,,,78,4883,6,7.7%,62.6,82,3656,44.6
56,Tommy Barnhardt,WAS,,,,,,,,,,,,,,,,,,,,,,,79,3160,40.0
57,Brad Maynard,NYG,,,,,,,,,,,,,,,,,,,,,,,79,3210,40.6
58,Josh Bidwell,GNB,,,,,,,,,,,,,,,,,,,,,,,78,3003,38.5
59,Bryan Barker,JAX,,,,,,,,,,,,,,,,,,1,64,,,64.0,76,3194,42.0
60,Toby Gowin,NOR,,,,,,,,,,,,,,,,,,75,4815,3,4.0%,64.2,74,3043,41.1
61,Chad Stanley,SFO,,,,,,,,,,,,,,,,,,,,,,,69,2727,39.5
62,Scott Player,ARI,,,,,,,,,,,,,,,,,,,,,,,65,2871,44.2
63,Hunter Smith,IND,,,,,,,,,,,,,,,,,,1,40,,,40.0,65,2906,44.7
64,Ken Walter,CAR,,,,,,,,,,,,,,,,,,4,180,,,45.0,64,2459,38.4
65,Mitch Berger,MIN,,,,,,,,,,,,,,,,,,58,3893,10,17.2%,67.1,62,2773,44.7
66,Tom Rouen,DEN,,,,,,,,,,,,,,,,,,1,44,,,44.0,61,2455,40.2
67,Micah Knorr,DAL,,,,,,,,,,,,,,,,,,55,3516,8,14.5%,63.9,58,2485,42.8
68,Louie Aguiar,CHI,,,,,,,,,,,,,,,,,,,,,,,52,2017,38.8
69,Brent Bartholomew,CHI,,,,,,,,,,,,,,,,,,,,,,,44,1607,36.5
70,John Baker,STL,,,,,,,,,,,,,,,,,,2,85,,,42.5,43,1736,40.4
71,Barry Cantrell,DAL,,,,,,,,,,,,,,,,,,4,215,,,53.8,10,367,36.7
