,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
132,Kevin Curtis,STL,,50,32,421,13.2,2,18,2.1,28.1,64.0%,8.4,3,24,0,2,8.0,1.6,0.2,35,12.7,445,2,1
133,Joey Galloway,TAM,WR,53,33,416,12.6,5,25,3.3,41.6,62.3%,7.8,2,19,0,1,9.5,1.9,0.2,35,12.4,435,5,3
134,Mike Alstott,TAM,FB,41,29,202,7.0,0,11,2.1,14.4,70.7%,4.9,67,230,2,20,3.4,16.4,4.8,96,4.5,432,2,2
135,Jerry Rice,2TM,,64,30,429,14.3,3,0,1.8,25.2,46.9%,6.7,,,,0,,,,30,14.3,429,3,0
136,Quincy Morgan,2TM,,68,31,404,13.0,3,0,2.1,26.9,45.6%,5.9,2,23,0,0,11.5,1.5,0.1,33,12.9,427,3,1
137,Freddie Jones,ARI,TE,74,45,426,9.5,2,16,2.8,26.6,60.8%,5.8,,,,0,,,,45,9.5,426,2,0
138,Dallas Clark,IND,TE,39,25,423,16.9,5,18,1.7,28.2,64.1%,10.8,,,,0,,,,25,16.9,423,5,2
139,Travis Taylor,BAL,WR,80,34,421,12.4,0,21,3.4,42.1,42.5%,5.3,,,,0,,,,34,12.4,421,0,1
140,Aaron Stecker,NOR,,38,29,174,6.0,0,8,1.8,10.9,76.3%,4.6,58,244,2,11,4.2,15.3,3.6,87,4.8,418,2,1
141,Darius Watts,DEN,,53,31,385,12.4,1,18,1.9,24.1,58.5%,7.3,5,33,0,2,6.6,2.1,0.3,36,11.6,418,1,1
142,Derick Armstrong,HOU,,39,29,415,14.3,1,21,2.1,29.6,74.4%,10.6,,,,0,,,,29,14.3,415,1,0
143,Verron Haynes,PIT,,23,18,142,7.9,2,9,1.4,10.9,78.3%,6.2,55,272,0,17,4.9,20.9,4.2,73,5.7,414,2,0
144,Andre' Davis,CLE,wr,35,16,416,26.0,2,9,2.3,59.4,45.7%,11.9,1,-3,0,0,-3.0,-0.4,0.1,17,24.3,413,2,0
145,Jesse Chatman,SDG,,2,2,17,8.5,0,1,0.1,1.1,100.0%,8.5,65,392,3,19,6.0,26.1,4.3,67,6.1,409,3,1
146,Brad Hoover,CAR,FB,32,21,161,7.7,2,7,1.5,11.5,65.6%,5.0,68,246,0,14,3.6,17.6,4.9,89,4.6,407,2,0
147,Daunte Culpepper,MIN,QB,0,0,0,,0,0,0.0,0.0,0.0%,,88,406,2,31,4.6,25.4,5.5,88,4.6,406,2,9
148,Tyrone Wheatley,OAK,RB,15,15,78,5.2,0,4,1.9,9.8,100.0%,5.2,85,327,4,25,3.8,40.9,10.6,100,4.1,405,4,0
149,Curtis Conway,SFO,wr,75,38,403,10.6,3,22,2.4,25.2,50.7%,5.4,,,,0,,,,38,10.6,403,3,0
150,Corey Bradford,HOU,WR,54,27,399,14.8,3,20,1.8,26.6,50.0%,7.4,,,,0,,,,27,14.8,399,3,0
151,Wayne Chrebet,NYJ,,54,31,397,12.8,1,20,1.9,24.8,57.4%,7.4,,,,0,,,,31,12.8,397,1,0
152,Terry Glenn,DAL,wr,38,24,400,16.7,2,16,4.0,66.7,63.2%,10.5,1,-3,0,0,-3.0,-0.5,0.2,25,15.9,397,2,0
153,Keenan McCardell,SDG,wr,58,31,393,12.7,1,19,4.4,56.1,53.4%,6.8,1,3,0,0,3.0,0.4,0.1,32,12.4,396,1,0
154,Moe Williams,MIN,,27,21,233,11.1,1,10,1.5,16.6,77.8%,8.6,30,161,3,13,5.4,11.5,2.1,51,7.7,394,4,0
155,Najeh Davenport,GNB,,4,4,33,8.3,0,1,0.4,3.0,100.0%,8.3,71,359,2,16,5.1,32.6,6.5,75,5.2,392,2,1
156,Dez White,ATL,WR,56,30,370,12.3,2,16,1.9,23.1,53.6%,6.6,3,14,0,1,4.7,0.9,0.2,33,11.6,384,2,0
157,Quentin Griffin,DEN,,14,10,68,6.8,1,4,1.7,11.3,71.4%,4.9,85,311,2,14,3.7,51.8,14.2,95,4.0,379,3,3
158,Jonathan Wells,HOU,,16,11,79,7.2,2,3,0.7,4.9,68.8%,4.9,82,299,3,17,3.6,18.7,5.1,93,4.1,378,5,1
159,Stephen Alexander,DET,TE,76,41,377,9.2,1,22,2.6,23.6,53.9%,5.0,,,,0,,,,41,9.2,377,1,0
160,Freddie Mitchell,PHI,WR,45,22,377,17.1,2,18,1.4,23.6,48.9%,8.4,,,,0,,,,22,17.1,377,2,0
161,L.J. Smith,PHI,te,54,34,377,11.1,5,21,2.1,23.6,63.0%,7.0,,,,0,,,,34,11.1,377,5,0
162,Kelley Washington,CIN,,50,31,378,12.2,3,19,1.9,23.6,62.0%,7.6,1,-1,0,0,-1.0,-0.1,0.1,32,11.8,377,3,0
163,Kevin Johnson,BAL,wr,61,35,373,10.7,1,19,2.2,23.3,57.4%,6.1,1,0,0,0,0.0,0.0,0.1,36,10.4,373,1,1
164,Travis Henry,BUF,rb,14,10,45,4.5,0,4,1.0,4.5,71.4%,3.2,94,326,0,18,3.5,32.6,9.4,104,3.6,371,0,0
165,Jerald Sowell,NYJ,FB,59,45,342,7.6,1,15,2.8,21.4,76.3%,5.8,2,28,0,1,14.0,1.8,0.1,47,7.9,370,1,1
166,Kelly Campbell,MIN,,32,19,364,19.2,1,14,1.2,22.8,59.4%,11.4,3,4,0,1,1.3,0.3,0.2,22,16.7,368,1,1
167,Robert Ferguson,GNB,wr,49,24,367,15.3,1,18,1.8,28.2,49.0%,7.5,,,,0,,,,24,15.3,367,1,1
168,Daniel Graham,NWE,TE,48,30,364,12.1,7,20,2.1,26.0,62.5%,7.6,,,,0,,,,30,12.1,364,7,0
