,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,David Akers,SFO,,1,1,9,8,13,11,13,7,6,2,42,29,69.0%,44,44,100.0%,87,5694,40,46.0%,65.4,,,
1,Lawrence Tynes,NYG,,,,11,11,16,14,9,7,3,1,39,33,84.6%,46,46,100.0%,94,6010,24,25.5%,63.9,,,
2,Matt Bryant,ATL,,1,1,9,8,11,10,13,10,4,4,38,33,86.8%,44,44,100.0%,,,,,,,,
3,Shayne Graham,HOU,,1,1,8,8,11,11,9,7,9,4,38,31,81.6%,45,45,100.0%,91,5632,28,30.8%,61.9,,,
4,Blair Walsh,MIN,,,,10,10,9,8,9,7,10,10,38,35,92.1%,36,36,100.0%,86,5633,53,61.6%,65.5,,,
5,Jason Hanson,DET,,1,1,3,3,10,10,19,16,3,2,36,32,88.9%,38,38,100.0%,87,5282,30,34.5%,60.7,3,118,39.3
6,Stephen Gostkowski,NWE,,,,8,8,12,10,13,9,2,2,35,29,82.9%,66,66,100.0%,111,7061,52,46.8%,63.6,,,
7,Sebastian Janikowski,OAK,,1,1,9,9,10,10,5,5,9,6,34,31,91.2%,25,25,100.0%,73,4473,38,52.1%,61.3,,,
8,Ryan Succop,KAN,,,,5,4,15,12,12,10,2,2,34,28,82.4%,17,17,100.0%,58,3579,27,46.6%,61.7,,,
9,Connor Barth,TAM,,,,7,7,4,3,13,12,9,6,33,28,84.8%,39,39,100.0%,,,,,,,,
10,Mason Crosby,GNB,,,,5,5,7,5,12,9,9,2,33,21,63.6%,50,50,100.0%,88,5531,35,39.8%,62.9,,,
11,Justin Tucker,BAL,,,,8,8,8,8,13,10,4,4,33,30,90.9%,42,42,100.0%,88,5607,49,55.7%,63.7,,,
12,Adam Vinatieri,IND,,1,1,8,8,7,4,10,9,7,4,33,26,78.8%,37,37,100.0%,,,,,,,,
13,Matt Prater,DEN,,1,1,7,7,11,10,9,5,4,3,32,26,81.3%,55,55,100.0%,98,6254,65,66.3%,63.8,,,
14,Dan Bailey,DAL,,1,1,5,5,13,13,7,7,5,3,31,29,93.5%,37,37,100.0%,84,5089,30,35.7%,60.6,,,
15,Rob Bironas,TEN,,,,6,6,13,13,10,5,2,1,31,25,80.6%,35,35,100.0%,74,4583,37,50.0%,61.9,,,
16,Phil Dawson,CLE,,,,9,8,9,8,6,6,7,7,31,29,93.5%,29,29,100.0%,77,4820,30,39.0%,62.6,,,
17,Alex Henery,PHI,,,,9,8,9,8,12,11,1,,31,27,87.1%,26,25,96.2%,70,4405,26,37.1%,62.9,,,
18,Shaun Suisham,PIT,,,,8,7,8,8,12,12,3,1,31,28,90.3%,34,34,100.0%,75,4746,29,38.7%,63.3,,,
19,Greg Zuerlein,STL,,1,1,4,4,6,4,7,7,13,7,31,23,74.2%,26,26,100.0%,67,4388,37,55.2%,65.5,,,
20,Jay Feely,ARI,,,,6,6,10,9,10,8,2,2,28,25,89.3%,25,25,100.0%,63,3928,29,46.0%,62.3,,,
21,Josh Scobee,JAX,,1,1,4,4,8,8,13,11,2,1,28,25,89.3%,19,18,94.7%,69,4356,26,37.7%,63.1,,,
22,Dan Carpenter,MIA,,,,3,3,9,9,10,8,5,2,27,22,81.5%,26,26,100.0%,65,4169,30,46.2%,64.1,1,29,29.0
