,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Arian Foster,HOU,RB,84,66,604,9.2,2,34,4.1,37.8,78.6%,7.2,327,1616,16,90,4.9,101.0,20.4,393,5.6,2220,18,3
1,Jamaal Charles,KAN,rb,64,45,468,10.4,3,22,2.8,29.3,70.3%,7.3,230,1467,5,70,6.4,91.7,14.4,275,7.0,1935,8,3
2,Ray Rice,BAL,RB,83,63,556,8.8,1,23,3.9,34.8,75.9%,6.7,307,1220,5,53,4.0,76.3,19.2,370,4.8,1776,6,0
3,LeSean McCoy,PHI,RB,91,78,592,7.6,2,29,5.2,39.5,85.7%,6.5,207,1080,7,46,5.2,72.0,13.8,285,5.9,1672,9,2
4,Darren McFadden,OAK,RB,61,47,507,10.8,3,22,3.6,39.0,77.0%,8.3,223,1157,7,46,5.2,89.0,17.2,270,6.2,1664,10,4
5,Peyton Hillis,CLE,RB,77,61,477,7.8,2,25,3.8,29.8,79.2%,6.2,270,1177,11,58,4.4,73.6,16.9,331,5.0,1654,13,8
6,Maurice Jones-Drew,JAX,RB,44,34,317,9.3,2,13,2.4,22.6,77.3%,7.2,299,1324,5,74,4.4,94.6,21.4,333,4.9,1641,7,2
7,Adrian Peterson,MIN,RB,50,36,341,9.5,1,17,2.4,22.7,72.0%,6.8,283,1298,12,71,4.6,86.5,18.9,319,5.1,1639,13,1
8,Steven Jackson,STL,RB,62,46,383,8.3,0,14,2.9,23.9,74.2%,6.2,330,1241,6,60,3.8,77.6,20.6,376,4.3,1624,6,1
9,Matt Forte,CHI,RB,70,51,547,10.7,3,21,3.2,34.2,72.9%,7.8,237,1069,6,43,4.5,66.8,14.8,288,5.6,1616,9,3
10,Chris Johnson,TEN,RB,57,44,245,5.6,1,9,2.8,15.3,77.2%,4.3,316,1364,11,57,4.3,85.3,19.8,360,4.5,1609,12,3
11,Ahmad Bradshaw,NYG,RB,58,47,314,6.7,0,18,2.9,19.6,81.0%,5.4,276,1235,8,53,4.5,77.2,17.3,323,4.8,1549,8,7
12,Michael Turner,ATL,RB,20,12,85,7.1,0,2,0.8,5.3,60.0%,4.3,334,1371,12,75,4.1,85.7,20.9,346,4.2,1456,12,2
13,Rashard Mendenhall,PIT,RB,34,23,167,7.3,0,6,1.4,10.4,67.6%,4.9,324,1273,13,61,3.9,79.6,20.3,347,4.1,1440,13,2
14,Brandon Lloyd,DEN,WR,153,77,1448,18.8,11,72,4.8,90.5,50.3%,9.5,1,-18,0,0,-18.0,-1.1,0.1,78,18.3,1430,11,0
15,Roddy White,ATL,WR,179,115,1389,12.1,10,73,7.2,86.8,64.2%,7.8,1,3,0,0,3.0,0.2,0.1,116,12.0,1392,10,1
16,Reggie Wayne,IND,WR,175,111,1355,12.2,6,72,6.9,84.7,63.4%,7.7,,,,0,,,,111,12.2,1355,6,1
17,Frank Gore,SFO,RB,72,46,452,9.8,2,15,4.2,41.1,63.9%,6.3,203,853,3,42,4.2,77.5,18.5,249,5.2,1305,5,4
18,Mike Wallace,PIT,WR,98,60,1257,21.0,10,48,3.8,78.6,61.2%,12.8,5,39,0,2,7.8,2.4,0.3,65,19.9,1296,10,1
19,Cedric Benson,CIN,RB,37,28,178,6.4,1,9,1.8,11.1,75.7%,4.8,321,1111,7,59,3.5,69.4,20.1,349,3.7,1289,8,7
20,LaDainian Tomlinson,NYJ,RB,79,52,368,7.1,0,19,3.5,24.5,65.8%,4.7,219,914,6,43,4.2,60.9,14.6,271,4.7,1282,6,3
21,Greg Jennings,GNB,WR,125,76,1265,16.6,12,51,4.8,79.1,60.8%,10.1,1,-1,0,0,-1.0,-0.1,0.1,77,16.4,1264,12,2
22,Felix Jones,DAL,rb,52,48,450,9.4,1,11,3.0,28.1,92.3%,8.7,185,800,1,41,4.3,50.0,11.6,233,5.4,1250,2,2
23,Andre Johnson,HOU,WR,138,86,1216,14.1,8,59,6.6,93.5,62.3%,8.8,2,10,0,1,5.0,0.8,0.2,88,13.9,1226,8,1
24,Dwayne Bowe,KAN,WR,133,72,1162,16.1,15,55,4.5,72.6,54.1%,8.7,1,4,0,0,4.0,0.3,0.1,73,16.0,1166,15,1
25,DeSean Jackson,PHI,WR,95,47,1056,22.5,6,32,3.4,75.4,49.5%,11.1,16,104,1,5,6.5,7.4,1.1,63,18.4,1160,7,4
26,Calvin Johnson,DET,WR,137,77,1120,14.5,12,54,5.1,74.7,56.2%,8.2,4,32,0,2,8.0,2.1,0.3,81,14.2,1152,12,1
27,Knowshon Moreno,DEN,RB,48,37,372,10.1,3,15,2.8,28.6,77.1%,7.8,182,779,5,35,4.3,59.9,14.0,219,5.3,1151,8,3
28,Fred Jackson,BUF,RB,54,31,215,6.9,2,9,1.9,13.4,57.4%,4.0,222,927,5,40,4.2,57.9,13.9,253,4.5,1142,7,5
29,Larry Fitzgerald,ARI,WR,173,90,1137,12.6,6,58,5.6,71.1,52.0%,6.6,,,,0,,,,90,12.6,1137,6,0
30,Miles Austin,DAL,WR,119,69,1041,15.1,7,46,4.3,65.1,58.0%,8.7,7,93,1,3,13.3,5.8,0.4,76,14.9,1134,8,1
31,Santana Moss,WAS,WR,145,93,1115,12.0,6,61,5.8,69.7,64.1%,7.7,5,-6,0,2,-1.2,-0.4,0.3,98,11.3,1109,6,3
32,BenJarvus Green-Ellis,NWE,RB,16,12,85,7.1,0,5,0.8,5.3,75.0%,5.3,229,1008,13,65,4.4,63.0,14.3,241,4.5,1093,13,0
33,Steve Johnson,BUF,WR,141,82,1073,13.1,10,61,5.1,67.1,58.2%,7.6,,,,0,,,,82,13.1,1073,10,1
34,Hakeem Nicks,NYG,WR,128,79,1052,13.3,11,45,6.1,80.9,61.7%,8.2,,,,0,,,,79,13.3,1052,11,1
35,Brandon Jackson,GNB,RB,50,43,342,8.0,1,18,2.7,21.4,86.0%,6.8,190,703,3,30,3.7,43.9,11.9,233,4.5,1045,4,1
36,Jahvid Best,DET,RB,80,58,487,8.4,2,15,3.6,30.4,72.5%,6.1,171,555,4,25,3.2,34.7,10.7,229,4.6,1042,6,1
37,Marques Colston,NOR,WR,131,84,1023,12.2,7,57,5.6,68.2,64.1%,7.8,1,1,0,0,1.0,0.1,0.1,85,12.0,1024,7,0
38,LeGarrette Blount,TAM,rb,7,5,14,2.8,0,0,0.4,1.1,71.4%,2.0,201,1007,6,38,5.0,77.5,15.5,206,5.0,1021,6,4
39,Thomas Jones,KAN,RB,20,14,122,8.7,0,8,0.9,7.6,70.0%,6.1,245,896,6,39,3.7,56.0,15.3,259,3.9,1018,6,3
40,Brandon Marshall,MIA,WR,146,86,1014,11.8,3,56,6.1,72.4,58.9%,6.9,2,3,0,0,1.5,0.2,0.1,88,11.6,1017,3,2
41,Jason Witten,DAL,TE,128,94,1002,10.7,9,42,5.9,62.6,73.4%,7.8,,,,0,,,,94,10.7,1002,9,1
42,Jeremy Maclin,PHI,WR,115,70,964,13.8,10,40,4.4,60.3,60.9%,8.4,3,36,0,3,12.0,2.3,0.2,73,13.7,1000,10,1
43,Terrell Owens,CIN,WR,139,72,983,13.7,9,47,5.1,70.2,51.8%,7.1,,,,0,,,,72,13.7,983,9,0
