,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Chris Johnson,TEN,RB,71,50,503,10.1,2,18,3.1,31.4,70.4%,7.1,358,2006,14,80,5.6,125.4,22.4,408,6.1,2509,16,3
1,Ray Rice,BAL,RB,101,78,702,9.0,1,27,4.9,43.9,77.2%,7.0,254,1339,7,53,5.3,83.7,15.9,332,6.1,2041,8,3
2,Adrian Peterson,MIN,RB,57,43,436,10.1,0,16,2.7,27.3,75.4%,7.6,314,1383,18,76,4.4,86.4,19.6,357,5.1,1819,18,7
3,Maurice Jones-Drew,JAX,RB,71,53,374,7.1,1,16,3.3,23.4,74.6%,5.3,312,1391,15,69,4.5,86.9,19.5,365,4.8,1765,16,2
4,Steven Jackson,STL,RB,75,51,322,6.3,0,16,3.4,21.5,68.0%,4.3,324,1416,4,59,4.4,94.4,21.6,375,4.6,1738,4,2
5,Andre Johnson,HOU,WR,171,101,1569,15.5,9,70,6.3,98.1,59.1%,9.2,2,10,0,1,5.0,0.6,0.1,103,15.3,1579,9,1
6,Frank Gore,SFO,RB,75,52,406,7.8,3,14,3.7,29.0,69.3%,5.4,229,1120,10,47,4.9,80.0,16.4,281,5.4,1526,13,4
7,Thomas Jones,NYJ,RB,18,10,58,5.8,0,4,0.6,3.6,55.6%,3.2,331,1402,14,66,4.2,87.6,20.7,341,4.3,1460,14,2
8,Ryan Grant,GNB,RB,30,25,197,7.9,0,9,1.6,12.3,83.3%,6.6,282,1253,11,64,4.4,78.3,17.6,307,4.7,1450,11,1
9,Fred Jackson,BUF,RB,61,46,371,8.1,2,22,2.9,23.2,75.4%,6.1,237,1062,2,44,4.5,66.4,14.8,283,5.1,1433,4,4
10,Jamaal Charles,KAN,RB,55,40,297,7.4,1,11,2.7,19.8,72.7%,5.4,190,1120,7,54,5.9,74.7,12.7,230,6.2,1417,8,4
11,Matt Forte,CHI,RB,72,57,471,8.3,0,17,3.6,29.4,79.2%,6.5,258,929,4,41,3.6,58.1,16.1,315,4.4,1400,4,6
12,Ricky Williams,MIA,rb,53,35,264,7.5,2,9,2.2,16.5,66.0%,5.0,241,1121,11,55,4.7,70.1,15.1,276,5.0,1385,13,5
13,Wes Welker,NWE,WR,162,123,1348,11.0,4,71,8.8,96.3,75.9%,8.3,5,36,0,3,7.2,2.6,0.4,128,10.8,1384,4,2
14,Rashard Mendenhall,PIT,RB,32,25,261,10.4,1,13,1.6,16.3,78.1%,8.2,242,1108,7,50,4.6,69.3,15.1,267,5.1,1369,8,3
15,DeAngelo Williams,CAR,RB,41,29,252,8.7,0,14,2.2,19.4,70.7%,6.1,216,1117,7,51,5.2,85.9,16.6,245,5.6,1369,7,3
16,Cedric Benson,CIN,RB,24,17,111,6.5,0,5,1.3,8.5,70.8%,4.6,301,1251,6,57,4.2,96.2,23.2,318,4.3,1362,6,1
17,Miles Austin,DAL,WR,124,81,1320,16.3,11,58,5.1,82.5,65.3%,10.6,2,-2,0,1,-1.0,-0.1,0.1,83,15.9,1318,11,1
18,Sidney Rice,MIN,WR,121,83,1312,15.8,8,60,5.2,82.0,68.6%,10.8,,,,0,,,,83,15.8,1312,8,1
19,DeSean Jackson,PHI,WR,117,62,1156,18.6,9,40,4.1,77.1,53.0%,9.9,11,137,1,5,12.5,9.1,0.7,73,17.7,1293,10,3
20,Jonathan Stewart,CAR,rb,26,18,139,7.7,1,7,1.1,8.7,69.2%,5.3,221,1133,10,54,5.1,70.8,13.8,239,5.3,1272,11,3
21,Randy Moss,NWE,WR,137,83,1264,15.2,13,62,5.2,79.0,60.6%,9.2,,,,0,,,,83,15.2,1264,13,2
22,Reggie Wayne,IND,WR,149,100,1264,12.6,10,73,6.3,79.0,67.1%,8.5,,,,0,,,,100,12.6,1264,10,0
23,Santonio Holmes,PIT,WR,138,79,1248,15.8,5,62,4.9,78.0,57.2%,9.0,3,6,0,0,2.0,0.4,0.2,82,15.3,1254,5,0
24,Steve Smith,NYG,WR,157,107,1220,11.4,7,62,6.7,76.3,68.2%,7.8,,,,0,,,,107,11.4,1220,7,0
25,Vincent Jackson,SDG,WR,108,68,1167,17.2,9,57,4.5,77.8,63.0%,10.8,3,11,0,1,3.7,0.7,0.2,71,16.6,1178,9,0
