,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Adrian Peterson,MIN,RB,51,40,217,5.4,1,11,2.5,13.6,78.4%,4.3,348,2097,12,88,6.0,131.1,21.8,388,6.0,2314,13,4
1,Calvin Johnson,DET,WR,204,122,1964,16.1,5,92,7.6,122.8,59.8%,9.6,,,,0,,,,122,16.1,1964,5,3
2,Doug Martin,TAM,RB,70,49,472,9.6,1,18,3.1,29.5,70.0%,6.7,319,1454,11,64,4.6,90.9,19.9,368,5.2,1926,12,1
3,Marshawn Lynch,SEA,RB,30,23,196,8.5,1,11,1.4,12.3,76.7%,6.5,315,1590,11,70,5.0,99.4,19.7,338,5.3,1786,12,5
4,Jamaal Charles,KAN,RB,49,35,236,6.7,1,11,2.2,14.8,71.4%,4.8,285,1509,5,63,5.3,94.3,17.8,320,5.5,1745,6,5
5,C.J. Spiller,BUF,RB,57,43,459,10.7,2,20,2.7,28.7,75.4%,8.1,207,1244,6,53,6.0,77.8,12.9,250,6.8,1703,8,3
6,Alfred Morris,WAS,RB,16,11,77,7.0,0,3,0.7,4.8,68.8%,4.8,335,1613,13,86,4.8,100.8,20.9,346,4.9,1690,13,4
7,Arian Foster,HOU,RB,58,40,217,5.4,2,10,2.5,13.6,69.0%,3.7,351,1424,15,78,4.1,89.0,21.9,391,4.2,1641,17,3
8,Ray Rice,BAL,RB,83,61,478,7.8,1,24,3.8,29.9,73.5%,5.8,257,1143,9,52,4.4,71.4,16.1,318,5.1,1621,10,1
9,Andre Johnson,HOU,WR,162,112,1598,14.3,4,79,7.0,99.9,69.1%,9.9,,,,0,,,,112,14.3,1598,4,0
10,Brandon Marshall,CHI,WR,192,118,1508,12.8,11,74,7.4,94.3,61.5%,7.9,1,-2,0,0,-2.0,-0.1,0.1,119,12.7,1506,11,2
11,Chris Johnson,TEN,RB,49,36,232,6.4,0,7,2.3,14.5,73.5%,4.7,276,1243,6,46,4.5,77.7,17.3,312,4.7,1475,6,5
12,Frank Gore,SFO,RB,36,28,234,8.4,1,10,1.8,14.6,77.8%,6.5,258,1214,8,68,4.7,75.9,16.1,286,5.1,1448,9,3
13,Matt Forte,CHI,RB,59,44,340,7.7,1,15,2.9,22.7,74.6%,5.8,248,1094,5,45,4.4,72.9,16.5,292,4.9,1434,6,2
14,Demaryius Thomas,DEN,WR,143,94,1434,15.3,10,60,5.9,89.6,65.7%,10.0,,,,0,,,,94,15.3,1434,10,3
15,A.J. Green,CIN,WR,164,97,1350,13.9,11,61,6.1,84.4,59.1%,8.2,4,38,0,2,9.5,2.4,0.3,101,13.7,1388,11,2
16,Vincent Jackson,TAM,WR,147,72,1384,19.2,8,61,4.5,86.5,49.0%,9.4,,,,0,,,,72,19.2,1384,8,0
17,Dez Bryant,DAL,WR,138,92,1382,15.0,12,54,5.8,86.4,66.7%,10.0,2,-5,0,0,-2.5,-0.3,0.1,94,14.6,1377,12,5
