,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Christian McCaffrey,CAR,RB,142,116,1005,8.7,4,58,7.3,62.8,81.7%,7.1,287,1387,15,57,4.8,86.7,17.9,403,5.9,2392,19,1
1,Ezekiel Elliott,DAL,RB,71,54,420,7.8,2,21,3.4,26.3,76.1%,5.9,301,1357,12,78,4.5,84.8,18.8,355,5.0,1777,14,3
2,Nick Chubb,CLE,RB,49,36,278,7.7,0,13,2.3,17.4,73.5%,5.7,298,1494,8,62,5.0,93.4,18.6,334,5.3,1772,8,3
3,Derrick Henry,TEN,RB,24,18,206,11.4,2,4,1.2,13.7,75.0%,8.6,303,1540,16,73,5.1,102.7,20.2,321,5.4,1746,18,5
4,Michael Thomas,NOR,WR,185,149,1725,11.6,9,91,9.3,107.8,80.5%,9.3,1,-9,0,0,-9.0,-0.6,0.1,150,11.4,1716,9,1
5,Leonard Fournette,JAX,RB,100,76,522,6.9,0,23,5.1,34.8,76.0%,5.2,265,1152,3,55,4.3,76.8,17.7,341,4.9,1674,3,1
6,Dalvin Cook,MIN,RB,63,53,519,9.8,0,26,3.8,37.1,84.1%,8.2,250,1135,13,60,4.5,81.1,17.9,303,5.5,1654,13,4
7,Aaron Jones,GNB,RB,68,49,474,9.7,3,18,3.1,29.6,72.1%,7.0,236,1084,16,55,4.6,67.8,14.8,285,5.5,1558,19,3
8,Austin Ekeler,LAC,rb,108,92,993,10.8,8,42,5.8,62.1,85.2%,9.2,132,557,3,32,4.2,34.8,8.3,224,6.9,1550,11,3
9,Chris Carson,SEA,RB,47,37,266,7.2,2,10,2.5,17.7,78.7%,5.7,278,1230,7,75,4.4,82.0,18.5,315,4.7,1496,9,7
10,Saquon Barkley,NYG,RB,73,52,438,8.4,2,14,4.0,33.7,71.2%,6.0,217,1003,6,45,4.6,77.2,16.7,269,5.4,1441,8,1
11,Joe Mixon,CIN,RB,45,35,287,8.2,3,14,2.2,17.9,77.8%,6.4,278,1137,5,56,4.1,71.1,17.4,313,4.5,1424,8,0
12,Julio Jones,ATL,WR,157,99,1394,14.1,6,77,6.6,92.9,63.1%,8.9,2,-3,0,0,-1.5,-0.2,0.1,101,13.8,1391,6,1
13,Chris Godwin,TAM,WR,121,86,1333,15.5,9,63,6.1,95.2,71.1%,11.0,1,8,0,0,8.0,0.6,0.1,87,15.4,1341,9,0
14,Alvin Kamara,NOR,RB,97,81,533,6.6,1,28,5.8,38.1,83.5%,5.5,171,797,5,32,4.7,56.9,12.2,252,5.3,1330,6,4
15,Miles Sanders,PHI,RB,63,50,509,10.2,3,19,3.1,31.8,79.4%,8.1,179,818,3,30,4.6,51.1,11.2,229,5.8,1327,6,2
16,Josh Jacobs,OAK,RB,27,20,166,8.3,0,8,1.5,12.8,74.1%,6.1,242,1150,7,53,4.8,88.5,18.6,262,5.0,1316,7,1
17,Mark Ingram,BAL,RB,29,26,247,9.5,5,16,1.7,16.5,89.7%,8.5,202,1018,10,53,5.0,67.9,13.5,228,5.5,1265,15,2
