,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Jay Feely,ATL,,,,10,8,14,12,13,11,3,1,40,32,80.0%,43,42,97.7%,92,5875,16,17.4%,63.9,,,
1,Martin Gramatica,TAM,,,,8,7,15,14,10,6,6,5,39,32,82.1%,32,32,100.0%,81,5136,5,6.2%,63.4,1,23,23.0
2,Jason Elam,DEN,,1,1,9,9,9,7,11,5,6,4,36,26,72.2%,43,42,97.7%,44,2775,1,2.3%,63.1,,,
3,John Carney,NOR,,,,9,9,13,11,12,11,1,,35,31,88.6%,37,37,100.0%,26,1630,2,7.7%,62.7,,,
4,David Akers,PHI,,,,9,9,16,14,7,6,2,1,34,30,88.2%,43,43,100.0%,89,5483,10,11.2%,61.6,,,
5,Ryan Longwell,GNB,,1,1,9,8,13,12,10,7,1,,34,28,82.4%,44,44,100.0%,85,5182,2,2.4%,61.0,,,
6,Mike Hollis,BUF,,,,8,7,10,8,10,7,5,3,33,25,75.8%,40,40,100.0%,84,4845,2,2.4%,57.7,,,
7,Sebastian Janikowski,OAK,,,,11,10,8,7,12,7,2,2,33,26,78.8%,50,50,100.0%,97,6312,22,22.7%,65.1,,,
8,Matt Bryant,NYG,,2,2,7,7,19,14,4,3,,,32,26,81.3%,32,30,93.8%,75,4520,2,2.7%,60.3,,,
9,Jose Cortez,2TM,,,,13,11,9,8,10,4,,,32,23,71.9%,34,34,100.0%,71,4386,7,9.9%,61.8,,,
10,John Hall,NYJ,,,,9,9,11,9,10,6,1,,31,24,77.4%,37,35,94.6%,79,4905,5,6.3%,62.1,1,28,28.0
11,Olindo Mare,MIA,,,,14,13,3,2,11,7,3,2,31,24,77.4%,43,42,97.7%,84,5269,12,14.3%,62.7,,,
12,Joe Nedney,TEN,,,,9,9,12,10,8,5,2,1,31,25,80.6%,36,36,100.0%,84,5367,9,10.7%,63.9,,,
13,Mike Vanderjagt,IND,,1,1,8,7,7,6,12,6,3,3,31,23,74.2%,34,34,100.0%,77,4539,1,1.3%,58.9,,,
14,Adam Vinatieri,NWE,,,,6,6,12,12,10,8,2,1,30,27,90.0%,36,36,100.0%,83,4956,6,7.2%,59.7,,,
15,Rian Lindell,SEA,,1,1,9,9,10,8,5,4,4,1,29,23,79.3%,38,38,100.0%,79,4582,,,58.0,,,
16,Phil Dawson,CLE,,,,10,9,8,6,7,5,3,2,28,22,78.6%,35,34,97.1%,77,4597,7,9.1%,59.7,2,36,18.0
17,Paul Edinger,CHI,,,,4,4,6,5,10,8,8,5,28,22,78.6%,29,29,100.0%,67,4002,2,3.0%,59.7,,,
18,Jason Hanson,DET,,,,8,8,9,8,8,7,3,,28,23,82.1%,31,31,100.0%,74,4770,5,6.8%,64.5,,,
19,Morten Andersen,KAN,,,,6,6,10,10,9,5,1,1,26,22,84.6%,51,51,100.0%,64,3788,6,9.4%,59.2,,,
20,Steve Christie,SDG,,,,8,8,6,5,9,4,3,1,26,18,69.2%,36,35,97.2%,21,1147,,,54.6,,,
21,Matt Stover,BAL,,,,9,9,5,4,10,7,1,1,25,21,84.0%,33,33,100.0%,40,2298,1,2.5%,57.5,1,33,33.0
22,Jeff Wilkins,STL,,,,5,5,10,8,9,6,1,,25,19,76.0%,37,37,100.0%,71,4372,9,12.7%,61.6,,,
23,Kris Brown,HOU,,1,,3,3,1,1,14,11,5,2,24,17,70.8%,20,20,100.0%,56,3402,2,3.6%,60.8,,,
24,Gary Anderson,MIN,,1,1,8,8,5,5,8,3,1,1,23,18,78.3%,37,36,97.3%,8,444,,,55.5,,,
25,Bill Gramatica,ARI,,,,7,6,2,2,8,6,4,1,21,15,71.4%,29,29,100.0%,60,3580,,,59.7,,,
26,Todd Peterson,PIT,,1,1,3,2,10,6,7,3,,,21,12,57.1%,26,25,96.2%,49,2718,1,2.0%,55.5,,,
27,Billy Cundiff,DAL,,,,3,3,7,5,8,4,1,,19,12,63.2%,25,25,100.0%,30,1743,1,3.3%,58.1,,,
28,Jeff Reed,PIT,,,,5,5,5,5,7,6,2,1,19,17,89.5%,11,10,90.9%,35,2043,1,2.9%,58.4,,,
29,Neil Rackers,CIN,,2,2,5,5,3,3,5,3,3,2,18,15,83.3%,32,30,93.8%,64,3526,3,4.7%,55.1,2,17,8.5
30,Shayne Graham,CAR,,1,1,4,2,3,2,8,6,2,2,18,13,72.2%,21,21,100.0%,5,330,,,66.0,,,
31,James Tuthill,2TM,,,,3,3,7,4,5,2,1,1,16,10,62.5%,21,20,95.2%,43,2736,3,7.0%,63.6,4,160,40.0
32,Jeff Chandler,SFO,,1,1,2,2,1,1,7,4,1,,12,8,66.7%,14,14,100.0%,29,1687,1,3.4%,58.2,,,
33,Tim Seder,JAX,,,,4,4,3,2,4,2,1,,12,8,66.7%,11,11,100.0%,23,1113,,,48.4,,,
34,Hayden Epstein,2TM,,,,3,3,3,2,2,,1,,9,5,55.6%,13,13,100.0%,22,1383,5,22.7%,62.9,,,
35,Doug Brien,MIN,,,,3,3,1,1,2,1,,,6,5,83.3%,7,5,71.4%,15,968,1,6.7%,64.5,,,
36,Danny Boyd,JAX,,,,3,3,2,2,,,,,5,5,100.0%,7,7,100.0%,17,965,,,56.8,,,
37,John Kasay,CAR,,,,2,2,,,2,,1,,5,2,40.0%,5,5,100.0%,,,,,,,,
38,Jon Hilbert,CAR,,,,,,1,,1,,,,2,,0.0%,3,3,100.0%,,,,,,,,
39,Brett Conway,WAS,,,,,,1,1,,,,,1,1,100.0%,4,4,100.0%,5,258,,,51.6,,,
40,Richie Cunningham,JAX,,,,1,1,,,,,,,1,1,100.0%,2,2,100.0%,5,245,,,49.0,,,
41,Michael Husted,KAN,,,,,,1,1,,,,,1,1,100.0%,3,3,100.0%,5,297,,,59.4,,,
42,J.R. Jenkins,BAL,,,,,,,,,,1,,1,,0.0%,,,,1,69,,,69.0,,,
43,Chad Stanley,HOU,,,,,,,,,,,,,,,,,,1,53,,,53.0,114,4720,41.4
44,Todd Sauerbrun,CAR,,,,,,,,,,,,,,,,,,56,3370,7,12.5%,60.2,104,4735,45.5
45,John Jett,DET,,,,,,,,,,,,,,,,,,,,,,,91,3838,42.2
46,Tom Tupa,TAM,,,,,,,,,,,,,,,,,,,,,,,90,3856,42.8
47,Scott Player,ARI,,,,,,,,,,,,,,,,,,1,68,,,68.0,88,3864,43.9
48,Darren Bennett,SDG,,,,,,,,,,,,,,,,,,1,73,,,73.0,87,3540,40.7
49,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,1,51,,,51.0,87,3679,42.3
50,Chris Gardocki,CLE,,,,,,,,,,,,,,,,,,,,,,,81,3388,41.8
51,Chris Hanson,JAX,,,,,,,,,,,,,,,,,,,,,,,81,3583,44.2
52,Dave Zastudil,BAL,,,,,,,,,,,,,,,,,,2,128,,,64.0,81,3368,41.6
53,Josh Bidwell,GNB,,,,,,,,,,,,,,,,,,,,,,,79,3296,41.7
54,Mitch Berger,STL,,,,,,,,,,,,,,,,,,,,,,,72,3020,41.9
55,Micah Knorr,2TM,,,,,,,,,,,,,,,,,,66,4259,7,10.6%,64.5,71,2834,39.9
56,Ken Walter,NWE,,,,,,,,,,,,,,,,,,,,,,,70,2723,38.9
57,Mark Royals,MIA,,,,,,,,,,,,,,,,,,,,,,,69,2772,40.2
58,Chris Mohr,ATL,,,,,,,,,,,,,,,,,,,,,,,67,2804,41.9
59,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,,,,,,66,2844,43.1
60,Hunter Smith,IND,,,,,,,,,,,,,,,,,,,,,,,66,2672,40.5
61,Filip Filipovic,DAL,,,,,,,,,,,,,,,,,,1,59,,,59.0,65,2640,40.6
62,Nick Harris,CIN,,,,,,,,,,,,,,,,,,,,,,,65,2608,40.1
63,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,,,,,,65,2725,41.9
64,Dan Stryzinski,KAN,,,,,,,,,,,,,,,,,,1,39,,,39.0,64,2422,37.8
65,Matt Allen,NYG,,,,,,,,,,,,,,,,,,2,120,,,60.0,63,2326,36.9
66,Matt Turk,NYJ,,,,,,,,,,,,,,,,,,,,,,,63,2584,41.0
67,Kyle Richardson,MIN,,,,,,,,,,,,,,,,,,,,,,,62,2474,39.9
68,Jeff Feagles,SEA,,,,,,,,,,,,,,,,,,,,,,,61,2542,41.7
69,Toby Gowin,NOR,,,,,,,,,,,,,,,,,,69,4527,6,8.7%,65.6,61,2553,41.9
70,Jason Baker,2TM,,,,,,,,,,,,,,,,,,,,,,,55,2133,38.8
71,Josh Miller,PIT,,,,,,,,,,,,,,,,,,,,,,,55,2267,41.2
72,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,,,,,,53,2251,42.5
73,Sean Landeta,PHI,,,,,,,,,,,,,,,,,,,,,,,52,2229,42.9
74,Bryan Barker,WAS,,,,,,,,,,,,,,,,,,,,,,,48,1924,40.1
75,Tom Rouen,3TM,,,,,,,,,,,,,,,,,,,,,,,44,1888,42.9
76,Bill LaFleur,SFO,,,,,,,,,,,,,,,,,,,,,,,22,805,36.6
77,Craig Jarrett,WAS,,,,,,,,,,,,,,,,,,,,,,,20,771,38.6
78,Lee Johnson,PHI,,,,,,,,,,,,,,,,,,,,,,,14,523,37.4
79,Dirk Johnson,NOR,,,,,,,,,,,,,,,,,,,,,,,8,307,38.4
80,Travis Dorsch,CIN,,,,,,,,,,,,,,,,,,1,40,,,40.0,5,162,32.4
81,Kevin Stemke,OAK,,,,,,,,,,,,,,,,,,,,,,,5,212,42.4
