,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Priest Holmes,KAN,RB,81,70,672,9.6,3,31,5.0,48.0,86.4%,8.3,313,1615,21,105,5.2,115.4,22.4,383,6.0,2287,24,1
1,Ricky Williams,MIA,RB,59,47,363,7.7,1,16,2.9,22.7,79.7%,6.2,383,1853,16,94,4.8,115.8,23.9,430,5.2,2216,17,7
2,LaDainian Tomlinson,SDG,RB,101,79,489,6.2,1,21,4.9,30.6,78.2%,4.8,372,1683,14,96,4.5,105.2,23.3,451,4.8,2172,15,3
3,Tiki Barber,NYG,RB,95,69,597,8.7,0,24,4.3,37.3,72.6%,6.3,304,1387,11,71,4.6,86.7,19.0,373,5.3,1984,11,9
4,Charlie Garner,OAK,RB,111,91,941,10.3,4,47,5.7,58.8,82.0%,8.5,182,962,7,49,5.3,60.1,11.4,273,7.0,1903,11,0
5,Clinton Portis,DEN,RB,49,33,364,11.0,2,16,2.1,22.8,67.3%,7.4,273,1508,15,82,5.5,94.3,17.1,306,6.1,1872,17,5
6,Jamal Lewis,BAL,RB,60,47,442,9.4,1,14,2.9,27.6,78.3%,7.4,308,1327,6,66,4.3,82.9,19.3,355,5.0,1769,7,8
7,Travis Henry,BUF,RB,59,43,309,7.2,1,14,2.7,19.3,72.9%,5.2,325,1438,13,78,4.4,89.9,20.3,368,4.7,1747,14,11
8,Deuce McAllister,NOR,RB,74,47,352,7.5,3,15,3.1,23.5,63.5%,4.8,325,1388,13,68,4.3,92.5,21.7,372,4.7,1740,16,4
9,Marvin Harrison,IND,WR,205,143,1722,12.0,11,92,8.9,107.6,69.8%,8.4,2,10,0,0,5.0,0.6,0.1,145,11.9,1732,11,0
10,Fred Taylor,JAX,RB,57,49,408,8.3,0,15,3.1,25.5,86.0%,7.2,287,1314,8,50,4.6,82.1,17.9,336,5.1,1722,8,3
11,Michael Bennett,MIN,RB,41,37,351,9.5,1,16,2.3,21.9,90.2%,8.6,255,1296,5,47,5.1,81.0,15.9,292,5.6,1647,6,4
12,Shaun Alexander,SEA,RB,78,59,460,7.8,2,20,3.7,28.8,75.6%,5.9,295,1175,16,64,4.0,73.4,18.4,354,4.6,1635,18,3
13,Ahman Green,GNB,RB,74,57,393,6.9,2,19,4.1,28.1,77.0%,5.3,286,1240,7,57,4.3,88.6,20.4,343,4.8,1633,9,4
14,Corey Dillon,CIN,RB,61,43,298,6.9,0,18,2.7,18.6,70.5%,4.9,314,1311,7,72,4.2,81.9,19.6,357,4.5,1609,7,5
15,Duce Staley,PHI,RB,69,51,541,10.6,3,20,3.2,33.8,73.9%,7.8,269,1029,5,58,3.8,64.3,16.8,320,4.9,1570,8,3
16,Marshall Faulk,STL,RB,102,80,537,6.7,2,23,5.7,38.4,78.4%,5.3,212,953,8,54,4.5,68.1,15.1,292,5.1,1490,10,4
17,Hines Ward,PIT,WR,160,112,1329,11.9,12,65,7.0,83.1,70.0%,8.3,12,142,0,5,11.8,8.9,0.8,124,11.9,1471,12,1
18,Curtis Martin,NYJ,RB,56,49,362,7.4,0,17,3.1,22.6,87.5%,6.5,261,1094,7,55,4.2,68.4,16.3,310,4.7,1456,7,0
19,Eddie George,TEN,RB,46,36,255,7.1,2,11,2.3,15.9,78.3%,5.5,343,1165,12,62,3.4,72.8,21.4,379,3.7,1420,14,1
20,Randy Moss,MIN,WR,185,106,1347,12.7,7,67,6.6,84.2,57.3%,7.3,6,51,0,3,8.5,3.2,0.4,112,12.5,1398,7,1
