,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
43,Craig Hentrich,TEN,,,,,,,,,,,,,,,,,,,,,,,87,3725,42.8
44,Sam Koch,BAL,,,,,,,,,,,,,,,,,,,,,,,84,3777,45.0
45,Donnie Jones,STL,,,,,,,,,,,,,,,,,,,,,,,82,4100,50.0
46,Jon Ryan,SEA,,,,,,,,,,,,,,,,,,,,,,,78,3557,45.6
47,Josh Bidwell,TAM,,,,,,,,,,,,,,,,,,,,,,,77,3426,44.5
48,Saverio Rocca,PHI,,,,,,,,,,,,,,,,,,3,178,,,59.3,77,3334,43.3
49,Dave Zastudil,CLE,,,,,,,,,,,,,,,,,,,,,,,75,3410,45.5
50,Brandon Fields,MIA,,,,,,,,,,,,,,,,,,2,77,,,38.5,74,3249,43.9
51,Jason Baker,CAR,,,,,,,,,,,,,,,,,,,,,,,73,3217,44.1
52,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,1,68,,,68.0,73,3473,47.6
53,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,,,,,,70,3110,44.4
54,Mitch Berger,PIT,,,,,,,,,,,,,,,,,,3,161,,,53.7,66,2728,41.3
55,Andy Lee,SFO,,,,,,,,,,,,,,,,,,2,123,,,61.5,66,3155,47.8
56,Ryan Plackemeier,2TM,,,,,,,,,,,,,,,,,,,,,,,66,2741,41.5
57,Jeff Feagles,NYG,,,,,,,,,,,,,,,,,,,,,,,64,2814,44.0
58,Michael Koenen,ATL,,,,,,,,,,,,,,,,,,87,5813,16,18.4%,66.8,63,2566,40.7
59,Steve Weatherford,3TM,,,,,,,,,,,,,,,,,,14,742,,,53.0,59,2521,42.7
60,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,1,48,,,48.0,58,2557,44.1
61,Sam Paulescu,DAL,,,,,,,,,,,,,,,,,,1,58,,,58.0,53,2213,41.8
62,Hunter Smith,IND,,,,,,,,,,,,,,,,,,1,59,,,59.0,53,2343,44.2
63,Matt Turk,HOU,,,,,,,,,,,,,,,,,,1,62,,,62.0,53,2240,42.3
64,Mike Scifres,SDG,,,,,,,,,,,,,,,,,,4,207,,,51.8,51,2332,45.7
65,Chris Hanson,NWE,,,,,,,,,,,,,,,,,,,,,,,49,2143,43.7
66,Derrick Frost,GNB,,,,,,,,,,,,,,,,,,3,157,,,52.3,48,2021,42.1
67,Brett Kern,DEN,,,,,,,,,,,,,,,,,,1,30,,,30.0,46,2150,46.7
68,Adam Podlesh,JAX,,,,,,,,,,,,,,,,,,1,8,,,8.0,46,1989,43.2
69,Reggie Hodges,NYJ,,,,,,,,,,,,,,,,,,,,,,,44,1884,42.8
70,Dirk Johnson,ARI,,,,,,,,,,,,,,,,,,,,,,,40,1670,41.8
71,Ben Graham,3TM,,,,,,,,,,,,,,,,,,1,43,,,43.0,37,1571,42.5
72,Durant Brooks,WAS,,,,,,,,,,,,,,,,,,,,,,,26,1030,39.6
73,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,,,,,,24,1175,49.0
74,Glenn Pakulak,NOR,,,,,,,,,,,,,,,,,,,,,,,24,1144,47.7
75,Jeremy Kapinos,GNB,,,,,,,,,,,,,,,,,,,,,,,17,667,39.2
76,Paul Ernster,PIT,,,,,,,,,,,,,,,,,,,,,,,12,379,31.6
77,Matt Cassel,NWE,QB,,,,,,,,,,,,,,,,,,,,,,1,57,57.0
