,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,David Akers,PHI,,2,2,11,11,12,10,10,8,5,2,40,33,82.5%,45,45,100.0%,89,5834,17,19.1%,65.6,,,
1,Stephen Gostkowski,NWE,,,,11,9,17,17,11,9,1,1,40,36,90.0%,40,40,100.0%,95,6027,17,17.9%,63.4,,,
2,Matt Bryant,TAM,,,,12,12,15,15,8,5,3,,38,32,84.2%,36,35,97.2%,,,,,,,,
3,John Carney,NYG,,,,15,15,15,14,7,5,1,1,38,35,92.1%,38,38,100.0%,79,4738,3,3.8%,60.0,,,
4,Rian Lindell,BUF,,1,1,8,7,11,11,15,10,3,1,38,30,78.9%,34,34,100.0%,77,4704,10,13.0%,61.1,,,
5,Josh Brown,STL,,,,8,8,7,7,13,10,8,6,36,31,86.1%,19,19,100.0%,66,4446,8,12.1%,67.4,1,20,20.0
6,Phil Dawson,CLE,,,,10,10,14,12,6,5,6,3,36,30,83.3%,18,18,100.0%,66,4228,12,18.2%,64.1,1,33,33.0
7,Shaun Suisham,WAS,,,,7,7,9,7,16,11,4,1,36,26,72.2%,25,25,100.0%,68,4199,9,13.2%,61.8,,,
8,Mason Crosby,GNB,,1,1,8,8,13,10,6,5,6,3,34,27,79.4%,46,46,100.0%,92,5785,17,18.5%,62.9,,,
9,Ryan Longwell,MIN,,,,10,10,9,7,9,6,6,6,34,29,85.3%,40,40,100.0%,84,5411,6,7.1%,64.4,,,
10,Matt Prater,DEN,,,,8,7,9,8,11,5,6,5,34,25,73.5%,40,39,97.5%,83,5396,19,22.9%,65.0,,,
11,Rob Bironas,TEN,,,,6,6,7,7,19,15,1,1,33,29,87.9%,40,40,100.0%,85,5615,22,25.9%,66.1,,,
12,Kris Brown,HOU,,,,10,9,10,10,10,8,3,2,33,29,87.9%,37,37,100.0%,84,5378,9,10.7%,64.0,,,
13,Joe Nedney,SFO,,,,9,9,10,10,11,8,3,2,33,29,87.9%,34,34,100.0%,78,4948,9,11.5%,63.4,,,
14,Matt Stover,BAL,,,,11,11,12,11,9,5,1,,33,27,81.8%,41,41,100.0%,42,2617,5,11.9%,62.3,,,
15,Nate Kaeding,SDG,,,,13,13,10,10,8,3,1,1,32,27,84.4%,46,46,100.0%,92,5854,8,8.7%,63.6,,,
16,Jason Elam,ATL,,,,11,11,8,7,10,10,2,1,31,29,93.5%,42,42,100.0%,,,,,,,,
17,John Kasay,CAR,,,,7,7,9,9,12,11,3,1,31,28,90.3%,46,46,100.0%,2,41,,,20.5,,,
18,Jeff Reed,PIT,,1,1,9,9,9,8,10,8,2,1,31,27,87.1%,37,36,97.3%,79,4894,9,11.4%,61.9,,,
19,Sebastian Janikowski,OAK,,,,11,11,8,8,4,2,7,3,30,24,80.0%,26,25,96.2%,67,4356,22,32.8%,65.0,,,
20,Robbie Gould,CHI,,,,6,6,12,12,11,8,,,29,26,89.7%,41,41,100.0%,79,5124,9,11.4%,64.9,,,
21,Jay Feely,NYJ,,,,9,9,12,9,5,4,2,2,28,24,85.7%,39,39,100.0%,80,5036,7,8.8%,63.0,,,
22,Neil Rackers,ARI,,,,9,9,11,9,6,6,2,1,28,25,89.3%,44,44,100.0%,90,5646,15,16.7%,62.7,,,
23,Olindo Mare,SEA,,,,7,7,10,9,6,5,4,3,27,24,88.9%,30,30,100.0%,71,4703,22,31.0%,66.2,,,
24,Dan Carpenter,MIA,,,,4,4,7,7,13,9,1,1,25,21,84.0%,40,40,100.0%,75,4758,7,9.3%,63.4,,,
25,Josh Scobee,JAX,,,,7,7,6,3,7,5,5,4,25,19,76.0%,33,33,100.0%,66,4143,10,15.2%,62.8,,,
26,Adam Vinatieri,IND,,,,3,3,13,11,7,4,2,2,25,20,80.0%,43,43,100.0%,80,5176,8,10.0%,64.7,,,
27,Shayne Graham,CIN,,1,1,5,5,7,6,11,9,,,24,21,87.5%,15,15,100.0%,52,3253,8,15.4%,62.6,,,
28,Nick Folk,DAL,,,,1,1,8,7,11,10,2,2,22,20,90.9%,42,42,100.0%,75,4509,,,60.1,,,
29,Jason Hanson,DET,,,,3,3,5,4,6,6,8,8,22,21,95.5%,26,25,96.2%,66,4270,7,10.6%,64.7,,,
30,Garrett Hartley,NOR,,,,5,5,4,4,4,4,,,13,13,100.0%,28,28,100.0%,49,3190,9,18.4%,65.1,,,
31,Connor Barth,KAN,,,,6,6,4,3,1,1,1,,12,10,83.3%,24,24,100.0%,46,2714,4,8.7%,59.0,,,
32,Martin Gramatica,NOR,,,,,,3,3,5,2,2,1,10,6,60.0%,16,16,100.0%,15,998,4,26.7%,66.5,,,
33,Nick Novak,KAN,,,,3,3,3,1,3,2,1,,10,6,60.0%,7,7,100.0%,17,1079,,,63.5,,,
34,Taylor Mehlhaff,NOR,,,,1,1,2,1,1,1,,,4,3,75.0%,10,9,90.0%,17,1071,1,5.9%,63.0,,,
35,Stephen Hauschka,BAL,,,,,,,,,,2,1,2,1,50.0%,,,,14,905,1,7.1%,64.6,,,
36,Mike Nugent,NYJ,,,,,,1,,,,,,1,,0.0%,2,2,100.0%,3,158,,,52.7,,,
37,Dave Rayner,CIN,,,,1,1,,,,,,,1,1,100.0%,3,3,100.0%,6,401,1,16.7%,66.8,,,
38,Lawrence Tynes,NYG,,1,1,,,,,,,,,1,1,100.0%,3,3,100.0%,6,356,1,16.7%,59.3,,,
39,Kyle Larson,CIN,,,,,,,,,,,,,,,,,,,,,,,100,3945,39.5
40,Brad Maynard,CHI,,,,,,,,,,,,,,,,,,,,,,,96,3957,41.2
41,Nick Harris,DET,,,,,,,,,,,,,,,,,,1,68,,,68.0,90,3952,43.9
42,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,1,65,,,65.0,90,4391,48.8
