,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Rodrigo Blankenship,IND,k,,,3,3,6,5,5,4,,,14,12,85.7%,9,9,100.0%,1,63,,,63.0,,,
1,Randy Bullock,CIN,k,,,2,2,5,4,5,5,1,1,13,12,92.3%,9,9,100.0%,25,1527,22,88.0%,61.1,,,
2,Stephen Gostkowski,TEN,k,,,1,1,3,3,4,1,4,4,12,9,75.0%,7,5,71.4%,19,1229,16,84.2%,64.7,,,
3,Joey Slye,CAR,k,,,5,5,3,3,3,2,,,11,10,90.9%,9,7,77.8%,22,1373,20,90.9%,62.4,,,
4,Daniel Carlson,LVR,k,,,5,5,1,1,1,,3,3,10,9,90.0%,12,12,100.0%,24,1454,15,62.5%,60.6,,,
5,Graham Gano,NYG,k,,,2,2,4,4,2,2,2,1,10,9,90.0%,2,2,100.0%,15,916,7,46.7%,61.1,,,
6,Michael Badgley,LAC,k,,,3,3,,,4,3,2,1,9,7,77.8%,8,8,100.0%,,,,,,,,
7,Younghoe Koo,ATL,k,,,2,2,2,2,5,4,,,9,8,88.9%,8,6,75.0%,14,856,6,42.9%,61.1,,,
8,Matt Prater,DET,k,,,2,2,4,4,1,1,2,,9,7,77.8%,10,10,100.0%,1,61,,,61.0,,,
9,Jason Sanders,MIA,k,,,2,2,1,1,5,5,1,1,9,9,100.0%,6,6,100.0%,22,1281,16,72.7%,58.2,,,
10,Harrison Butker,KAN,k,1,1,2,2,2,2,1,,2,2,8,7,87.5%,13,10,76.9%,23,1476,14,60.9%,64.2,,,
11,Mason Crosby,GNB,k,,,,,3,3,4,4,1,1,8,8,100.0%,17,16,94.1%,30,1951,22,73.3%,65.0,,,
12,Jake Elliott,PHI,k,,,1,1,4,4,1,1,2,1,8,7,87.5%,7,7,100.0%,21,1336,18,85.7%,63.6,,,
13,Sam Ficken,NYJ,k,,,2,2,4,4,1,1,1,1,8,8,100.0%,5,5,100.0%,17,1042,11,64.7%,61.3,,,
